coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline
0.87,1.0,1.0,1,635,120.4499999999973,68.2500000000018,55.65000000000174,54.25000000000169,0,0,444,0,8,8,15,0.2692913385826772,all_targets_inspected,458,458,0,351.0304597828375,458,1,0,sweep_rulebased_quad
0.920625,1.0,1.0,1,698,149.74999999999648,65.10000000000198,42.57500000000163,39.75000000000165,0,0,291,0,8,8,14,0.29656160458452724,all_targets_inspected,325,325,0,361.59726321663635,325,1,1,sweep_rulebased_quad
0.735,1.0,1.0,1,530,117.64999999999739,73.5000000000015,54.425000000001795,53.15000000000177,0,0,326,0,8,8,11,0.26037735849056604,all_targets_inspected,201,201,0,378.8759688742507,201,1,2,sweep_rulebased_quad
0.905,1.0,1.0,1,654,128.09999999999684,67.30000000000186,52.3000000000018,50.050000000001845,0,0,225,0,8,8,15,0.2619775739041794,all_targets_inspected,424,424,0,279.5504239106832,424,1,3,sweep_rulebased_quad
0.715625,1.0,1.0,1,513,124.84999999999687,74.35000000000146,50.400000000001825,47.650000000001754,0,0,309,0,8,8,15,0.25601039636127354,all_targets_inspected,59,59,0,645.1681383050551,59,1,4,sweep_rulebased_quad
0.913125,1.0,1.0,1,764,157.74999999999687,61.80000000000217,40.22500000000151,38.95000000000149,0,0,452,0,8,8,19,0.362565445026178,all_targets_inspected,415,415,0,468.6524534472232,415,1,5,sweep_rulebased_quad
0.91375,1.0,1.0,1,688,166.44999999999652,65.60000000000196,33.97500000000157,31.20000000000158,0,0,451,0,8,8,13,0.2916666666666667,all_targets_inspected,83,83,0,586.375282917027,83,1,6,sweep_rulebased_quad
0.920625,1.0,1.0,1,679,159.99999999999667,66.05000000000193,36.975000000001586,31.650000000001597,0,0,419,0,8,8,11,0.2768777614138439,all_targets_inspected,145,145,0,539.3878407777262,145,1,7,sweep_rulebased_quad
0.9275,1.0,1.0,1,715,179.94999999999666,64.25000000000203,27.90000000000152,27.90000000000149,0,45,457,0,8,8,11,0.30815850815850815,all_targets_inspected,8,8,0,622.3039165353088,8,1,8,sweep_rulebased_quad
0.919375,1.0,1.0,1,734,174.19999999999658,63.300000000002086,31.25000000000154,26.600000000001515,0,0,432,0,8,8,15,0.33197093551316986,all_targets_inspected,123,123,0,603.3757340737504,123,1,9,sweep_rulebased_quad
0.92125,1.0,1.0,1,685,168.19999999999678,65.75000000000195,33.0250000000016,31.850000000001593,0,0,358,0,8,8,12,0.28272506082725063,all_targets_inspected,63,63,0,452.07803711997923,63,1,10,sweep_rulebased_quad
0.886875,1.0,1.0,1,639,160.89999999999665,68.05000000000182,35.525000000001626,35.40000000000161,0,0,326,0,8,8,12,0.2597809076682316,all_targets_inspected,11,11,0,563.5355293626006,11,1,11,sweep_rulebased_quad
0.915625,1.0,1.0,1,733,158.69999999999686,63.35000000000208,38.97500000000166,38.450000000001666,0,0,491,0,8,8,20,0.3337880854934061,all_targets_inspected,323,323,0,407.5194609368288,323,1,12,sweep_rulebased_quad
0.91625,1.0,1.0,1,802,182.24999999999685,59.90000000000228,28.925000000001493,23.500000000001485,0,0,639,0,8,8,20,0.39068994181213634,all_targets_inspected,255,255,0,504.89648393401455,255,1,13,sweep_rulebased_quad
0.74,1.0,1.0,1,532,113.74999999999727,73.40000000000151,56.425000000001845,54.900000000001874,0,0,143,0,8,8,16,0.2581453634085213,all_targets_inspected,240,240,0,335.6562550763738,243,1,14,sweep_rulebased_quad
0.906875,1.0,1.0,1,661,147.3499999999968,66.95000000000188,42.85000000000167,39.35000000000171,0,0,367,0,8,8,13,0.2682803832576904,all_targets_inspected,229,229,0,429.00943198293555,229,1,15,sweep_rulebased_quad
0.918125,1.0,1.0,1,749,156.34999999999667,62.55000000000213,40.55000000000159,37.75000000000164,0,0,263,0,8,8,16,0.3462394303515799,all_targets_inspected,374,374,0,430.7188932866522,374,1,16,sweep_rulebased_quad
0.91375,1.0,1.0,1,715,127.64999999999691,64.25000000000203,54.05000000000179,51.5500000000017,0,0,346,0,8,8,15,0.3184149184149184,all_targets_inspected,606,606,0,282.35216939190576,606,1,17,sweep_rulebased_quad
0.915,1.0,1.0,1,676,124.04999999999639,66.20000000000192,54.87500000000179,54.6000000000018,0,0,455,0,8,8,20,0.2781065088757396,all_targets_inspected,502,502,0,346.04465032414447,502,1,18,sweep_rulebased_quad
0.866875,1.0,1.0,1,625,154.5999999999969,68.75000000000178,38.325000000001694,37.35000000000167,0,0,438,0,8,8,9,0.26026666666666665,all_targets_inspected,49,49,0,670.9895387514132,50,1,19,sweep_rulebased_quad
