coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline
0.24,0.5,1.0,0,700,113.69999999999712,43.60000000000263,42.700000000001715,42.700000000001715,0,16,0,0,2,1,2,0.9314285714285714,max_steps_reached,0,0,random_masked
0.1625,0.0,1.0,0,250,40.70000000000016,80.10000000000113,79.20000000000118,79.20000000000118,1,4,0,0,2,0,2,0.87,collision,0,1,random_masked
0.1675,0.5,1.0,0,71,11.09999999999999,94.55000000000031,94.3500000000003,94.3500000000003,1,2,0,0,2,1,2,0.528169014084507,collision,0,2,random_masked
0.08,0.5,1.0,0,69,11.999999999999995,94.35000000000032,93.65000000000035,93.65000000000035,1,5,0,0,2,1,2,0.7681159420289855,collision,0,3,random_masked
0.04,0.0,0.5,0,14,2.400000000000001,98.80000000000007,98.80000000000007,98.80000000000007,1,3,0,0,1,0,1,0.42857142857142855,collision,0,4,random_masked
0.1775,0.5,1.0,0,700,117.44999999999698,42.00000000000265,40.550000000001695,40.550000000001695,0,16,0,0,2,1,2,0.9492857142857143,max_steps_reached,0,5,random_masked
0.0775,0.5,1.0,0,90,16.35,92.10000000000045,91.55000000000047,91.55000000000047,1,2,0,0,2,1,2,0.8277777777777777,collision,0,6,random_masked
0.22,0.5,1.0,0,408,71.04999999999964,64.40000000000202,64.550000000002,64.550000000002,1,14,0,0,2,1,2,0.8921568627450981,collision,0,7,random_masked
0.075,0.5,1.0,0,101,17.30000000000002,91.95000000000046,90.75000000000051,90.75000000000051,1,2,0,0,2,1,2,0.8514851485148515,collision,0,8,random_masked
0.4,0.5,1.0,0,700,116.14999999999704,41.700000000002696,42.15000000000172,42.15000000000172,0,13,4,0,2,1,2,0.8857142857142857,max_steps_reached,0,9,random_masked
