coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
0.845625,0.0,0.875,0,1000,235.3999999999972,28.300000000003187,18.150000000001377,18.150000000001363,0,3,901,0,7,0,16,0.549,max_steps_reached,1,0,heterogeneous_mappo,sampling
0.633125,0.0,0.625,0,721,172.4499999999969,45.25000000000271,41.1500000000017,40.95000000000168,1,2,530,0,5,0,12,0.53166897827092,collision,1,1,heterogeneous_mappo,sampling
0.796875,0.0,0.875,0,1000,235.5999999999972,26.30000000000306,19.05000000000138,18.600000000001373,0,7,782,0,7,0,16,0.575,max_steps_reached,1,2,heterogeneous_mappo,sampling
0.784375,0.0,0.875,0,1000,242.09999999999707,24.200000000003,16.85000000000134,16.750000000001336,0,16,751,0,7,0,17,0.5816666666666667,max_steps_reached,1,3,heterogeneous_mappo,sampling
0.601875,0.0,0.25,0,1000,241.19999999999717,24.600000000003114,17.10000000000137,16.90000000000139,0,10,715,0,2,0,15,0.679,max_steps_reached,1,4,heterogeneous_mappo,sampling
0.711875,0.0,0.875,0,1000,238.74999999999724,25.50000000000309,17.875000000001346,17.60000000000138,0,6,881,0,7,0,18,0.6203333333333333,max_steps_reached,1,5,heterogeneous_mappo,sampling
0.67875,0.0,1.0,0,666,158.94999999999675,50.000000000002494,45.52500000000174,45.20000000000174,1,7,524,0,8,0,15,0.45645645645645644,collision,1,6,heterogeneous_mappo,sampling
0.75875,0.0,0.875,0,1000,236.99999999999727,29.000000000003247,17.000000000001343,16.5000000000013,0,6,915,0,7,0,11,0.5953333333333334,max_steps_reached,1,7,heterogeneous_mappo,sampling
0.144375,0.0,0.375,0,85,20.800000000000047,93.45000000000037,92.87500000000038,92.85000000000039,1,0,54,0,3,0,3,0.09411764705882353,collision,1,8,heterogeneous_mappo,sampling
0.015625,0.0,0.0,0,6,1.6000000000000005,99.40000000000003,99.50000000000003,99.40000000000003,1,4,0,0,0,0,0,0.0,collision,1,9,heterogeneous_mappo,sampling
