coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,0,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,1,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,2,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,3,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,4,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,5,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,6,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,7,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,8,capability_aware_mappo,deterministic
0.1525,0.0,1.0,0,700,104.9999999999976,65.00000000000199,30.000000000001563,30.000000000001563,0,0,669,0,2,0,2,0.9564285714285714,max_steps_reached,0,9,capability_aware_mappo,deterministic
