coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.68875,0.75,0.75,0,1000,241.8499999999977,13.50000000000262,22.325000000001474,21.450000000001438,0,0,648,0,6,6,18,0.6326666666666667,max_steps_reached,413,256,157,244.94191362243384,615,1,0,capability_aware_mappo,sampling
0.639375,0.75,0.75,0,1000,244.74999999999804,13.800000000002711,20.72500000000143,20.05000000000141,0,0,461,0,6,6,11,0.659,max_steps_reached,433,296,137,230.14466873802107,681,1,1,capability_aware_mappo,sampling
0.6675,0.125,0.625,0,1000,241.19999999999777,11.00000000000259,23.900000000001434,23.650000000001455,0,0,945,0,5,1,16,0.644,max_steps_reached,518,343,175,303.3601249142419,797,1,2,capability_aware_mappo,sampling
0.739375,0.25,0.375,0,1000,246.94999999999786,9.500000000002608,21.77500000000144,18.000000000001364,0,2,1541,0,3,2,15,0.6056666666666667,max_steps_reached,353,222,131,366.5811058311218,555,1,3,capability_aware_mappo,sampling
0.800625,0.125,0.25,0,1000,244.14999999999804,9.00000000000247,23.42500000000151,23.100000000001522,0,4,917,0,2,1,15,0.573,max_steps_reached,498,429,69,315.05375277085056,893,1,4,capability_aware_mappo,sampling
0.716875,0.75,0.75,0,1000,243.2499999999978,13.300000000002605,21.725000000001394,21.150000000001363,0,2,785,0,6,6,17,0.6176666666666667,max_steps_reached,458,259,199,260.94649149699694,619,1,5,capability_aware_mappo,sampling
0.758125,0.25,0.375,0,831,201.44999999999743,27.250000000002817,35.650000000001626,34.5000000000016,1,5,529,0,3,2,13,0.5134376253509828,collision,335,259,76,206.76056368869112,651,1,6,capability_aware_mappo,sampling
0.9025,0.875,1.0,0,1000,260.3499999999979,7.80000000000253,15.925000000001347,14.35000000000131,0,1,869,0,8,7,16,0.5186666666666667,max_steps_reached,227,77,150,499.9661347973345,232,1,7,capability_aware_mappo,sampling
0.805625,0.625,0.625,0,1000,257.74999999999767,11.100000000002646,15.575000000001394,14.800000000001393,0,4,569,0,5,5,11,0.5703333333333334,max_steps_reached,265,155,110,544.6497650639647,367,1,8,capability_aware_mappo,sampling
0.728125,0.875,0.875,0,1000,245.5499999999979,7.900000000002602,23.27500000000145,21.350000000001465,0,0,538,0,7,7,15,0.6116666666666667,max_steps_reached,470,340,130,303.31471317112585,680,1,9,capability_aware_mappo,sampling
0.7625,0.75,0.75,0,1000,234.44999999999862,11.800000000002619,26.87500000000148,26.800000000001496,0,5,951,0,6,6,13,0.5933333333333334,max_steps_reached,643,472,171,151.83363970657942,1042,1,10,capability_aware_mappo,sampling
0.859375,0.625,0.625,0,1000,243.44999999999783,11.600000000002606,22.475000000001437,21.450000000001403,0,5,736,0,5,5,14,0.5416666666666666,max_steps_reached,413,321,92,235.4001172164549,688,1,11,capability_aware_mappo,sampling
0.765,0.75,0.75,0,1000,243.44999999999806,14.100000000002643,21.22500000000144,19.45000000000141,0,0,607,0,6,6,16,0.592,max_steps_reached,422,334,88,264.00070606635325,715,1,12,capability_aware_mappo,sampling
0.82125,0.875,0.875,0,1000,247.8499999999978,9.300000000002576,21.425000000001422,18.40000000000137,0,2,1090,0,7,7,20,0.562,max_steps_reached,407,259,148,302.2381288024908,545,1,13,capability_aware_mappo,sampling
0.480625,0.0,0.0,0,629,152.54999999999697,47.45000000000253,50.00000000000182,47.75000000000181,1,1,314,0,0,0,10,0.5924748277689454,collision,283,265,18,237.69542472229531,769,1,14,capability_aware_mappo,sampling
0.825,0.75,0.875,0,1000,237.99999999999807,14.600000000002668,23.700000000001467,20.600000000001394,0,0,991,0,7,6,16,0.56,max_steps_reached,353,171,182,386.029419908448,348,1,15,capability_aware_mappo,sampling
0.786875,1.0,1.0,1,973,242.59999999999775,14.850000000002648,21.2750000000014,19.25000000000135,0,4,664,0,8,8,20,0.5686879068174032,all_targets_inspected,334,196,138,322.2091315915946,421,1,16,capability_aware_mappo,sampling
0.89625,0.875,0.875,0,1000,255.84999999999692,9.500000000002657,17.32500000000137,13.65000000000135,0,0,1374,0,7,7,17,0.522,max_steps_reached,261,80,181,475.7534515019661,258,1,17,capability_aware_mappo,sampling
0.546875,0.375,0.375,0,1000,231.74999999999844,11.900000000002617,28.175000000001504,28.150000000001526,0,4,932,0,3,3,12,0.7083333333333334,max_steps_reached,616,526,90,144.76779452351542,1161,1,18,capability_aware_mappo,sampling
0.745625,0.375,0.375,0,1000,256.64999999999736,17.200000000002635,13.075000000001408,10.5500000000014,0,6,1249,0,3,3,7,0.6023333333333334,max_steps_reached,318,214,104,430.9338328362552,361,1,19,capability_aware_mappo,sampling
