update,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,0,0.2753544194274582,0,0.175,0.5,1.0,0,256,0,0,-0.013451370410621166,37.17901611328125,1.7857890129089355,0.0017925775609910488,0.0,0.1678929477930069
2,0,0.9386886548891198,4,0.0425,0.0,1.0,0,13,0,0,-0.0074873510748147964,152.86138916015625,1.77650785446167,0.0028222124092280865,0.0,0.16959655284881592
3,0,1.100600869365735,7,0.0625,0.5,1.0,0,38,0,0,-0.003466464579105377,163.01467895507812,1.7647967338562012,0.0007582139223814011,0.0,0.1755964756011963
4,0,1.2165087124158163,11,0.105,0.5,1.0,0,60,0,0,-0.005016481503844261,153.3756103515625,1.7507052421569824,0.0017111897468566895,0.0,0.17849674820899963
5,0,1.1825406117422972,15,0.07,0.5,0.5,0,57,0,0,-0.0014002015814185143,153.6068878173828,1.735931396484375,0.0012810146436095238,0.0,0.18393921852111816
6,0,0.5879900102154352,16,0.1475,0.5,1.0,0,136,0,0,-0.0020624715834856033,95.89559936523438,1.7224818468093872,0.003078517969697714,0.0,0.18156956136226654
7,0,1.445752376166638,20,0.165,0.5,0.5,0,46,0,0,-0.0020570680499076843,188.88046264648438,1.7120492458343506,0.000873105600476265,0.0,0.19391992688179016
8,0,2.122399417712586,26,0.0475,0.5,1.0,0,6,0,0,-0.003292994573712349,330.7688903808594,1.6979174613952637,-0.0003541763871908188,0.0,0.2050679326057434
9,0,1.8683742236171383,31,0.065,0.5,1.0,0,47,0,0,-0.0016969176940619946,287.1347961425781,1.6861226558685303,-0.00031528586987406015,0.0,0.20931777358055115
10,0,2.0172520894557238,37,0.0475,0.5,1.0,0,28,0,0,-0.0005120523273944855,262.1026611328125,1.676203966140747,0.0001302286982536316,0.0,0.20187382400035858
11,0,1.2238421444926644,40,0.1175,0.0,1.0,0,78,0,0,-0.00019183196127414703,199.24114990234375,1.670516014099121,0.00025403848849236965,0.0,0.22079116106033325
12,0,-0.043872298396308906,40,0.3375,0.0,1.0,0,334,0,0,-0.011333368718624115,3.5254721641540527,1.7097464799880981,0.001971287652850151,0.0,0.20782619714736938
13,0,-0.05973729936522432,40,0.4025,0.0,1.0,0,590,0,0,-0.014334320090711117,3.5551023483276367,1.7508559226989746,0.009646482765674591,0.056640625,0.18865743279457092
14,0,1.0685668509395327,43,0.1475,0.5,1.0,0,62,0,0,0.0008353665471076965,167.86288452148438,1.7427719831466675,0.0009843999287113547,0.0,0.1876695603132248
15,0,2.208323785001994,50,0.0525,0.0,1.0,0,5,0,0,0.002479318529367447,297.57940673828125,1.7321243286132812,0.0023891290184110403,0.0,0.19565698504447937
16,0,1.1643347298231674,53,0.1075,0.5,1.0,0,134,0,0,0.0003254096955060959,206.87490844726562,1.73136568069458,0.0002167669590562582,0.0,0.18532757461071014
17,0,1.5608538433443755,58,0.05,0.5,1.0,0,14,0,0,-0.00013527646660804749,188.66690063476562,1.7312605381011963,0.0009921074379235506,0.0,0.1873132288455963
18,0,1.2807985855470179,62,0.14,0.5,1.0,0,70,0,0,-0.001061826478689909,165.91232299804688,1.7299079895019531,-0.0001659085974097252,0.0,0.18832279741764069
19,0,1.2457227135455469,65,0.075,0.5,1.0,0,48,0,0,-0.0001578107476234436,157.99632263183594,1.725508689880371,-9.885081090033054e-05,0.0,0.19027547538280487
20,0,1.1388804325833917,68,0.035,0.5,0.5,0,18,0,0,-0.0009622108191251755,125.82156372070312,1.721771001815796,0.0006473877001553774,0.0,0.18858805298805237
21,0,1.1762010071979603,71,0.0775,0.0,1.0,0,41,0,0,-0.0009655370377004147,131.1949920654297,1.7171952724456787,0.00020377733744680882,0.0,0.19318516552448273
22,0,1.962125089718029,76,0.055,0.0,1.0,0,14,0,0,-0.0016783792525529861,250.19207763671875,1.7112512588500977,-0.00035139115061610937,0.0,0.19922564923763275
23,0,2.0366366166854277,82,0.0225,0.0,0.5,0,1,0,0,-0.0007210560142993927,274.8698425292969,1.7048828601837158,-0.000680954079143703,0.0,0.20453836023807526
24,0,1.543086823367048,86,0.0475,0.5,1.0,0,25,0,0,-0.001204940490424633,195.55970764160156,1.6970734596252441,-0.00045580812729895115,0.0,0.20537281036376953
25,0,1.378861476230668,90,0.1525,0.5,1.0,0,36,0,0,-0.0018581114709377289,150.74908447265625,1.691278338432312,0.0018562150653451681,0.0,0.19756942987442017
