coverage_ratio_mean,coverage_ratio_std,inspection_success_rate_mean,inspection_success_rate_std,target_detection_rate_mean,target_detection_rate_std,mission_success_mean,mission_success_std,mission_time_mean,mission_time_std,total_energy_consumption_mean,total_energy_consumption_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,communication_loss_count_mean,communication_loss_count_std,invalid_action_count_mean,invalid_action_count_std,detected_targets_mean,detected_targets_std,inspected_targets_mean,inspected_targets_std,candidate_targets_mean,candidate_targets_std,quadrotor_hover_inspect_count_mean,quadrotor_hover_inspect_count_std,quadrotor_valid_hover_inspect_count_mean,quadrotor_valid_hover_inspect_count_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std,mean_distance_to_candidate_mean,mean_distance_to_candidate_std,time_in_candidate_range_mean,time_in_candidate_range_std,checkpoint,update,eval_mode
0.55525,0.31290643014770053,0.4625,0.368225851588095,0.525,0.37174513371992435,0.0,0.0,674.5,446.5333756345158,169.86999999999838,110.77513309001662,0.4,0.5163977794943223,3.7,4.137900702315393,488.7,480.0525549932586,0.0,0.0,4.2,2.973961069759395,3.7,2.94580681270476,10.6,6.88315173287483,229.7,187.36183057270645,142.3,128.93672005203862,87.4,66.95139198619316,492.3428897214733,478.19751089679414,342.2,280.8280612759345,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_800.pt,800,sampling
0.5860625,0.29024236310414403,0.45,0.37360852952433155,0.5125,0.40160269200071635,0.1,0.31622776601683794,667.7,372.4256972873918,169.22999999999791,89.10440567733426,0.5,0.5270462766947299,6.6,8.896940797575061,599.2,390.9753615425572,0.0,0.0,4.1,3.212821536005731,3.6,2.9888682361946524,9.7,7.196449741983118,227.9,211.94519731918123,100.5,124.29199491519958,127.4,117.08325622773262,422.1224218752248,156.2557099201764,241.3,280.2114479380804,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_200.pt,200,sampling
0.5068125,0.25296032880945757,0.425,0.25819888974716115,0.425,0.2713136766016618,0.0,0.0,761.0,402.94967979196167,172.62999999999863,89.2112449314665,0.4,0.5163977794943223,8.2,7.857056276579247,617.2,350.9548245698994,0.0,0.0,3.4,2.1705094128132942,3.4,2.0655911179772892,9.6,5.777350411544878,428.2,325.0267681284112,270.9,282.2849033630149,157.3,126.09788966425162,266.15510842643533,185.13985113713784,471.9,493.0648931823162,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_700.pt,700,sampling
0.4953125,0.18186205328108201,0.3875,0.2389938399949998,0.3875,0.216105041331499,0.0,0.0,782.3,351.18309564480273,197.50499999999775,87.45694321588462,0.4,0.5163977794943223,14.4,17.733834579382115,505.8,302.3047763065906,0.0,0.0,3.1,1.728840330651992,3.1,1.9119507199599983,10.8,6.106462878695726,258.5,150.43363246886574,135.5,88.73086648211358,123.0,78.47858872895772,242.03291927822025,130.28117665528043,468.0,289.21464539526886,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_100.pt,100,sampling
0.4106875,0.25494986060716157,0.325,0.24438130497691968,0.3625,0.2389938399949998,0.0,0.0,640.6,456.89172070026007,159.9049999999984,111.87322301506096,0.5,0.5270462766947299,8.7,8.667307668602875,352.4,424.12581990620555,0.0,0.0,2.9,1.9119507199599983,2.6,1.9550504398153574,8.9,6.349978127696364,296.7,244.99390015082236,201.5,186.23476820639289,95.2,93.73224276274058,246.0611904851515,127.3475522891941,460.7,422.3326887656223,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_600.pt,600,sampling
0.553125,0.223634552774039,0.3125,0.30760048042152915,0.4875,0.27290871489688023,0.0,0.0,691.2,411.46642903428005,173.6149999999983,98.77132976392046,0.4,0.5163977794943223,7.0,7.118052168020874,555.8,351.5112768856467,0.0,0.0,3.9,2.183269719175042,2.5,2.4608038433722332,9.8,5.865151319446072,267.3,231.82227387951028,182.8,191.93274284961848,84.5,83.00368131059676,449.7259132823367,235.8850819642309,463.3,457.00256503048695,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_300.pt,300,sampling
0.384625,0.27260147193292994,0.2625,0.29726764969561614,0.25,0.2763853991962833,0.0,0.0,550.4,451.171856884319,139.7799999999985,111.61772111392708,0.6,0.5163977794943223,4.9,4.254409477236529,407.3,443.984997244026,0.0,0.0,2.0,2.2110831935702664,2.1,2.378141197564929,6.4,5.501514942874069,225.8,258.48653521777277,185.2,235.1098088600776,40.6,45.478199905742386,243.91529254137768,125.2966833183767,437.0,544.4714052281452,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_500.pt,500,sampling
0.31706249999999997,0.16513910645018842,0.225,0.18446619684315546,0.2375,0.2079162491645775,0.0,0.0,621.9,415.43563480600295,167.51499999999854,108.68189067692445,0.6,0.5163977794943223,7.1,8.646772037394456,367.9,349.8721830103737,0.0,0.0,1.9,1.66332999331662,1.8,1.4757295747452437,5.6,3.3730961708462712,193.4,186.2747075334348,122.7,139.93018100308294,70.7,71.38790747271791,360.55628060540687,353.30613645961296,444.2,517.7924938299769,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_400.pt,400,sampling
0.2316875,0.19515753296660396,0.1625,0.19587765455905265,0.1875,0.22243913025065232,0.0,0.0,431.6,490.7378118710642,94.77999999999962,103.55716939610326,0.6,0.5163977794943223,3.5,2.8771127502720115,309.9,422.1183220114685,0.0,0.0,1.5,1.7795130420052185,1.3,1.5670212364724212,4.6,4.5995168828427575,355.9,455.7020103337511,317.0,410.8295131668231,38.9,48.321722743388285,255.49185708347397,247.38993853318348,546.9,710.3849425956794,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1_update_1000.pt,1000,sampling
0.2316875,0.19515753296660396,0.1625,0.19587765455905265,0.1875,0.22243913025065232,0.0,0.0,431.6,490.7378118710642,94.77999999999962,103.55716939610326,0.6,0.5163977794943223,3.5,2.8771127502720115,309.9,422.1183220114685,0.0,0.0,1.5,1.7795130420052185,1.3,1.5670212364724212,4.6,4.5995168828427575,355.9,455.7020103337511,317.0,410.8295131668231,38.9,48.321722743388285,255.49185708347397,247.38993853318348,546.9,710.3849425956794,models\3c_capability_aware_mappo_safety_ft\capability_aware_mappo_scenario_1.pt,1000000000,sampling
