coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.71875,0.0,0.75,0,1000,249.2499999999969,13.60000000000262,18.575000000001385,17.300000000001333,0,13,784,0,6,0,20,0.6166666666666667,max_steps_reached,371,0,371,745.6635055690061,0,1,0,without_capability_reward,1,0,1,sampling
0.670625,0.0,0.875,0,1000,245.09999999999695,15.10000000000273,19.900000000001388,18.300000000001354,0,6,895,0,7,0,16,0.6423333333333333,max_steps_reached,375,0,375,1349.9521804257863,0,1,1,without_capability_reward,1,0,1,sampling
0.82125,0.0,1.0,0,1000,239.84999999999695,15.700000000002712,22.225000000001394,19.750000000001386,0,4,761,0,8,0,16,0.562,max_steps_reached,469,0,469,977.7522830135706,0,1,2,without_capability_reward,1,0,1,sampling
0.671875,0.0,0.75,0,1000,251.9999999999968,15.300000000002733,16.350000000001334,16.10000000000133,0,6,799,0,6,0,14,0.6416666666666667,max_steps_reached,332,0,332,965.989497418173,0,1,3,without_capability_reward,1,0,1,sampling
0.69,0.0,0.625,0,1000,249.94999999999686,15.200000000002651,17.425000000001337,16.00000000000133,0,1,723,0,5,0,18,0.632,max_steps_reached,356,0,356,1572.0103905229662,0,1,4,without_capability_reward,1,0,1,sampling
0.839375,0.0,0.875,0,1000,247.899999999997,12.300000000002642,19.900000000001388,15.650000000001285,0,4,764,0,7,0,20,0.5523333333333333,max_steps_reached,359,0,359,1040.3970379578946,0,1,5,without_capability_reward,1,0,1,sampling
0.836875,0.0,0.875,0,1000,243.44999999999692,16.000000000002686,20.275000000001402,17.70000000000139,0,0,854,0,7,0,15,0.5536666666666666,max_steps_reached,401,0,401,1212.4004268806434,0,1,6,without_capability_reward,1,0,1,sampling
0.691875,0.0,0.75,0,1000,248.34999999999684,15.500000000002705,18.075000000001364,17.95000000000134,0,2,856,0,6,0,13,0.631,max_steps_reached,377,0,377,998.7216549414788,0,1,7,without_capability_reward,1,0,1,sampling
0.75875,0.0,0.875,0,1000,249.9999999999966,14.800000000002676,17.60000000000135,16.350000000001323,0,9,740,0,7,0,14,0.5953333333333334,max_steps_reached,399,0,399,676.5255292674053,0,1,8,without_capability_reward,1,0,1,sampling
0.775625,0.0,0.5,0,1000,246.69999999999698,14.700000000002706,19.300000000001408,18.40000000000139,0,22,894,0,4,0,11,0.5863333333333334,max_steps_reached,351,0,351,995.1004127927619,0,1,9,without_capability_reward,1,0,1,sampling
