coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.603125,0.0,0.5,0,802,221.29999999999612,38.70000000000286,20.00000000000142,19.80000000000142,1,5,55,0,4,0,11,0.5989193682460515,collision,2,0,2,639.142729342865,19,1,0,without_guidance,0,1,1,sampling
0.578125,0.0,0.5,0,613,168.34999999999644,53.95000000000242,38.850000000001685,38.80000000000169,1,5,50,0,4,0,9,0.49700924415443176,collision,1,0,1,335.2497349090925,0,1,1,without_guidance,0,1,1,sampling
0.75,0.0,0.875,0,1000,272.8999999999998,26.800000000003052,0.15000000000140434,1.4043488594239761e-12,0,2,215,0,7,0,14,0.6,max_steps_reached,3,0,3,401.6818928497925,2,1,2,without_guidance,0,1,1,sampling
0.731875,0.125,0.875,0,1000,273.9000000000015,25.700000000003044,0.20000000000070217,0.0,0,4,220,0,7,1,17,0.6096666666666667,max_steps_reached,7,0,7,342.6386939867534,28,1,3,without_guidance,0,1,1,sampling
0.67375,0.0,0.625,0,1000,276.20000000000044,23.400000000002876,0.20000000000140436,0.20000000000140436,0,10,123,0,5,0,16,0.6406666666666667,max_steps_reached,3,0,3,663.2858111672155,0,1,4,without_guidance,0,1,1,sampling
0.660625,0.0,0.75,0,1000,277.40000000000083,22.400000000002976,0.10000000000140435,0.10000000000140435,0,13,105,0,6,0,19,0.6476666666666666,max_steps_reached,1,0,1,468.02958685644865,0,1,5,without_guidance,0,1,1,sampling
0.568125,0.0,0.5,0,1000,275.4000000000003,24.40000000000301,0.10000000000140435,1.4043488594239761e-12,0,9,184,0,4,0,14,0.697,max_steps_reached,2,0,2,285.9542122622253,60,1,6,without_guidance,0,1,1,sampling
0.548125,0.0,0.5,0,1000,275.4000000000004,24.100000000002982,0.2500000000014043,0.10000000000140435,0,11,86,0,4,0,11,0.7076666666666667,max_steps_reached,5,0,5,286.76767103471514,10,1,7,without_guidance,0,1,1,sampling
0.4775,0.0,0.5,0,561,156.24999999999642,55.75000000000227,44.00000000000176,44.00000000000176,1,4,66,0,4,0,5,0.5460487225193108,collision,0,0,0,419.6676830987457,0,1,8,without_guidance,0,1,1,sampling
0.58125,0.0,0.375,0,849,232.44999999999612,37.05000000000298,15.250000000001368,15.100000000001367,1,3,221,0,3,0,9,0.6348645465253239,collision,3,0,3,738.4355543178814,0,1,9,without_guidance,0,1,1,sampling
