coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.726875,0.375,0.5,0,1000,267.6499999999987,32.10000000000331,0.1250000000014036,0.05000000000140464,0,0,364,0,4,3,14,0.6123333333333333,max_steps_reached,9,3,6,173.5602307308414,223,1,0,without_safety_shaping,1,1,0,sampling
0.638125,0.125,0.375,0,1000,268.10000000000025,31.80000000000323,0.05000000000070218,0.0,0,14,323,0,3,1,12,0.6596666666666666,max_steps_reached,3,0,3,168.67725071419275,428,1,1,without_safety_shaping,1,1,0,sampling
0.0925,0.0,0.0,0,53,14.249999999999986,96.35000000000021,94.7000000000003,94.7000000000003,1,36,1,0,0,0,0,0.06918238993710692,collision,0,0,0,0.0,0,1,2,without_safety_shaping,1,1,0,sampling
0.030625,0.0,0.0,0,12,3.200000000000001,99.20000000000005,98.80000000000007,98.80000000000007,1,5,0,0,0,0,1,0.0,collision,0,0,0,199.5814057605517,0,1,3,without_safety_shaping,1,1,0,sampling
0.171875,0.0,0.0,0,62,16.49999999999999,95.90000000000023,93.80000000000035,93.80000000000035,1,20,8,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,4,without_safety_shaping,1,1,0,sampling
0.724375,0.0,1.0,0,1000,271.44999999999953,27.600000000003085,0.47500000000140646,0.35000000000140863,0,15,1292,0,8,0,22,0.6136666666666667,max_steps_reached,11,0,11,228.29180438558288,38,1,5,without_safety_shaping,1,1,0,sampling
0.566875,0.125,0.5,0,1000,269.29999999999916,30.20000000000324,0.25000000000140377,0.05000000000140331,0,3,805,0,4,1,13,0.6976666666666667,max_steps_reached,10,2,8,276.8894165731815,151,1,6,without_safety_shaping,1,1,0,sampling
0.705,0.0,0.625,0,1000,271.09999999999945,28.000000000003087,0.45000000000140433,0.20000000000140436,0,0,414,0,5,0,11,0.624,max_steps_reached,8,0,8,160.14335061459016,199,1,7,without_safety_shaping,1,1,0,sampling
0.481875,0.0,0.375,0,476,128.9999999999966,66.20000000000192,52.40000000000188,52.40000000000188,1,7,96,0,3,0,4,0.46008403361344535,collision,0,0,0,167.906548578254,134,1,8,without_safety_shaping,1,1,0,sampling
0.276875,0.0,0.0,0,143,37.85000000000021,90.75000000000053,85.70000000000081,85.70000000000081,1,22,35,0,0,0,1,0.0,collision,0,0,0,341.76349113984537,21,1,9,without_safety_shaping,1,1,0,sampling
