coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.539375,0.75,0.75,0,1000,177.3499999999987,24.300000000003052,49.17500000000152,48.050000000001546,0,6,944,0,6,6,18,0.7123333333333334,max_steps_reached,739,90,649,254.46608891761443,127,1,0,full_ca_hmappo,1,1,1,sampling
0.474375,0.25,0.5,0,618,135.74999999999673,52.300000000002406,55.9750000000018,53.60000000000182,1,1,181,0,4,2,6,0.5906148867313916,collision,306,195,111,251.11850547128054,328,1,1,full_ca_hmappo,1,1,1,sampling
0.67,0.875,0.875,0,1000,183.79999999999845,25.40000000000311,45.400000000001675,44.95000000000168,0,2,506,0,7,7,17,0.6426666666666667,max_steps_reached,827,212,615,216.85916145969952,308,1,2,full_ca_hmappo,1,1,1,sampling
0.5775,0.375,0.5,0,1000,177.19999999999888,24.60000000000302,49.10000000000161,46.45000000000149,0,2,943,0,4,3,16,0.692,max_steps_reached,836,212,624,278.07971835625375,267,1,3,full_ca_hmappo,1,1,1,sampling
0.633125,0.875,1.0,0,1000,197.94999999999837,27.400000000003047,37.32500000000152,35.65000000000143,0,6,473,0,8,7,21,0.6623333333333333,max_steps_reached,755,6,749,414.4494087153839,10,1,4,full_ca_hmappo,1,1,1,sampling
0.200625,0.125,0.125,0,157,35.150000000000176,87.6500000000007,88.6000000000006,87.90000000000069,1,1,69,0,1,1,5,0.3184713375796178,collision,72,1,71,353.6543273486813,1,1,5,full_ca_hmappo,1,1,1,sampling
0.661875,0.625,0.625,0,1000,180.34999999999923,24.000000000002863,47.82500000000171,41.850000000001636,0,0,751,0,5,5,14,0.647,max_steps_reached,902,587,315,162.90781241083158,782,1,6,full_ca_hmappo,1,1,1,sampling
0.74,0.5,0.625,0,1000,189.84999999999798,20.40000000000288,44.87500000000162,44.400000000001626,0,0,552,0,5,4,17,0.6053333333333333,max_steps_reached,692,78,614,335.3302175660476,104,1,7,full_ca_hmappo,1,1,1,sampling
0.69125,0.5,0.75,0,1000,194.39999999999793,20.700000000002802,42.45000000000158,41.350000000001536,0,3,591,0,6,4,13,0.6313333333333333,max_steps_reached,822,326,496,310.7510434898654,461,1,8,full_ca_hmappo,1,1,1,sampling
0.715,0.75,0.75,0,1000,210.74999999999858,23.90000000000298,32.67500000000158,32.10000000000155,0,3,750,0,6,6,13,0.6186666666666667,max_steps_reached,567,110,457,370.2670223840341,156,1,9,full_ca_hmappo,1,1,1,sampling
0.466875,0.375,0.375,0,848,170.14999999999807,31.500000000002892,49.17500000000176,45.40000000000175,1,28,345,0,3,3,6,0.7063679245283019,collision,629,440,189,211.85810570373945,640,1,10,full_ca_hmappo,1,1,1,sampling
0.77,0.625,0.625,0,1000,198.49999999999895,25.90000000000301,37.80000000000162,37.45000000000164,0,3,497,0,5,5,16,0.5893333333333334,max_steps_reached,645,124,521,356.7397811462805,152,1,11,full_ca_hmappo,1,1,1,sampling
0.69125,0.625,0.75,0,1000,191.19999999999894,26.60000000000303,41.10000000000163,41.00000000000158,0,3,340,0,6,5,15,0.6313333333333333,max_steps_reached,903,5,898,348.14346349618876,5,1,12,full_ca_hmappo,1,1,1,sampling
0.265,0.0,0.25,0,143,38.20000000000021,89.85000000000058,85.97500000000079,85.9000000000008,1,1,68,0,2,0,4,0.011655011655011656,collision,6,0,6,592.9190785050399,0,1,13,full_ca_hmappo,1,1,1,sampling
0.475625,0.625,0.5,0,230,60.1000000000002,83.80000000000092,78.05000000000119,77.55000000000123,1,1,93,0,4,5,8,0.0,collision,33,3,30,579.8433628079248,4,1,14,full_ca_hmappo,1,1,1,sampling
0.743125,0.75,0.875,0,1000,207.79999999999924,25.10000000000305,33.55000000000158,32.80000000000153,0,7,354,0,7,6,13,0.6036666666666667,max_steps_reached,715,69,646,428.56498199668135,111,1,15,full_ca_hmappo,1,1,1,sampling
0.81875,0.375,0.875,0,1000,192.59999999999906,24.000000000003062,41.70000000000162,35.95000000000163,0,1,805,0,7,3,17,0.5633333333333334,max_steps_reached,574,46,528,465.5102107742688,59,1,16,full_ca_hmappo,1,1,1,sampling
0.62,0.625,0.625,0,1000,177.1499999999984,22.10000000000288,50.375000000001656,50.350000000001614,0,0,459,0,5,5,15,0.6693333333333333,max_steps_reached,984,249,735,216.3710644782724,332,1,17,full_ca_hmappo,1,1,1,sampling
0.50125,0.625,0.625,0,662,144.5999999999972,47.80000000000257,53.800000000001766,51.70000000000181,1,6,285,0,5,5,10,0.5961732124874118,collision,400,50,350,373.1598134168253,79,1,18,full_ca_hmappo,1,1,1,sampling
0.740625,0.625,0.625,0,1000,193.5499999999991,24.100000000003,41.17500000000163,40.900000000001604,0,2,206,0,5,5,12,0.605,max_steps_reached,684,347,337,209.24996000496714,496,1,19,full_ca_hmappo,1,1,1,sampling
