coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.771875,0.0,0.75,0,1000,236.44999999999712,28.700000000003108,17.425000000001376,17.20000000000133,0,12,805,0,6,0,19,0.5883333333333334,max_steps_reached,386,0,386,794.6810995881596,0,1,0,guidance_0_capability_0_safety_0,0,0,0,sampling
0.5575,0.0,0.625,0,1000,242.59999999999695,25.300000000002996,16.050000000001333,15.80000000000133,0,6,790,0,5,0,14,0.7026666666666667,max_steps_reached,342,0,342,1083.739871901419,0,1,1,guidance_0_capability_0_safety_0,0,0,0,sampling
0.841875,0.0,1.0,0,1000,235.0999999999972,27.600000000003135,18.65000000000138,17.550000000001354,0,9,896,0,8,0,17,0.551,max_steps_reached,395,0,395,680.3307005575533,0,1,2,guidance_0_capability_0_safety_0,0,0,0,sampling
0.469375,0.0,0.375,0,506,121.09999999999701,62.10000000000213,58.400000000001896,57.500000000001876,1,8,373,0,3,0,7,0.505270092226614,collision,182,0,182,704.9355642557081,0,1,3,guidance_0_capability_0_safety_0,0,0,0,sampling
0.081875,0.0,0.0,0,45,11.049999999999986,96.4500000000002,96.25000000000021,96.00000000000023,1,3,14,0,0,0,0,0.02962962962962963,collision,0,0,0,0.0,0,1,4,guidance_0_capability_0_safety_0,0,0,0,sampling
0.733125,0.0,0.625,0,1000,242.34999999999712,25.700000000003094,15.975000000001344,14.250000000001357,0,18,842,0,5,0,14,0.609,max_steps_reached,355,0,355,980.1748655915459,0,1,5,guidance_0_capability_0_safety_0,0,0,0,sampling
0.371875,0.0,0.25,0,259,62.70000000000019,80.6500000000011,78.32500000000121,78.10000000000122,1,4,196,0,2,0,4,0.23423423423423423,collision,71,0,71,1077.891388162478,0,1,6,guidance_0_capability_0_safety_0,0,0,0,sampling
0.708125,0.0,0.875,0,1000,237.1999999999972,27.400000000003125,17.700000000001353,16.50000000000137,0,4,821,0,7,0,14,0.6223333333333333,max_steps_reached,364,0,364,1122.7115918243321,0,1,7,guidance_0_capability_0_safety_0,0,0,0,sampling
0.816875,0.0,1.0,0,1000,242.94999999999686,24.300000000002953,16.37500000000137,16.05000000000136,0,6,853,0,8,0,14,0.5643333333333334,max_steps_reached,347,0,347,695.5790285708608,0,1,8,guidance_0_capability_0_safety_0,0,0,0,sampling
0.568125,0.0,0.375,0,431,101.24999999999811,69.45000000000174,64.65000000000198,64.25000000000199,1,8,372,0,3,0,7,0.29698375870069604,collision,117,0,117,1102.2264873468184,0,1,9,guidance_0_capability_0_safety_0,0,0,0,sampling
0.33375,0.0,0.125,0,318,81.89999999999922,73.6000000000015,72.2500000000015,71.95000000000155,1,9,171,0,1,0,4,0.44025157232704404,collision,30,0,30,1292.564495828133,0,1,10,guidance_0_capability_0_safety_0,0,0,0,sampling
0.724375,0.0,0.75,0,1000,237.9999999999972,25.800000000003003,18.100000000001344,17.65000000000134,0,11,930,0,6,0,15,0.6136666666666667,max_steps_reached,392,0,392,1150.7947269409624,0,1,11,guidance_0_capability_0_safety_0,0,0,0,sampling
0.643125,0.0,0.75,0,777,187.74999999999682,40.85000000000277,35.700000000001594,35.600000000001614,1,19,586,0,6,0,14,0.5585585585585585,collision,298,0,298,614.9266621397644,0,1,12,guidance_0_capability_0_safety_0,0,0,0,sampling
0.85,0.0,0.875,0,1000,240.59999999999704,26.000000000003094,16.70000000000137,16.250000000001343,0,14,825,0,7,0,21,0.5466666666666666,max_steps_reached,371,0,371,1430.0122769518903,0,1,13,guidance_0_capability_0_safety_0,0,0,0,sampling
0.02375,0.0,0.0,0,10,3.0500000000000007,99.10000000000005,98.92500000000005,98.85000000000005,1,7,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,14,guidance_0_capability_0_safety_0,0,0,0,sampling
0.861875,0.0,0.875,0,1000,233.6999999999972,29.400000000003224,18.450000000001374,17.900000000001377,0,17,858,0,7,0,17,0.5403333333333333,max_steps_reached,338,0,338,934.6257846472594,0,1,15,guidance_0_capability_0_safety_0,0,0,0,sampling
0.035,0.0,0.0,0,15,3.750000000000001,98.45000000000009,98.90000000000006,98.80000000000007,1,7,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,16,guidance_0_capability_0_safety_0,0,0,0,sampling
0.7475,0.0,0.625,0,1000,236.99999999999721,27.500000000003144,17.750000000001336,17.05000000000129,0,2,887,0,5,0,16,0.6013333333333334,max_steps_reached,374,0,374,1143.7659043446247,0,1,17,guidance_0_capability_0_safety_0,0,0,0,sampling
0.020625,0.0,0.0,0,8,2.100000000000001,99.20000000000005,99.35000000000004,99.30000000000004,1,4,0,0,0,0,1,0.0,collision,1,0,1,127.76769494006822,0,1,18,guidance_0_capability_0_safety_0,0,0,0,sampling
0.679375,0.0,0.875,0,1000,241.9999999999972,24.700000000003065,16.650000000001356,16.400000000001313,0,4,818,0,7,0,13,0.6376666666666667,max_steps_reached,260,0,260,1492.809973345994,0,1,19,guidance_0_capability_0_safety_0,0,0,0,sampling
