coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.65875,0.0,0.625,0,1000,249.09999999999675,16.000000000002718,17.45000000000138,16.850000000001366,0,2,894,0,5,0,17,0.6486666666666666,max_steps_reached,375,0,375,756.8260403732247,0,1,0,without_capability_reward,1,0,1,sampling
0.748125,0.0,0.625,0,1000,245.0499999999968,14.700000000002653,20.125000000001403,16.35000000000138,0,8,754,0,5,0,15,0.601,max_steps_reached,434,0,434,1038.2787143547719,0,1,1,without_capability_reward,1,0,1,sampling
0.723125,0.0,0.5,0,1000,247.19999999999672,15.000000000002702,18.900000000001352,17.050000000001333,0,3,767,0,4,0,12,0.6143333333333333,max_steps_reached,372,0,372,627.5215374471884,0,1,2,without_capability_reward,1,0,1,sampling
0.68625,0.0,0.875,0,1000,248.39999999999677,16.000000000002757,17.800000000001322,17.4000000000013,0,1,783,0,7,0,17,0.634,max_steps_reached,357,0,357,729.4826189695583,0,1,3,without_capability_reward,1,0,1,sampling
0.7875,0.0,0.875,0,1000,243.39999999999708,17.100000000002716,19.750000000001382,19.20000000000136,0,1,784,0,7,0,22,0.58,max_steps_reached,371,0,371,1608.1037014765259,0,1,4,without_capability_reward,1,0,1,sampling
0.780625,0.0,0.75,0,1000,251.04999999999683,16.700000000002795,16.125000000001336,13.800000000001315,0,2,775,0,6,0,21,0.5836666666666667,max_steps_reached,317,0,317,843.3983151302679,0,1,5,without_capability_reward,1,0,1,sampling
0.399375,0.0,0.375,0,484,123.09999999999691,58.700000000002184,59.10000000000191,58.80000000000187,1,1,324,0,3,0,5,0.5599173553719008,collision,148,0,148,1144.1588890528205,0,1,6,without_capability_reward,1,0,1,sampling
0.741875,0.0,0.75,0,1000,252.4499999999969,12.200000000002666,17.675000000001365,17.600000000001373,0,0,768,0,6,0,11,0.6043333333333333,max_steps_reached,337,0,337,886.797021998182,0,1,7,without_capability_reward,1,0,1,sampling
0.85,0.0,0.75,0,1000,250.4999999999965,14.600000000002721,17.45000000000136,17.300000000001354,0,1,921,0,6,0,14,0.5466666666666666,max_steps_reached,356,0,356,1495.6549440006575,0,1,8,without_capability_reward,1,0,1,sampling
0.731875,0.0,0.625,0,1000,245.69999999999686,12.900000000002693,20.70000000000141,17.850000000001366,0,21,890,0,5,0,14,0.6096666666666667,max_steps_reached,409,0,409,1299.6700096538698,0,1,9,without_capability_reward,1,0,1,sampling
0.634375,0.0,0.5,0,1000,253.69999999999672,11.000000000002569,17.650000000001345,17.25000000000132,0,1,819,0,4,0,13,0.6616666666666666,max_steps_reached,305,0,305,1326.0290365304593,0,1,10,without_capability_reward,1,0,1,sampling
0.465625,0.0,0.625,0,441,108.0499999999978,63.05000000000208,64.45000000000192,64.15000000000191,1,2,257,0,5,0,8,0.436885865457294,collision,108,0,108,737.6604400837737,0,1,11,without_capability_reward,1,0,1,sampling
0.694375,0.0,0.625,0,1000,252.3999999999968,12.600000000002666,17.5000000000013,16.400000000001313,0,5,686,0,5,0,12,0.6296666666666667,max_steps_reached,387,0,387,657.181945243825,0,1,12,without_capability_reward,1,0,1,sampling
0.823125,0.0,0.875,0,1000,243.64999999999696,17.00000000000279,19.675000000001347,19.20000000000139,0,2,866,0,7,0,21,0.561,max_steps_reached,438,0,438,1089.5228562396887,0,1,13,without_capability_reward,1,0,1,sampling
0.513125,0.0,0.375,0,1000,247.99999999999676,12.400000000002617,19.80000000000136,17.900000000001306,0,17,743,0,3,0,16,0.7263333333333334,max_steps_reached,399,0,399,1592.117257269403,0,1,14,without_capability_reward,1,0,1,sampling
0.10875,0.0,0.0,0,76,19.45000000000003,93.0000000000004,93.77500000000033,93.70000000000033,1,1,10,0,0,0,0,0.23684210526315788,collision,0,0,0,0.0,0,1,15,without_capability_reward,1,0,1,sampling
0.603125,0.0,0.5,0,935,233.34999999999687,19.950000000002778,23.35000000000139,22.700000000001353,1,1,701,0,4,0,14,0.6559714795008913,collision,368,0,368,986.9917196244392,0,1,16,without_capability_reward,1,0,1,sampling
0.776875,0.0,0.875,0,1000,248.04999999999671,15.900000000002713,18.02500000000133,16.900000000001327,0,39,818,0,7,0,16,0.5856666666666667,max_steps_reached,326,0,326,1067.4770013247532,0,1,17,without_capability_reward,1,0,1,sampling
0.845625,0.0,1.0,0,1000,248.09999999999675,13.800000000002726,19.05000000000137,17.90000000000135,0,1,694,0,8,0,21,0.549,max_steps_reached,408,0,408,804.95014625565,0,1,18,without_capability_reward,1,0,1,sampling
0.685,0.0,0.625,0,1000,245.69999999999678,17.000000000002725,18.650000000001345,18.600000000001373,0,0,905,0,5,0,14,0.6346666666666667,max_steps_reached,359,0,359,1406.115714298716,0,1,19,without_capability_reward,1,0,1,sampling
