update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,guidance_0_capability_0_safety_1,1,-0.2402441432022897,1,0.0325,0.0,0.0,0,197,0,0,-0.0063546197488904,68.68269348144531,1.7188243865966797,0.001812267815694213,0.0,0.18611133098602295
2,guidance_0_capability_0_safety_1,1,-0.4597753960733826,3,0.021875,0.0,0.0,0,185,0,0,-0.00043979909969493747,85.13227844238281,1.6944864988327026,-0.00046751610352657735,0.0,0.19145503640174866
3,guidance_0_capability_0_safety_1,1,-0.7981835967184452,8,0.0425,0.0,0.0,0,59,0,0,-0.004135990049690008,184.4831085205078,1.7056453227996826,0.0029293799307197332,0.0,0.1887919157743454
4,guidance_0_capability_0_safety_1,1,-0.6938671963471279,13,0.013125,0.0,0.0,0,42,0,0,-0.004054021090269089,179.5202178955078,1.726065993309021,0.003236395074054599,0.0,0.18638360500335693
5,guidance_0_capability_0_safety_1,1,-0.6579394658765523,16,0.02125,0.0,0.0,0,89,0,0,-0.0011479284148663282,119.5325698852539,1.6765168905258179,0.0003772815689444542,0.0,0.19620630145072937
6,guidance_0_capability_0_safety_1,1,-0.6227734467647679,18,0.010625,0.0,0.0,0,11,0,0,-0.000538098975084722,137.16238403320312,1.6881160736083984,-0.0013045442756265402,0.0,0.19425833225250244
7,guidance_0_capability_0_safety_1,1,-0.31750976277544396,19,0.038125,0.0,0.0,0,115,0,0,-0.0022558504715561867,78.71049499511719,1.6578700542449951,0.002085721818730235,0.0,0.20125840604305267
8,guidance_0_capability_0_safety_1,1,-0.3590429608047998,21,0.038125,0.0,0.0,0,41,0,0,-0.001721290871500969,89.07681274414062,1.6537411212921143,0.00036923805600963533,0.0,0.21203278005123138
9,guidance_0_capability_0_safety_1,1,-0.4666699302542838,23,0.0175,0.0,0.0,0,92,0,0,-0.0018163872882723808,95.02432250976562,1.6521241664886475,0.0022462138440459967,0.0,0.20788657665252686
10,guidance_0_capability_0_safety_1,1,-0.7122070395198534,26,0.025,0.0,0.0,0,128,0,0,-0.0012411121279001236,172.85275268554688,1.6654517650604248,-0.001840036828070879,0.0,0.20414182543754578
11,guidance_0_capability_0_safety_1,1,-0.37680663551509497,28,0.056875,0.0,0.0,0,45,0,0,-0.0019614300690591335,79.65076446533203,1.6657216548919678,0.0014203314203768969,0.0,0.20476649701595306
12,guidance_0_capability_0_safety_1,1,-0.1394531223049853,29,0.094375,0.0,0.25,0,149,0,0,-0.003834514645859599,45.79325485229492,1.630670428276062,-0.0009847601177170873,0.0,0.21265080571174622
13,guidance_0_capability_0_safety_1,1,-0.40999023156109615,31,0.026875,0.0,0.0,0,68,0,0,-0.001780706807039678,74.94439697265625,1.620922565460205,0.0020508477464318275,0.0,0.2157786786556244
14,guidance_0_capability_0_safety_1,1,-0.3982129033356614,34,0.033125,0.0,0.0,0,30,0,0,-0.0005675827851518989,83.40646362304688,1.6577023267745972,0.0005259285098873079,0.0,0.20945537090301514
15,guidance_0_capability_0_safety_1,1,-0.4808984304399928,37,0.006875,0.0,0.0,0,11,0,0,-0.0012899476569145918,119.69544982910156,1.6790111064910889,0.00017037149518728256,0.0,0.204173743724823
16,guidance_0_capability_0_safety_1,1,-0.38116209908912424,40,0.05125,0.0,0.125,0,58,0,0,-0.002771874889731407,85.23788452148438,1.6590468883514404,0.0009026444749906659,0.0,0.20297026634216309
17,guidance_0_capability_0_safety_1,1,-0.7312988134617626,44,0.01,0.0,0.0,0,4,0,0,-4.7399043978657573e-05,139.3080596923828,1.6562211513519287,-0.00015967324725352228,0.0,0.20820888876914978
18,guidance_0_capability_0_safety_1,1,0.08179687322990503,44,0.28875,0.0,0.25,0,260,0,0,-0.0037678456865251064,23.58431625366211,1.6581990718841553,0.00012726352724712342,0.0,0.20709514617919922
19,guidance_0_capability_0_safety_1,1,-0.25749999625986675,45,0.026875,0.0,0.0,0,169,0,0,-0.0044890656135976315,33.36417770385742,1.662959098815918,0.0014117506798356771,0.0,0.20250222086906433
20,guidance_0_capability_0_safety_1,1,-0.01849609040073119,46,0.065,0.0,0.0,0,38,0,0,-0.005211870651692152,41.29156494140625,1.6604671478271484,-0.0021556715946644545,0.0,0.2094985842704773
21,guidance_0_capability_0_safety_1,1,-0.1440917999461817,48,0.180625,0.0,0.25,0,114,0,0,-0.004547921475023031,61.96131896972656,1.6632980108261108,-0.001304596196860075,0.0,0.2050008475780487
22,guidance_0_capability_0_safety_1,1,-0.08021484383061761,49,0.01625,0.0,0.0,0,60,0,0,-0.006222512573003769,28.011510848999023,1.6390101909637451,0.0017994476947933435,0.0,0.21410898864269257
23,guidance_0_capability_0_safety_1,1,-0.08496094119618647,50,0.155,0.0,0.25,0,173,0,0,-0.00343911862000823,30.444026947021484,1.6354596614837646,-0.00253299786709249,0.0,0.21750923991203308
24,guidance_0_capability_0_safety_1,1,-0.02560546865061042,50,0.264375,0.0,0.25,0,429,0,0,-0.004886540584266186,9.957235336303711,1.6196327209472656,0.008104796521365643,0.0,0.21631744503974915
25,guidance_0_capability_0_safety_1,1,0.11785157288977643,50,0.403125,0.125,0.25,0,685,0,0,-0.003757091937586665,34.43380355834961,1.6131848096847534,0.006911871954798698,0.0,0.21431100368499756
26,guidance_0_capability_0_safety_1,1,0.11185547943387064,50,0.464375,0.25,0.375,0,941,0,0,-0.0012001916766166687,27.77422332763672,1.6066770553588867,-0.0012258951319381595,0.0,0.2277943342924118
27,guidance_0_capability_0_safety_1,1,0.10384765625713044,51,0.17875,0.0,0.125,0,197,0,0,-0.0004592423210851848,10.046528816223145,1.5259345769882202,0.0005378345958888531,0.0,0.2520843744277954
28,guidance_0_capability_0_safety_1,1,0.13018554658629,51,0.41625,0.0,0.25,0,453,0,0,-0.0014542918652296066,10.462646484375,1.5203555822372437,-0.000469844788312912,0.0,0.25747156143188477
29,guidance_0_capability_0_safety_1,1,0.20649414825675194,51,0.491875,0.25,0.25,0,709,0,0,-0.0015607904642820358,57.341426849365234,1.5274451971054077,0.001109860255382955,0.0,0.25494667887687683
30,guidance_0_capability_0_safety_1,1,-0.05221679506576038,51,0.521875,0.25,0.25,0,965,0,0,-0.00311822397634387,1.933221697807312,1.416123390197754,0.004593011923134327,0.0,0.29583030939102173
