update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,full_ca_hmappo,1,-0.5740630205027628,4,0.013125,0.0,0.0,0,37,0,0,-0.009959219954907894,375.92816162109375,1.7224946022033691,-0.0010842501651495695,0.0,0.18619030714035034
2,full_ca_hmappo,1,0.3041879892809902,7,0.01375,0.0,0.0,0,7,0,0,-0.005538828205317259,321.4761962890625,1.6849029064178467,-0.0015691498992964625,0.0,0.19690656661987305
3,full_ca_hmappo,1,-0.7119657627918059,10,0.048125,0.0,0.0,0,103,0,0,-0.001228413311764598,184.55316162109375,1.6782903671264648,0.002093889517709613,0.0,0.19590970873832703
4,full_ca_hmappo,1,-0.11937618935189676,12,0.01125,0.0,0.0,0,41,0,0,-0.006648164242506027,343.68328857421875,1.656043529510498,0.0008850258309394121,0.0,0.20772752165794373
5,full_ca_hmappo,1,0.010765605424239766,13,0.01875,0.0,0.0,0,215,0,0,-0.0032952609471976757,261.98583984375,1.6663405895233154,-0.0008713047718629241,0.0,0.20325402915477753
6,full_ca_hmappo,1,0.31577410934187355,15,0.0175,0.0,0.0,0,16,0,0,-0.000260709784924984,241.51278686523438,1.6494884490966797,0.0026166015304625034,0.0,0.20900940895080566
7,full_ca_hmappo,1,0.39818095760347205,18,0.008125,0.0,0.0,0,9,0,0,-0.0011270692339166999,333.3431091308594,1.7138538360595703,0.0016531808068975806,0.0,0.18826305866241455
8,full_ca_hmappo,1,-0.42393416554682517,20,0.014375,0.0,0.0,0,71,0,0,-0.0008862614631652832,252.8364715576172,1.7193994522094727,-0.00043926434591412544,0.0,0.18826614320278168
9,full_ca_hmappo,1,-0.9512342803718639,23,0.010625,0.0,0.0,0,32,0,0,-0.0011298488825559616,246.96438598632812,1.6918576955795288,-0.00026172082289122045,0.0,0.19770371913909912
10,full_ca_hmappo,1,-0.6474538450565888,23,0.0225,0.0,0.0,0,288,0,0,-0.0006100159953348339,124.40855407714844,1.6825599670410156,0.0004417134914547205,0.0,0.1956442892551422
11,full_ca_hmappo,1,-0.5188537153153447,25,0.01875,0.0,0.0,0,221,0,0,-0.001994072925299406,220.21774291992188,1.6860603094100952,0.00041202246211469173,0.0,0.19587013125419617
12,full_ca_hmappo,1,0.23663889354611456,25,0.029375,0.0,0.0,0,477,0,0,-0.0016330219805240631,175.09921264648438,1.6999543905258179,0.0006915940903127193,0.0,0.1948014199733734
13,full_ca_hmappo,1,-0.22051786610973068,28,0.01875,0.0,0.0,0,75,0,0,-0.0005129141500219703,199.86563110351562,1.7181199789047241,-0.0002702514175325632,0.0,0.18713697791099548
14,full_ca_hmappo,1,-0.45080822947898014,30,0.019375,0.0,0.0,0,117,0,0,-0.0008694855496287346,207.0749969482422,1.6968187093734741,-0.00022156164050102234,0.0,0.1957246959209442
15,full_ca_hmappo,1,0.38259860469474916,30,0.0325,0.0,0.0,0,373,0,0,-0.0010761147132143378,104.8849105834961,1.696810007095337,-6.0769885749323294e-05,0.0,0.19548502564430237
16,full_ca_hmappo,1,0.40209161472625965,31,0.0075,0.0,0.0,0,2,0,0,-0.0006802733987569809,108.60952758789062,1.717974066734314,-2.4457229301333427e-05,0.0,0.19112274050712585
17,full_ca_hmappo,1,0.8857038901568899,33,0.013125,0.0,0.0,0,78,0,0,-0.0011787263210862875,459.66802978515625,1.7097926139831543,-0.00045239663450047374,0.0,0.1889636218547821
18,full_ca_hmappo,1,1.0067601177240704,34,0.020625,0.0,0.25,0,41,0,0,-0.00015821556735318154,518.7276611328125,1.7045619487762451,0.0004555928462650627,0.0,0.19319400191307068
19,full_ca_hmappo,1,-0.0055394022779182706,36,0.0175,0.0,0.0,0,60,0,0,-0.0010095220059156418,249.95220947265625,1.723876714706421,0.00010735820978879929,0.0,0.1852380484342575
20,full_ca_hmappo,1,-0.4002079270151171,39,0.02,0.0,0.0,0,112,0,0,-0.004869954660534859,199.50108337402344,1.707141637802124,0.0006945347413420677,0.0,0.18824706971645355
21,full_ca_hmappo,1,-0.126968818946807,41,0.020625,0.0,0.0,0,129,0,0,-0.002285970374941826,178.13308715820312,1.7210967540740967,-0.002536195795983076,0.0,0.19067905843257904
22,full_ca_hmappo,1,0.15664201436038638,42,0.02875,0.0,0.0,0,163,0,0,-0.00239374372176826,231.49462890625,1.6962881088256836,0.001105376984924078,0.0,0.19449876248836517
23,full_ca_hmappo,1,-0.020679320781255228,43,0.056875,0.0,0.0,0,36,0,0,-0.004251427017152309,49.088741302490234,1.6724002361297607,-0.0004224123840685934,0.0,0.20108580589294434
24,full_ca_hmappo,1,0.4323269981541671,43,0.060625,0.0,0.0,0,292,0,0,0.0015808583702892065,226.12149047851562,1.7200877666473389,-0.0011325434315949678,0.0,0.19592246413230896
