update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,guidance_0_capability_0_safety_0,1,-0.12290039023355348,4,0.014375,0.0,0.0,0,7,0,0,-0.00658993748947978,6.608807563781738,1.7818896770477295,0.0007755933329463005,0.0,0.17077216506004333
2,guidance_0_capability_0_safety_0,1,-0.09541992106096586,9,0.008125,0.0,0.0,0,2,0,0,-0.005856053438037634,3.6947202682495117,1.7766294479370117,0.003350137500092387,0.0,0.16927796602249146
3,guidance_0_capability_0_safety_0,1,-0.07805663979161181,12,0.014375,0.0,0.0,0,28,0,0,-0.002393480855971575,4.453225135803223,1.765962839126587,0.001410922035574913,0.0,0.1749836653470993
4,guidance_0_capability_0_safety_0,1,-0.016933593524299795,12,0.035625,0.0,0.0,0,284,0,0,-0.005944717209786177,0.10320762544870377,1.7475242614746094,-0.0005836569471284747,0.0,0.18002662062644958
5,guidance_0_capability_0_safety_0,1,-0.003906250101863407,12,0.065,0.0,0.0,0,540,0,0,-0.010062368586659431,0.04883120581507683,1.7190669775009155,0.0030077125411480665,0.0,0.1867465227842331
6,guidance_0_capability_0_safety_0,1,0.020361327780847205,12,0.13375,0.0,0.0,0,796,0,0,-0.004218291025608778,0.882375180721283,1.6826194524765015,0.0006872173398733139,0.0,0.20270094275474548
7,guidance_0_capability_0_safety_0,1,-0.023388671925204108,14,0.025625,0.0,0.0,0,41,0,0,-0.004453535191714764,0.9461092948913574,1.6462206840515137,0.009736290201544762,0.0,0.203777477145195
8,guidance_0_capability_0_safety_0,1,0.21567382686771452,14,0.10375,0.25,0.0,0,297,0,0,-0.0020996276289224625,45.35897445678711,1.588129997253418,-0.0015290221199393272,0.0,0.2477721869945526
9,guidance_0_capability_0_safety_0,1,0.007919921838038135,14,0.1525,0.25,0.0,0,553,0,0,-0.002365168184041977,0.1360701024532318,1.563922643661499,0.0008391193114221096,0.0,0.25755199790000916
10,guidance_0_capability_0_safety_0,1,0.013437499987048795,14,0.210625,0.25,0.0,0,809,0,0,-0.0021286073606461287,0.7708945274353027,1.5883522033691406,0.0011652742978185415,0.0,0.250555157661438
11,guidance_0_capability_0_safety_0,1,-0.000527343807334546,15,0.040625,0.0,0.0,0,65,0,0,-0.0018573319539427757,0.2984029948711395,1.5960911512374878,0.00012652156874537468,0.0,0.23913481831550598
12,guidance_0_capability_0_safety_0,1,0.03174804702575784,15,0.16125,0.0,0.0,0,321,0,0,-0.0007813973352313042,1.0237079858779907,1.5628962516784668,0.0004683233273681253,0.0,0.2543483078479767
13,guidance_0_capability_0_safety_0,1,-0.004091796890861588,15,0.190625,0.0,0.0,0,577,0,0,-0.0023476104252040386,0.08134409785270691,1.5552911758422852,-0.0006355677614919841,0.0,0.2609432637691498
14,guidance_0_capability_0_safety_0,1,-0.01651367193335318,15,0.200625,0.0,0.0,0,833,0,0,-0.0006040732259862125,0.057064395397901535,1.558171272277832,0.0007080882787704468,0.0,0.26009202003479004
15,guidance_0_capability_0_safety_0,1,0.07798827967781108,18,0.03625,0.0,0.0,0,51,0,0,-0.0006338333478197455,10.702997207641602,1.5709260702133179,-0.0009432169608771801,0.0,0.24979564547538757
16,guidance_0_capability_0_safety_0,1,0.14885741893886006,18,0.15375,0.125,0.0,0,307,0,0,-0.0007058649207465351,24.643417358398438,1.5547517538070679,-0.0002462179400026798,0.0,0.249765545129776
17,guidance_0_capability_0_safety_0,1,0.03028320355952019,18,0.20125,0.125,0.25,0,563,0,0,-0.001560663222335279,2.4344067573547363,1.5581965446472168,-0.0006313696503639221,0.0,0.2552989423274994
