update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,without_capability_reward,1,-0.27566406456389814,1,0.045,0.0,0.0,0,158,0,0,-0.007765393704175949,48.97164535522461,1.762346625328064,0.0017649971414357424,0.0,0.1744576096534729
2,without_capability_reward,1,-0.25457031363112037,1,0.04625,0.0,0.0,0,414,0,0,-0.002174793742597103,28.431535720825195,1.7243995666503906,0.0006126456428319216,0.0,0.18370656669139862
3,without_capability_reward,1,-0.22382812147043296,2,0.039375,0.0,0.0,0,155,0,0,-0.0036117422860115767,37.881656646728516,1.7538604736328125,0.003901468589901924,0.0,0.17730426788330078
4,without_capability_reward,1,-0.08854492245154688,2,0.065,0.0,0.0,0,411,0,0,-0.004902427084743977,6.764944553375244,1.745111346244812,0.0005900844698771834,0.0,0.1807647943496704
5,without_capability_reward,1,-0.5541992203434347,5,0.015,0.0,0.0,0,38,0,0,-0.0016356639098376036,141.51873779296875,1.7243751287460327,0.0010070079006254673,0.0,0.184046670794487
6,without_capability_reward,1,-0.35014648151991423,6,0.013125,0.0,0.0,0,41,0,0,0.0007436775485984981,70.26286315917969,1.716765284538269,0.00018153185374103487,0.0,0.18696406483650208
7,without_capability_reward,1,-0.035585937734140316,6,0.03625,0.0,0.0,0,297,0,0,-0.004585463088005781,0.5843244791030884,1.726085901260376,-0.001347642857581377,0.0,0.18633100390434265
8,without_capability_reward,1,-0.06466796941822395,6,0.07875,0.0,0.0,0,553,0,0,-0.0023535043001174927,2.144646644592285,1.7248872518539429,0.0025428407825529575,0.0,0.18849247694015503
9,without_capability_reward,1,-0.1019238286135078,6,0.083125,0.0,0.0,0,809,0,0,0.0004481971263885498,4.388568878173828,1.7141132354736328,-3.783288411796093e-05,0.0,0.19543766975402832
10,without_capability_reward,1,-0.017539062348078005,7,0.02875,0.0,0.0,0,65,0,0,-0.002379325684159994,0.42479008436203003,1.7227551937103271,0.00012447584595065564,0.0,0.19064752757549286
11,without_capability_reward,1,-0.05825195323996013,7,0.0375,0.0,0.0,0,321,0,0,-0.0015365357976406813,1.2855015993118286,1.6979097127914429,-1.9668912500492297e-05,0.0,0.19545471668243408
12,without_capability_reward,1,-0.011328124961437425,7,0.05625,0.0,0.0,0,577,0,0,-0.0040971930138766766,0.13164347410202026,1.7243249416351318,-0.0009330787579528987,0.0,0.18687760829925537
13,without_capability_reward,1,-0.06893554755151854,7,0.069375,0.0,0.0,0,833,0,0,-0.001224154606461525,2.1295435428619385,1.6794513463974,0.005282056983560324,0.0,0.19976195693016052
14,without_capability_reward,1,-0.10475585549284006,9,0.009375,0.0,0.0,0,17,0,0,0.0003623552620410919,24.65892791748047,1.7112903594970703,0.0003932436811737716,0.0,0.1900031566619873
15,without_capability_reward,1,-0.48486328747094376,12,0.010625,0.0,0.0,0,5,0,0,-0.000605928129516542,110.8580322265625,1.6798828840255737,0.000777325767558068,0.0,0.20148800313472748
16,without_capability_reward,1,-0.4092578135532676,15,0.015,0.0,0.0,0,32,0,0,0.00022316942340694368,72.9219970703125,1.6897485256195068,-0.0006381288403645158,0.0,0.20386604964733124
17,without_capability_reward,1,-0.08095703037906787,15,0.03125,0.0,0.0,0,288,0,0,-0.002432358916848898,2.6279408931732178,1.7003095149993896,0.0007265940075740218,0.0,0.19651377201080322
18,without_capability_reward,1,0.042353514247224666,15,0.11875,0.0,0.125,0,544,0,0,-0.0005121125723235309,3.4416592121124268,1.6861909627914429,0.001769631402567029,0.0,0.19684545695781708
19,without_capability_reward,1,-0.4321093822327384,17,0.04625,0.0,0.0,0,149,0,0,-0.0009646738762967288,70.22172546386719,1.6341922283172607,0.00014478857337962836,0.0,0.22086863219738007
20,without_capability_reward,1,-0.07958984305878403,17,0.10875,0.0,0.0,0,405,0,0,-0.0010366735514253378,5.394375801086426,1.665212631225586,-0.00018826438463293016,0.0,0.2122804969549179
21,without_capability_reward,1,-0.2708105435485777,18,0.015,0.0,0.0,0,30,0,0,-0.0006647830596193671,37.641021728515625,1.6702311038970947,0.00010742810263764113,0.0,0.20847690105438232
22,without_capability_reward,1,-0.13155273412485258,19,0.0375,0.0,0.0,0,163,0,0,-0.00043725408613681793,21.647619247436523,1.6577532291412354,0.00012663476809393615,0.0,0.21024459600448608
23,without_capability_reward,1,-0.22208984413009603,20,0.0275,0.0,0.0,0,223,0,0,0.00012109118688385934,36.72035217285156,1.6468267440795898,0.0002130628563463688,0.0,0.21510553359985352
24,without_capability_reward,1,-0.05672851608323981,20,0.03875,0.0,0.0,0,479,0,0,-0.007228424772620201,0.9299670457839966,1.6430935859680176,0.003992000594735146,0.0,0.21130411326885223
25,without_capability_reward,1,-0.288232425791648,22,0.02375,0.0,0.0,0,117,0,0,-0.00022949092090129852,52.68949890136719,1.5816510915756226,0.003549930639564991,0.0,0.23076890408992767
26,without_capability_reward,1,-0.44610352114614216,25,0.058125,0.0,0.125,0,99,0,0,0.0005750575801357627,111.41189575195312,1.5511071681976318,-0.001305282930843532,0.0,0.2622043192386627
27,without_capability_reward,1,0.006572265509021236,25,0.111875,0.0,0.125,0,355,0,0,-0.0018925059121102095,1.7637821435928345,1.531800627708435,0.00012821114796679467,0.0,0.26578661799430847
28,without_capability_reward,1,0.1256738273150404,25,0.379375,0.0,0.25,0,611,0,0,-0.0007930022547952831,11.763484954833984,1.5050863027572632,0.0010878294706344604,0.0,0.26902586221694946
29,without_capability_reward,1,-0.4075585961654724,28,0.013125,0.0,0.0,0,7,0,0,-0.00015174101281445473,87.4574966430664,1.4872784614562988,9.591055277269334e-05,0.0,0.28414976596832275
30,without_capability_reward,1,0.01321289063707809,28,0.095,0.0,0.0,0,263,0,0,-0.0005498429527506232,2.8134899139404297,1.4634413719177246,-5.141366273164749e-05,0.0,0.29654359817504883
31,without_capability_reward,1,-0.7041894541071088,33,0.041875,0.0,0.0,0,58,0,0,0.00036249434924684465,147.11541748046875,1.449620008468628,-9.220372885465622e-05,0.0,0.3019150197505951
32,without_capability_reward,1,-0.26855467978384695,35,0.0775,0.0,0.25,0,220,0,0,-0.0007538671488873661,38.13134765625,1.4622926712036133,0.00024334233603440225,0.0,0.2946271300315857
33,without_capability_reward,1,-0.17532226227558567,36,0.014375,0.0,0.0,0,37,0,0,-0.0004772513057105243,25.249128341674805,1.443992018699646,-0.0005446203867904842,0.0,0.30783218145370483
34,without_capability_reward,1,-0.39024415155654424,39,0.01625,0.0,0.0,0,43,0,0,-0.0007441441412083805,68.78517150878906,1.451791524887085,-0.00026699312729761004,0.0,0.3106437921524048
35,without_capability_reward,1,-0.5909277291975741,44,0.074375,0.0,0.0,0,77,0,0,-0.00041091442108154297,100.8920669555664,1.467042326927185,0.00010600266978144646,0.0,0.30036240816116333
36,without_capability_reward,1,-0.5134277318938985,48,0.085,0.0,0.125,0,89,0,0,-0.00030536329722963274,109.145751953125,1.4542055130004883,0.0001413565332768485,0.0,0.29657959938049316
37,without_capability_reward,1,-0.2969628952923813,50,0.055625,0.0,0.0,0,67,0,0,-0.000769859179854393,60.731719970703125,1.4581515789031982,0.0001281087752431631,0.0,0.30920061469078064
38,without_capability_reward,1,-0.4015039120640722,53,0.0575,0.0,0.0,0,116,0,0,-2.995257636939641e-05,87.1505126953125,1.4175105094909668,5.828387656947598e-05,0.0,0.319027304649353
39,without_capability_reward,1,-0.16984374801177182,54,0.085625,0.0,0.125,0,179,0,0,-0.0005533568328246474,42.07146072387695,1.4376881122589111,0.0004904270172119141,0.0,0.31144654750823975
40,without_capability_reward,1,-0.13014649183969595,55,0.01875,0.0,0.0,0,48,0,0,-0.0013938674237579107,34.134521484375,1.4667872190475464,0.0008232625550590456,0.0,0.29100310802459717
41,without_capability_reward,1,-0.00412109389071702,55,0.074375,0.0,0.0,0,304,0,0,-0.0002653536794241518,2.3791663646698,1.46146821975708,0.00038231228245422244,0.0,0.2946404218673706
42,without_capability_reward,1,-0.2971093702217331,57,0.033125,0.0,0.0,0,38,0,0,0.00024648261023685336,49.47169494628906,1.472853183746338,-0.00014794804155826569,0.0,0.28155332803726196
43,without_capability_reward,1,0.0020410159886523616,57,0.09625,0.0,0.0,0,294,0,0,-0.0007954364409670234,3.0833919048309326,1.4813947677612305,-0.0009265306289307773,0.0,0.2817314565181732
44,without_capability_reward,1,0.04909179563765065,57,0.200625,0.0,0.375,0,550,0,0,-0.0008694116841070354,14.434518814086914,1.486620306968689,-0.00047046475810930133,0.0,0.28804874420166016
45,without_capability_reward,1,-0.2513867194975319,58,0.01625,0.0,0.0,0,21,0,0,0.00014030809688847512,48.02783966064453,1.4765357971191406,0.00018218268814962357,0.0,0.2936900854110718
46,without_capability_reward,1,-0.18579101408613496,60,0.038125,0.0,0.0,0,37,0,0,-0.0011408466380089521,34.06841278076172,1.4449081420898438,-0.00037036900175735354,0.0,0.2920408546924591
47,without_capability_reward,1,0.03681640663489816,60,0.138125,0.0,0.125,0,293,0,0,-0.0008227142388932407,4.8020734786987305,1.4541571140289307,2.5514978915452957e-05,0.0,0.30573830008506775
48,without_capability_reward,1,-0.1904004007956246,61,0.03375,0.0,0.0,0,63,0,0,-6.784933793824166e-05,31.24736213684082,1.4459021091461182,0.0003466302005108446,0.0,0.30266425013542175
49,without_capability_reward,1,0.010039062850410119,61,0.12,0.0,0.0,0,319,0,0,-0.00042450553155504167,3.8385605812072754,1.4611848592758179,0.00017001689411699772,0.0,0.2979772090911865
50,without_capability_reward,1,-0.18956054324371507,62,0.096875,0.0,0.0,0,150,0,0,-0.0018504734616726637,36.29777145385742,1.4376572370529175,-0.0007614195346832275,0.0,0.3144072890281677
51,without_capability_reward,1,-0.19672851182258455,64,0.0675,0.0,0.125,0,159,0,0,-0.0006889775395393372,37.894264221191406,1.4355781078338623,0.0007606091676279902,0.0,0.3041808307170868
52,without_capability_reward,1,0.0020605469253496267,64,0.1175,0.0,0.125,0,415,0,0,-0.0007228035246953368,1.958303451538086,1.4558467864990234,0.0003028821083717048,0.0,0.2961420714855194
53,without_capability_reward,1,-0.05990235135323019,65,0.089375,0.0,0.25,0,140,0,0,-0.0018759866943582892,21.754669189453125,1.4693679809570312,3.0737217457499355e-05,0.0,0.3010636568069458
54,without_capability_reward,1,-0.12971679292240879,66,0.08625,0.0,0.0,0,176,0,0,-0.006084478925913572,20.986562728881836,1.4594640731811523,0.003550922963768244,0.0,0.3085769712924957
55,without_capability_reward,1,0.05275390622409759,66,0.188125,0.0,0.25,0,432,0,0,0.0006253815954551101,7.082066535949707,1.5601547956466675,0.005845846142619848,0.0,0.26982271671295166
56,without_capability_reward,1,-0.27373046280263225,68,0.07125,0.0,0.0,0,91,0,0,0.0004084290412720293,67.41227722167969,1.520306944847107,0.0023055444471538067,0.0,0.27540385723114014
57,without_capability_reward,1,-0.136474609204015,69,0.15625,0.0,0.0,0,217,0,0,-0.0013934759190306067,45.581886291503906,1.5201966762542725,0.00024207883689086884,0.0,0.267469584941864
58,without_capability_reward,1,-0.002207031939178705,69,0.265625,0.0,0.0,0,473,0,0,-0.00036920420825481415,4.043893814086914,1.57322359085083,-0.0010103173553943634,0.0,0.24270747601985931
59,without_capability_reward,1,0.0005664062446157914,69,0.3925,0.0,0.0,0,729,0,0,-0.0012810019543394446,2.808424234390259,1.5913946628570557,0.0004548369615804404,0.0,0.23781704902648926
60,without_capability_reward,1,-0.10103515667287866,69,0.40875,0.0,0.0,0,985,0,0,-0.0018393609207123518,2.221128225326538,1.4830539226531982,-3.999642501639755e-07,0.0,0.2884736657142639
61,without_capability_reward,1,-0.12958985627847142,72,0.145,0.0,0.375,0,89,0,0,-0.002055143006145954,47.7564697265625,1.4773705005645752,0.0005275615258142352,0.0,0.27500951290130615
62,without_capability_reward,1,-0.03693359447061084,72,0.220625,0.0,0.375,0,345,0,0,-0.004062480293214321,3.1555020809173584,1.5064729452133179,-0.0020455564372241497,0.0,0.25488772988319397
63,without_capability_reward,1,-0.0028027335210936144,72,0.31625,0.0,0.75,0,601,0,0,0.00021554002887569368,8.479375839233398,1.481245994567871,0.0008496999507769942,0.0,0.26832544803619385
64,without_capability_reward,1,-0.13664062590396497,72,0.39875,0.0,0.75,0,857,0,0,0.0011281759943813086,15.379768371582031,1.469956398010254,0.0012041317531839013,0.0,0.2670125365257263
65,without_capability_reward,1,0.11090820228855591,73,0.2175,0.0,0.375,0,113,0,0,-0.0005697744782082736,18.281288146972656,1.3842592239379883,0.0007065163226798177,0.0,0.31357288360595703
66,without_capability_reward,1,0.04606445059471298,73,0.385625,0.0,0.5,0,369,0,0,-0.0005208899965509772,4.459260940551758,1.4926046133041382,0.0006324518471956253,0.0,0.2631711959838867
67,without_capability_reward,1,0.013945312442956492,73,0.480625,0.0,0.625,0,625,0,0,-0.0013468563556671143,4.119351387023926,1.4416673183441162,0.0003758399689104408,0.0,0.28112098574638367
68,without_capability_reward,1,-0.014726562585565262,73,0.548125,0.0,0.625,0,881,0,0,-0.0021539507433772087,1.6597057580947876,1.4465959072113037,-0.0010615159990265965,0.0,0.2850452661514282
69,without_capability_reward,1,0.0020214838805259205,74,0.150625,0.0,0.0,0,137,0,0,-0.0017217302229255438,5.292364120483398,1.288508653640747,-0.002489149570465088,0.0,0.3696644902229309
70,without_capability_reward,1,0.05254882835288299,74,0.28375,0.0,0.125,0,393,0,0,-0.004893307574093342,4.13314962387085,1.3646949529647827,-7.857328455429524e-05,0.0,0.3131906986236572
71,without_capability_reward,1,-0.05111328254133696,74,0.29125,0.0,0.125,0,649,0,0,-0.005723380949348211,1.5034310817718506,1.3474019765853882,0.0020621763542294502,0.0,0.3225657343864441
