update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,without_guidance,1,0.2868981811056983,1,0.0325,0.0,0.0,0,197,0,0,-0.005866256542503834,220.1088409423828,1.7280237674713135,0.003570062108337879,0.0,0.18417513370513916
2,without_guidance,1,0.2700128817496079,4,0.018125,0.0,0.0,0,18,0,0,-0.004825512878596783,237.70623779296875,1.7216079235076904,0.0018387835007160902,0.0,0.18490982055664062
3,without_guidance,1,0.08477752657267956,6,0.021875,0.0,0.0,0,74,0,0,-0.0031786011531949043,320.1534118652344,1.7439402341842651,0.002415167633444071,0.0,0.1767319291830063
4,without_guidance,1,-0.23507281572165084,7,0.044375,0.0,0.0,0,228,0,0,-0.002101833699271083,259.66656494140625,1.6999685764312744,0.0017284469213336706,0.0,0.19132660329341888
5,without_guidance,1,-0.9437905003433116,8,0.02125,0.0,0.0,0,114,0,0,0.0010731134098023176,237.69805908203125,1.6637792587280273,0.0003277539217378944,0.0,0.19734585285186768
6,without_guidance,1,-0.6540625532397826,10,0.024375,0.0,0.0,0,117,0,0,-0.0012882457813248038,215.96011352539062,1.6931480169296265,-0.001116583007387817,0.0,0.19496509432792664
7,without_guidance,1,-0.5877728378982283,11,0.039375,0.0,0.0,0,151,0,0,-0.0007286233594641089,173.13394165039062,1.6539678573608398,-0.0003279377706348896,0.0,0.1983330249786377
8,without_guidance,1,0.6739351833596174,11,0.0475,0.0,0.0,0,407,0,0,0.00018303158867638558,322.6415100097656,1.7168245315551758,0.00029943682602606714,0.0,0.18548890948295593
9,without_guidance,1,0.22271475345769431,12,0.043125,0.0,0.0,0,212,0,0,-0.0013803790789097548,235.04702758789062,1.6816718578338623,0.00042127465712837875,0.0,0.19786792993545532
10,without_guidance,1,0.5123193900660681,14,0.018125,0.0,0.0,0,29,0,0,-0.000705053738784045,362.1604919433594,1.6910226345062256,0.0005970805650576949,0.0,0.195235013961792
11,without_guidance,1,-0.35545421591632476,16,0.055625,0.0,0.0,0,32,0,0,-0.0006724944105371833,226.88966369628906,1.6964080333709717,-0.0011102668941020966,0.0,0.19753775000572205
12,without_guidance,1,0.3431018914025117,16,0.090625,0.0,0.0,0,288,0,0,-0.000444851815700531,136.06887817382812,1.6347426176071167,-7.718607957940549e-05,0.0,0.2158140391111374
13,without_guidance,1,1.063448514687252,16,0.090625,0.0,0.0,0,544,0,0,-0.0007602606783621013,387.7414855957031,1.677424430847168,0.0004060611827298999,0.0,0.19976924359798431
14,without_guidance,1,0.6762377741661112,18,0.035,0.0,0.0,0,141,0,0,-0.001392186968587339,390.79254150390625,1.706634283065796,-0.000699903815984726,0.0,0.19552724063396454
15,without_guidance,1,0.591662093756895,18,0.045,0.0,0.0,0,397,0,0,-0.002256055362522602,108.67166900634766,1.6386003494262695,1.189896556752501e-05,0.0,0.21338026225566864
16,without_guidance,1,0.1688870160994611,20,0.029375,0.0,0.0,0,74,0,0,-0.003836828051134944,195.04873657226562,1.6791270971298218,0.000762629322707653,0.0,0.19970479607582092
17,without_guidance,1,-0.5127169206825783,23,0.015625,0.0,0.0,0,49,0,0,0.00010438139725010842,230.31216430664062,1.6837705373764038,0.002723539713770151,0.0,0.19724351167678833
18,without_guidance,1,-0.049131601370390854,24,0.020625,0.0,0.0,0,16,0,0,-0.00579941226169467,242.8332061767578,1.6981838941574097,0.002373551484197378,0.0,0.1910770833492279
19,without_guidance,1,-0.6685762234410504,26,0.01375,0.0,0.0,0,28,0,0,-0.0006153161521069705,224.95828247070312,1.6231310367584229,0.004520203918218613,0.0,0.21828001737594604
20,without_guidance,1,-0.3070006951529649,28,0.008125,0.0,0.0,0,11,0,0,-0.003313375636935234,202.6735382080078,1.6653398275375366,0.0031122020445764065,0.0,0.20115822553634644
21,without_guidance,1,-0.5643119921951438,30,0.026875,0.0,0.0,0,49,0,0,-0.0020197387784719467,231.8582305908203,1.6658821105957031,0.0024067123886197805,0.0,0.20166978240013123
22,without_guidance,1,0.11093385918502463,32,0.0275,0.0,0.0,0,80,0,0,-0.0008590041543357074,373.33648681640625,1.6680231094360352,0.001133327605202794,0.0,0.2067076414823532
23,without_guidance,1,-0.028521746142359916,35,0.056875,0.125,0.25,0,171,0,0,-0.0020888932049274445,239.135009765625,1.6581408977508545,0.0010296760592609644,0.0,0.20653435587882996
24,without_guidance,1,0.3191555832333961,36,0.09375,0.0,0.0,0,163,0,0,-0.0002380746154813096,373.21124267578125,1.6818156242370605,-1.1370362699381076e-05,0.0,0.199855774641037
25,without_guidance,1,0.29076658875783323,38,0.01,0.0,0.0,0,12,0,0,-0.004656580742448568,190.00167846679688,1.644792914390564,0.0009567650267854333,0.0,0.21038854122161865
26,without_guidance,1,0.2065730513811559,39,0.015625,0.0,0.0,0,6,0,0,-0.0001218287943629548,253.25692749023438,1.6776351928710938,0.0029267477802932262,0.0,0.2121821492910385
27,without_guidance,1,0.9708738341209937,39,0.074375,0.0,0.0,0,262,0,0,-0.002089591696858406,438.40899658203125,1.6707862615585327,-0.0006291214376688004,0.0,0.2092900574207306
28,without_guidance,1,0.567601883226871,40,0.064375,0.0,0.125,0,122,0,0,-0.002094804774969816,234.03909301757812,1.6444177627563477,0.0013898698380216956,0.0,0.21191993355751038
29,without_guidance,1,-0.14979177807617816,41,0.02,0.0,0.0,0,12,0,0,-0.0042360685765743256,170.29898071289062,1.6560146808624268,0.0004753675311803818,0.0,0.20807135105133057
30,without_guidance,1,-0.11905932688205212,41,0.050625,0.0,0.0,0,268,0,0,-0.0037687334697693586,97.4534912109375,1.6435664892196655,-2.0888790459139273e-05,0.0,0.21700750291347504
31,without_guidance,1,0.3554417234918219,43,0.085625,0.0,0.0,0,164,0,0,-0.0045669106766581535,252.46148681640625,1.6572990417480469,-0.003012007102370262,0.0,0.2211364507675171
32,without_guidance,1,0.11149340839955357,43,0.23625,0.0,0.25,0,420,0,0,-0.007917311042547226,58.173805236816406,1.640602469444275,0.0026656310074031353,0.0,0.21630039811134338
33,without_guidance,1,-0.005870816952665336,43,0.246875,0.0,0.25,0,676,0,0,-0.013430769555270672,4.758377552032471,1.622389793395996,0.008023607544600964,0.0,0.22056573629379272
34,without_guidance,1,0.11790126269170287,43,0.265,0.125,0.25,0,932,0,0,-0.0052286721765995026,17.048519134521484,1.6027803421020508,0.01220158115029335,0.0403645858168602,0.2273232638835907
35,without_guidance,1,0.1770473028982451,44,0.183125,0.0,0.125,0,188,0,0,-0.0030338445212692022,109.38388061523438,1.4297740459442139,0.008411603979766369,0.0,0.29286324977874756
36,without_guidance,1,0.38945171258910705,44,0.32375,0.0,0.25,0,444,0,0,-0.0017892203759402037,53.12982940673828,1.5103254318237305,-0.0005770535208284855,0.0,0.2681811451911926
37,without_guidance,1,0.13760719963329393,44,0.398125,0.125,0.25,0,700,0,0,-0.002057103905826807,32.61851501464844,1.4753339290618896,-0.0014576924731954932,0.0,0.2842305898666382
38,without_guidance,1,-0.06865539851605718,44,0.42375,0.125,0.25,0,956,0,0,-0.006136445328593254,4.2252631187438965,1.4903644323349,0.0003617021138779819,0.0,0.2812224328517914
39,without_guidance,1,0.3323881896542389,45,0.135,0.0,0.0,0,212,0,0,-0.0018948912620544434,107.9434814453125,1.4491174221038818,0.0005638725124299526,0.0,0.29919204115867615
40,without_guidance,1,0.20846784308696442,45,0.28125,0.0,0.0,0,468,0,0,-0.00043834777898155153,37.71862030029297,1.479169249534607,0.0027818053495138884,0.0,0.28321322798728943
