update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,without_safety_shaping,1,0.24004431512253177,3,0.02375,0.0,0.0,0,120,0,0,-0.007770415395498276,196.3645782470703,1.7856383323669434,0.0029199772980064154,0.0,0.16785237193107605
2,without_safety_shaping,1,0.7905026368171093,5,0.049375,0.0,0.0,0,229,0,0,-0.0005993638187646866,291.6052551269531,1.7810733318328857,-0.0004499652422964573,0.0,0.16996777057647705
3,without_safety_shaping,1,1.1693121379043987,5,0.064375,0.0,0.0,0,485,0,0,-0.002370388712733984,359.39276123046875,1.7776763439178467,-0.0013196838553994894,0.0,0.17311391234397888
4,without_safety_shaping,1,0.22573877380318663,9,0.018125,0.0,0.0,0,28,0,0,-0.005663654766976833,164.0745391845703,1.7711968421936035,-3.195212775608525e-05,0.0,0.17217980325222015
5,without_safety_shaping,1,-0.019743871343962383,10,0.033125,0.0,0.0,0,53,0,0,-0.0020046383142471313,106.25570678710938,1.7693151235580444,0.00042204948840662837,0.0,0.17482750117778778
6,without_safety_shaping,1,0.10127923906838987,11,0.040625,0.0,0.0,0,45,0,0,-0.0014042321126908064,152.2738037109375,1.7620229721069336,0.003879547817632556,0.0,0.17570613324642181
7,without_safety_shaping,1,0.5102375601836684,13,0.050625,0.0,0.0,0,87,0,0,-0.003705970710143447,290.889404296875,1.7572014331817627,0.00010526630649110302,0.0,0.1783202588558197
8,without_safety_shaping,1,0.30144282222090624,16,0.026875,0.0,0.0,0,21,0,0,-0.003460439620539546,259.4366760253906,1.7497886419296265,0.0015874564414843917,0.0,0.1783597469329834
9,without_safety_shaping,1,1.0420726467898476,17,0.04875,0.0,0.0,0,176,0,0,0.00099862739443779,341.63568115234375,1.747610330581665,0.000607315159868449,0.0,0.180007666349411
10,without_safety_shaping,1,0.16236444206583656,20,0.01,0.0,0.0,0,31,0,0,-0.008669592440128326,135.11134338378906,1.7282264232635498,0.001021877396851778,0.0,0.18546831607818604
11,without_safety_shaping,1,0.3350319052814257,20,0.07375,0.0,0.25,0,287,0,0,-0.0006253229221329093,58.70623016357422,1.7171869277954102,0.0027703996747732162,0.0,0.18703125417232513
12,without_safety_shaping,1,-0.0009808942268136889,21,0.0375,0.0,0.0,0,27,0,0,-0.0008018215885385871,51.631229400634766,1.702446460723877,-0.002455456182360649,0.0,0.20197008550167084
13,without_safety_shaping,1,-0.16107891332194413,22,0.03,0.0,0.0,0,123,0,0,-0.0027061309665441513,70.87530517578125,1.660519003868103,0.0028797907289117575,0.0,0.20344465970993042
14,without_safety_shaping,1,0.2006495428395283,24,0.054375,0.0,0.0,0,89,0,0,-0.0006858967244625092,136.87937927246094,1.6393985748291016,-0.0007664092117920518,0.0,0.22002732753753662
15,without_safety_shaping,1,0.04626833253860241,24,0.081875,0.0,0.0,0,345,0,0,-0.006104871165007353,94.30352783203125,1.6374919414520264,0.0037016745191067457,0.0,0.2224133014678955
16,without_safety_shaping,1,0.6700935649730582,24,0.081875,0.0,0.0,0,601,0,0,0.0026326607912778854,201.63427734375,1.6939224004745483,0.0035547546576708555,0.0,0.20078366994857788
17,without_safety_shaping,1,0.8370335002355205,25,0.03625,0.0,0.0,0,99,0,0,-0.002068338682875037,265.409912109375,1.6830430030822754,0.0035190721973776817,0.0,0.20344850420951843
18,without_safety_shaping,1,0.07131062998087145,26,0.1,0.0,0.0,0,172,0,0,-0.0036366446875035763,87.859619140625,1.6753227710723877,0.0002468532766215503,0.0,0.20327216386795044
19,without_safety_shaping,1,-0.20518153950251872,26,0.115,0.0,0.0,0,428,0,0,-0.0035354378633201122,19.990198135375977,1.6859525442123413,0.0018418810795992613,0.0,0.20272523164749146
20,without_safety_shaping,1,-0.1309334425131965,26,0.149375,0.0,0.0,0,684,0,0,-0.002853152807801962,20.809459686279297,1.7040375471115112,0.0028478754684329033,0.0,0.19831781089305878
21,without_safety_shaping,1,-0.009451981022721156,26,0.154375,0.0,0.0,0,940,0,0,-0.014083392918109894,11.447574615478516,1.713645339012146,0.00451050465926528,0.0,0.19189202785491943
22,without_safety_shaping,1,0.22627003223169595,28,0.0475,0.0,0.0,0,122,0,0,-0.004626230336725712,141.72911071777344,1.6884835958480835,0.0021513416431844234,0.1119791716337204,0.1983422487974167
23,without_safety_shaping,1,0.4716906526227831,32,0.01625,0.0,0.0,0,10,0,0,-0.0013121075462549925,244.6683807373047,1.675673246383667,0.0003951889812014997,0.0,0.20589546859264374
24,without_safety_shaping,1,0.9072544050395663,37,0.0225,0.0,0.0,0,23,0,0,-0.0015160044422373176,380.5013732910156,1.6513222455978394,-0.0005218834849074483,0.0,0.21523019671440125
25,without_safety_shaping,1,0.442489037219957,41,0.02,0.0,0.0,0,28,0,0,-0.0017311967676505446,203.15945434570312,1.6403017044067383,0.002604414476081729,0.0,0.2171216607093811
26,without_safety_shaping,1,0.5138063438571407,44,0.14125,0.0,0.25,0,181,0,0,3.8286052586045116e-05,289.0935363769531,1.6281331777572632,-0.0005015371134504676,0.0,0.23510730266571045
27,without_safety_shaping,1,0.292455167407752,49,0.020625,0.0,0.0,0,8,0,0,-0.0010707713663578033,143.95681762695312,1.6143248081207275,0.0014717810554429889,0.0,0.2291654646396637
28,without_safety_shaping,1,0.42383325584432896,50,0.2075,0.0,0.25,0,244,0,0,-0.00021914704120717943,251.8670654296875,1.6024470329284668,0.0001345574128208682,0.0,0.24193844199180603
29,without_safety_shaping,1,-0.08759689027510831,51,0.06125,0.0,0.0,0,54,0,0,-0.0008959987899288535,16.279918670654297,1.5884040594100952,0.00017508398741483688,0.0,0.2483975738286972
30,without_safety_shaping,1,0.13579541687310126,51,0.09875,0.0,0.125,0,310,0,0,-0.0036522771697491407,10.260565757751465,1.574254035949707,0.0010423741769045591,0.0,0.2516460120677948
31,without_safety_shaping,1,-0.09302254102419738,53,0.04625,0.0,0.0,0,23,0,0,-0.00042848539305850863,12.928752899169922,1.5595462322235107,-0.0005401605740189552,0.0,0.2632434666156769
32,without_safety_shaping,1,0.23204811965842964,54,0.058125,0.0,0.0,0,226,0,0,-0.0011226050555706024,115.59442901611328,1.544769525527954,0.0015956396237015724,0.0,0.2658669352531433
33,without_safety_shaping,1,0.005665177694027079,54,0.150625,0.0,0.0,0,482,0,0,-0.01679852232336998,3.974616527557373,1.5682227611541748,0.004650113172829151,0.0,0.2638365626335144
34,without_safety_shaping,1,0.03989435474795755,55,0.029375,0.0,0.0,0,35,0,0,-0.008955237455666065,4.5728864669799805,1.600929617881775,0.008860673755407333,0.1263020932674408,0.23294848203659058
35,without_safety_shaping,1,0.3291241983533837,58,0.1375,0.0,0.0,0,77,0,0,-0.002023259876295924,136.55137634277344,1.539176344871521,0.00029499130323529243,0.0,0.2538450360298157
36,without_safety_shaping,1,0.5855453701442457,61,0.12875,0.0,0.0,0,190,0,0,-0.0022218076046556234,188.749755859375,1.5128607749938965,0.0012402524007484317,0.0,0.26760393381118774
37,without_safety_shaping,1,0.3903276662022108,63,0.0525,0.0,0.125,0,48,0,0,0.001074915169738233,106.51676940917969,1.505791425704956,0.0005377923953346908,0.0,0.2735266387462616
38,without_safety_shaping,1,0.5772426178582464,65,0.13,0.0,0.375,0,173,0,0,0.0002392791211605072,220.92352294921875,1.4706400632858276,-0.000268825504463166,0.0,0.29038554430007935
39,without_safety_shaping,1,0.23094104865958798,68,0.056875,0.0,0.0,0,26,0,0,9.236035111825913e-05,31.753589630126953,1.4802916049957275,-0.0003723525442183018,0.0,0.2889167070388794
40,without_safety_shaping,1,0.7046118108482915,72,0.034375,0.0,0.0,0,23,0,0,-0.000197666697204113,314.8486022949219,1.4670166969299316,0.000240787718212232,0.0,0.291841596364975
41,without_safety_shaping,1,0.6126341247581877,73,0.115625,0.0,0.375,0,206,0,0,0.00011254412675043568,225.27394104003906,1.4618215560913086,-4.084175452589989e-05,0.0,0.2959766685962677
42,without_safety_shaping,1,0.24882593899837957,77,0.045,0.0,0.0,0,88,0,0,-0.000596269965171814,154.72964477539062,1.459770679473877,0.0007051703287288547,0.0,0.28675299882888794
43,without_safety_shaping,1,-0.06385042742840596,79,0.03375,0.0,0.0,0,18,0,0,-0.0007915105670690536,15.587377548217773,1.4581832885742188,0.00012345767754595727,0.0,0.30500224232673645
44,without_safety_shaping,1,0.5559511474057217,80,0.0125,0.0,0.0,0,4,0,0,-0.00022920407354831696,109.92720031738281,1.4897688627243042,0.0003594974987208843,0.0,0.2783477306365967
45,without_safety_shaping,1,0.3187785498739686,84,0.060625,0.0,0.0,0,55,0,0,-0.0003882553428411484,123.65237426757812,1.457472801208496,-0.00018284190446138382,0.0,0.28486040234565735
46,without_safety_shaping,1,0.49075503099447815,89,0.038125,0.0,0.0,0,30,0,0,7.570038724225014e-05,165.29345703125,1.4628565311431885,-0.00017813345766626298,0.0,0.2877776324748993
47,without_safety_shaping,1,0.617009984300239,94,0.015,0.0,0.0,0,7,0,0,-0.00010374188423156738,207.59884643554688,1.4547536373138428,-0.00010760330769699067,0.0,0.29736167192459106
48,without_safety_shaping,1,0.31583076642709784,96,0.023125,0.0,0.0,0,9,0,0,-0.00036818039370700717,119.60830688476562,1.4501945972442627,-0.00013520987704396248,0.0,0.2980039119720459
49,without_safety_shaping,1,0.6606764272946748,98,0.036875,0.0,0.125,0,42,0,0,-4.7922756493790075e-05,164.73757934570312,1.4526338577270508,-2.7288993805996142e-05,0.0,0.28495335578918457
50,without_safety_shaping,1,-0.09299650095636025,100,0.07,0.0,0.0,0,34,0,0,-0.0005823516985401511,18.11517906188965,1.4558980464935303,0.0001321122981607914,0.0,0.29318344593048096
51,without_safety_shaping,1,0.16554054265725426,102,0.068125,0.0,0.0,0,98,0,0,-0.0020378357730805874,87.8940658569336,1.4599889516830444,0.0005995159735903144,0.0,0.2948414385318756
52,without_safety_shaping,1,0.4417584737602738,103,0.008125,0.0,0.0,0,2,0,0,-0.0002512652426958084,60.639278411865234,1.5046662092208862,1.6698148101568222e-05,0.0,0.2633964717388153
53,without_safety_shaping,1,0.4709314527508468,104,0.11125,0.0,0.125,0,135,0,0,-8.962365973275155e-05,144.30650329589844,1.465050458908081,-0.00035642756847664714,0.0,0.2784775495529175
54,without_safety_shaping,1,0.23445105378050357,105,0.08,0.0,0.0,0,58,0,0,-0.0006020016735419631,49.71643829345703,1.4855048656463623,-0.0003098303859587759,0.0,0.2775498330593109
