coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.0225,0.0,0.5,0,1,0.15000000000000002,99.85000000000001,100.0,100.0,0,0,0,0,1,0,1,0.0,,3.0825000000000005
0.0275,0.0,0.5,0,2,0.39999999999999997,99.70000000000002,99.9,99.9,0,0,0,0,1,0,1,0.0,,0.1825
0.0275,0.5,0.5,0,3,0.9,99.55000000000003,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.0,,24.97
0.0275,0.5,0.5,0,4,1.05,99.40000000000003,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.0,,-0.0175
0.0275,0.5,0.5,0,5,1.2000000000000002,99.25000000000004,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.0,,-0.01750000000000001
0.0275,0.5,0.5,0,6,1.3500000000000003,99.10000000000005,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.08333333333333333,,-0.01750000000000001
0.0275,0.5,0.5,0,7,1.5000000000000004,98.95000000000006,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.21428571428571427,,-0.01750000000000001
0.0275,0.5,0.5,0,8,1.6500000000000006,98.80000000000007,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.3125,,-0.01750000000000001
0.03,0.5,0.5,0,9,1.8000000000000007,98.65000000000008,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.3333333333333333,,0.0825
0.0325,0.5,0.5,0,10,1.9500000000000008,98.50000000000009,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.35,,0.0825
0.0375,0.5,0.5,0,11,2.1000000000000005,98.3500000000001,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.3181818181818182,,0.18250000000000002
0.04,0.5,0.5,0,12,2.2500000000000004,98.2000000000001,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.3333333333333333,,0.08250000000000002
0.0525,0.5,0.5,0,13,2.4000000000000004,98.05000000000011,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.19230769230769232,,0.4825
0.0575,0.5,0.5,0,14,2.45,98.00000000000011,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.17857142857142858,,0.1875
0.0675,0.5,0.5,0,15,2.5,97.95000000000012,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.1,,0.3875
0.075,0.5,0.5,0,16,2.55,97.90000000000012,99.55000000000001,99.55000000000001,0,0,0,0,1,1,1,0.0625,,0.28750000000000003
0.085,0.5,1.0,0,17,2.5999999999999996,97.85000000000012,99.55000000000001,99.55000000000001,0,0,0,0,2,1,2,0.0,,3.3875
0.09,0.5,1.0,0,18,2.7499999999999996,97.80000000000013,99.45000000000002,99.45000000000002,0,0,0,0,2,1,2,0.0,,0.1875
0.105,0.5,1.0,0,19,2.8999999999999995,97.75000000000013,99.35000000000002,99.35000000000002,0,0,0,0,2,1,2,0.0,,0.5875000000000001
0.11,0.5,1.0,0,20,3.0499999999999994,97.70000000000013,99.25000000000003,99.25000000000003,0,0,0,0,2,1,2,0.0,,0.1875
0.12,0.5,1.0,0,21,3.1999999999999993,97.65000000000013,99.15000000000003,99.15000000000003,0,0,0,0,2,1,2,0.0,,0.3875
0.1275,0.5,1.0,0,22,3.349999999999999,97.60000000000014,99.05000000000004,99.05000000000004,0,0,0,0,2,1,2,0.0,,0.28750000000000003
0.1375,0.5,1.0,0,23,3.749999999999999,97.55000000000014,98.70000000000005,98.70000000000005,0,0,0,0,2,1,2,0.0,,0.375
0.1425,1.0,1.0,1,24,4.049999999999999,97.50000000000014,98.45000000000005,98.45000000000005,0,0,0,0,2,2,2,0.0,all_targets_inspected,25.174999999999997
