coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline
0.446875,0.125,0.375,0,1000,218.65000000000347,3.5000000000021387,38.925000000000324,0.0,0,0,479,0,3,1,9,0.7616666666666667,max_steps_reached,1,0,v1
0.46875,0.125,0.5,0,1000,209.2500000000032,3.600000000002119,43.575,0.0,0,1,1019,0,4,1,10,0.75,max_steps_reached,1,1,v1
0.18625,0.125,0.125,0,1000,213.4500000000058,0.0,43.275000000000134,0.0,0,3,631,0,1,1,8,0.9006666666666666,max_steps_reached,1,2,v1
0.29875,0.0,0.0,0,1000,147.50000000000023,2.141023469626191e-12,76.25000000000065,76.10000000000068,0,0,1363,0,0,0,7,0.8406666666666667,max_steps_reached,1,3,v1
0.6675,0.125,0.75,0,1000,223.2500000000035,5.900000000002141,35.425000000000594,0.0,0,0,1640,0,6,1,13,0.644,max_steps_reached,1,4,v1
0.39375,0.0,0.375,0,1000,124.3999999999972,1.0000000000021236,87.3000000000001,87.1000000000002,0,0,709,0,3,0,9,0.79,max_steps_reached,1,5,v1
0.33125,0.25,0.5,0,759,288.25000000000824,11.750000000002126,0.0,0.0,0,1,695,0,4,2,8,0.7672375933245499,all_available_uavs_returned,1,6,v1
0.243125,0.0,0.375,0,1000,123.24999999999713,0.20000000000210372,88.27500000000008,87.40000000000015,0,0,623,0,3,0,10,0.8703333333333333,max_steps_reached,1,7,v1
0.16375,0.25,0.375,0,740,288.30000000000757,11.700000000002161,0.0,0.0,0,0,645,0,3,2,6,0.881981981981982,all_available_uavs_returned,1,8,v1
0.126875,0.125,0.25,0,1000,213.55000000000584,0.0,43.22500000000011,0.0,0,0,653,0,2,1,6,0.9323333333333333,max_steps_reached,1,9,v1
