coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,scenario_name,seed,baseline
0.2525,0.125,0.125,0,1000,146.30000000000194,0.0,76.85000000000058,76.4000000000006,0,0,112,0,1,1,10,0.8653333333333333,max_steps_reached,1,scenario_1_document,0,v2
0.49375,0.25,0.375,0,1000,138.34999999999846,3.3000000000020524,79.17500000000037,73.60000000000073,0,0,1487,0,3,2,8,0.7366666666666667,max_steps_reached,1,scenario_1_document,1,v2
0.450625,0.625,0.625,0,1000,148.8499999999998,1.6000000000020602,74.77500000000072,63.00000000000125,0,0,478,0,5,5,11,0.7596666666666667,max_steps_reached,1,scenario_1_document,2,v2
0.774375,0.5,0.875,0,1000,129.34999999999755,37.600000000003185,66.52500000000101,53.850000000001565,0,3,699,0,7,4,13,0.587,max_steps_reached,1,scenario_1_document,3,v2
0.52,0.25,0.25,0,1000,155.90000000000012,1.8000000000020586,71.15000000000094,66.95000000000115,0,3,651,0,2,2,11,0.7226666666666667,max_steps_reached,1,scenario_1_document,4,v2
0.47875,0.0,0.625,0,1000,127.44999999999696,3.5000000000020517,84.52500000000008,82.80000000000015,0,0,660,0,5,0,12,0.7446666666666667,max_steps_reached,1,scenario_1_document,5,v2
0.65625,0.375,0.625,0,1000,156.04999999999964,5.5000000000020375,69.22500000000102,63.35000000000136,0,0,2053,0,5,3,12,0.65,max_steps_reached,1,scenario_1_document,6,v2
0.3825,0.25,0.375,0,1000,131.99999999999753,0.7000000000020523,83.65000000000028,78.90000000000055,0,0,614,0,3,2,12,0.796,max_steps_reached,1,scenario_1_document,7,v2
0.19875,0.375,0.375,0,1000,152.00000000000233,0.0,74.00000000000084,73.60000000000088,0,7,186,0,3,3,8,0.894,max_steps_reached,1,scenario_1_document,8,v2
0.166875,0.25,0.25,0,1000,132.04999999999933,0.0,83.97500000000036,79.65000000000066,0,0,434,0,2,2,7,0.911,max_steps_reached,1,scenario_1_document,9,v2
