coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.00625,0.0,1,0.65,0,0,0,0,0,0,0,0.0,,0.0575
0.0075,0.0,2,1.3,0,0,0,0,0,0,0,0.0,,0.1575
0.0075,0.0,3,1.9500000000000002,0,0,0,0,0,0,0,0.0,,-0.04250000000000001
0.0075,0.0,4,2.6,0,0,0,0,0,0,0,0.0,,-0.042499999999999996
0.0075,0.0,5,3.25,0,0,0,0,0,0,0,0.2,,-0.042499999999999996
0.0075,0.0,6,3.9,0,0,0,0,0,0,0,0.3333333333333333,,-0.042499999999999996
0.0075,0.0,7,4.55,0,0,0,0,0,0,0,0.42857142857142855,,-0.042499999999999996
0.0075,0.0,8,5.199999999999999,0,0,0,0,0,0,0,0.5,,-0.042499999999999975
0.0075,0.0,9,5.849999999999999,0,0,0,0,0,0,0,0.5555555555555556,,-0.042499999999999975
0.008125,0.0,10,6.499999999999998,0,0,0,0,0,0,0,0.5666666666666667,,0.05750000000000003
0.009375,0.0,11,7.149999999999998,0,0,0,0,0,0,0,0.5454545454545454,,0.15750000000000003
0.01,0.0,12,7.799999999999997,0,0,0,0,0,0,0,0.5555555555555556,,0.05750000000000003
0.013125,0.0,13,8.449999999999996,0,0,0,0,0,0,0,0.46153846153846156,,0.4575000000000001
0.014375,0.0,14,8.999999999999996,0,0,0,0,0,0,0,0.4523809523809524,,0.16249999999999998
0.016875,0.0,15,9.549999999999997,0,0,0,0,0,0,0,0.4,,0.3625
0.01875,0.0,16,10.099999999999998,0,0,0,0,0,0,0,0.375,,0.2625
0.02125,0.0,17,10.649999999999999,0,0,0,0,0,0,0,0.3333333333333333,,0.3625
0.0225,0.0,18,11.2,0,0,0,0,0,0,0,0.3333333333333333,,0.16249999999999998
0.02625,0.0,19,11.75,0,0,0,0,0,0,0,0.2631578947368421,,0.5625
0.0275,0.0,20,12.3,0,0,0,0,0,0,0,0.26666666666666666,,0.16249999999999998
0.03,0.0,21,12.850000000000001,0,0,0,0,0,0,0,0.23809523809523808,,0.3625
0.031875,0.0,22,13.400000000000002,0,0,0,0,0,0,0,0.22727272727272727,,0.2625
0.034375,0.0,23,13.950000000000003,0,0,0,0,0,0,0,0.2028985507246377,,0.3625
0.035625,0.0,24,14.500000000000004,0,0,0,0,0,0,0,0.20833333333333334,,0.16249999999999998
0.039375,0.0,25,15.050000000000004,0,0,0,0,0,0,0,0.16,,0.5625
0.04125,0.0,26,15.600000000000005,0,0,0,0,0,0,0,0.15384615384615385,,0.2625
0.04375,0.0,27,16.150000000000006,0,0,0,0,0,0,0,0.13580246913580246,,0.3625
0.04625,0.0,28,16.700000000000006,0,0,0,0,0,0,0,0.11904761904761904,,0.3625
0.048125,0.0,29,17.250000000000007,0,0,0,0,0,0,0,0.11494252873563218,,0.2625
0.04875,0.0,30,17.800000000000008,0,0,0,0,0,0,0,0.13333333333333333,,0.062499999999999965
0.053125,0.0,31,18.35000000000001,0,0,0,0,0,0,0,0.08602150537634409,,0.6625
0.055,0.0,32,18.90000000000001,0,0,0,0,0,0,0,0.08333333333333333,,0.2625
0.0575,0.0,33,19.45000000000001,0,0,0,0,0,0,0,0.0707070707070707,,0.3625
0.06,0.0,34,20.00000000000001,0,0,0,0,0,0,0,0.058823529411764705,,0.3625
0.061875,0.0,35,20.55000000000001,0,0,0,0,0,0,0,0.05714285714285714,,0.2625
0.063125,0.0,36,21.100000000000012,0,0,0,0,0,0,0,0.06481481481481481,,0.16249999999999998
0.06625,0.0,37,21.650000000000013,0,0,0,0,0,0,0,0.04504504504504504,,0.46249999999999997
0.068125,0.0,38,22.200000000000014,0,0,0,0,0,0,0,0.043859649122807015,,0.2625
0.07,0.0,39,22.750000000000014,0,0,1,0,0,0,0,0.042735042735042736,,0.2425
0.073125,0.0,40,23.300000000000015,0,0,2,0,0,0,0,0.025,,0.44249999999999995
0.074375,0.0,41,23.850000000000016,0,0,3,0,0,0,0,0.032520325203252036,,0.1425
0.076875,0.0,42,24.400000000000016,0,0,4,0,0,0,0,0.023809523809523808,,0.34249999999999997
0.079375,0.0,43,24.950000000000017,0,0,5,0,0,0,0,0.015503875968992248,,0.34249999999999997
0.080625,0.0,44,25.500000000000018,0,0,6,0,0,0,0,0.022727272727272728,,0.1425
0.08375,0.0,45,26.05000000000002,0,0,7,0,0,0,0,0.007407407407407408,,0.44249999999999995
0.086875,0.0,46,26.60000000000002,0,0,8,0,0,0,0,0.0,,0.44249999999999995
0.088125,0.0,47,27.15000000000002,0,0,9,0,0,0,0,0.0,,0.1425
0.090625,0.0,48,27.70000000000002,0,0,10,0,0,0,0,0.0,,0.34249999999999997
0.0925,0.0,49,28.25000000000002,0,0,11,0,0,0,0,0.0,,0.2425
0.094375,0.0,50,28.800000000000022,0,0,12,0,0,0,0,0.0,,0.2425
0.098125,0.0,51,29.350000000000023,0,0,13,0,0,0,0,0.0,,0.5425
0.100625,0.0,52,29.900000000000023,0,0,14,0,0,0,0,0.0,,0.34249999999999997
0.101875,0.0,53,30.450000000000024,0,0,15,0,0,0,0,0.0,,0.1425
0.104375,0.0,54,31.000000000000025,0,0,16,0,0,0,0,0.0,,0.34249999999999997
0.105625,0.0,55,31.550000000000026,0,0,17,0,0,0,0,0.0,,0.1425
0.108125,0.0,56,32.10000000000002,0,0,18,0,0,0,0,0.0,,0.34250000000000014
0.110625,0.0,57,32.65000000000002,0,0,19,0,0,0,0,0.0,,0.34250000000000014
0.113125,0.0,58,33.20000000000002,0,0,20,0,0,0,0,0.0,,0.34250000000000014
0.114375,0.0,59,33.750000000000014,0,0,21,0,0,0,0,0.0,,0.14250000000000015
0.1175,0.0,60,34.30000000000001,0,0,22,0,0,0,0,0.0,,0.4425000000000001
0.11875,0.0,61,34.85000000000001,0,0,23,0,0,0,0,0.0,,0.14250000000000015
0.12125,0.0,62,35.400000000000006,0,0,24,0,0,0,0,0.0,,0.34250000000000014
0.12375,0.0,63,35.95,0,0,25,0,0,0,0,0.0,,0.34250000000000014
0.12625,0.0,64,36.5,0,0,26,0,0,0,0,0.0,,0.34250000000000014
0.128125,0.0,65,37.05,0,0,27,0,0,0,0,0.0,,0.24250000000000016
0.13125,0.0,66,37.599999999999994,0,0,28,0,0,0,0,0.0,,0.4425000000000001
0.1325,0.0,67,38.14999999999999,0,0,29,0,0,0,0,0.0,,0.14250000000000015
0.13625,0.0,68,38.69999999999999,0,0,30,0,0,0,0,0.0,,0.5425000000000002
0.1375,0.0,69,39.249999999999986,0,0,31,0,0,0,0,0.0,,0.14250000000000015
0.14,0.0,70,39.79999999999998,0,0,32,0,0,0,0,0.0,,0.34250000000000014
0.14125,0.0,71,40.34999999999998,0,0,33,0,0,0,0,0.0,,0.14250000000000015
0.144375,0.0,72,40.89999999999998,0,0,34,0,0,0,0,0.0,,0.4425000000000001
0.14625,0.0,73,41.449999999999974,0,0,35,0,0,0,0,0.0,,0.24250000000000016
0.15,0.0,74,41.99999999999997,0,0,36,0,0,0,0,0.0,,0.5425000000000002
0.15125,0.0,75,42.54999999999997,0,0,37,0,0,0,0,0.0,,0.14250000000000015
0.15375,0.0,76,43.099999999999966,0,0,38,0,0,0,0,0.0,,0.34250000000000014
0.155625,0.0,77,43.64999999999996,0,0,39,0,0,0,0,0.0,,0.24250000000000016
0.1575,0.0,78,44.19999999999996,0,0,40,0,1,0,1,0.0,,3.2425
0.159375,0.0,79,44.59999999999996,0,0,41,0,1,0,1,0.0,,0.2500000000000001
0.163125,0.0,80,44.99999999999996,0,0,42,0,1,0,1,0.0,,0.5500000000000002
0.164375,0.0,81,45.399999999999956,0,0,43,0,1,0,1,0.0,,0.15000000000000008
0.166875,0.0,82,45.799999999999955,0,0,44,0,1,0,1,0.0,,0.3500000000000001
0.16875,0.0,83,46.19999999999995,0,0,45,0,1,0,1,0.0,,0.2500000000000001
0.170625,0.0,84,46.59999999999995,0,0,46,0,1,0,1,0.0,,0.2500000000000001
0.173125,0.0,85,46.99999999999995,0,0,47,0,1,0,1,0.0,,0.3500000000000001
0.174375,0.0,86,47.39999999999995,0,0,48,0,1,0,1,0.0,,0.15000000000000008
0.1775,0.0,87,47.79999999999995,0,0,49,0,1,0,1,0.0,,0.45000000000000007
0.179375,0.0,88,48.199999999999946,0,0,50,0,1,0,1,0.0,,0.2500000000000001
0.181875,0.0,89,48.599999999999945,0,0,51,0,1,0,1,0.0,,0.3500000000000001
0.185,0.0,90,48.99999999999994,0,0,52,0,1,0,1,0.0,,0.45000000000000007
0.18625,0.0,91,49.39999999999994,0,0,53,0,1,0,1,0.0,,0.15000000000000008
0.19,0.0,92,49.79999999999994,0,0,54,0,2,0,2,0.0,,3.5500000000000003
0.1925,0.0,93,50.04999999999994,0,0,55,0,2,0,2,0.0,,0.3575
0.195625,0.0,94,50.29999999999994,0,0,56,0,2,0,2,0.0,,0.45749999999999996
0.1975,0.0,95,50.54999999999994,0,0,57,0,2,0,2,0.0,,0.2575
0.200625,0.0,96,50.79999999999994,0,0,58,0,2,0,2,0.0,,0.45749999999999996
0.20375,0.0,97,51.04999999999994,0,0,59,0,2,0,2,0.0,,0.45749999999999996
