coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
1.0,1.0,1.0,1,685,111.24999999999731,57.55000000000235,31.200000000001587,31.200000000001587,0,0,287,0,2,2,2,0.708029197080292,all_targets_inspected,0,0,capability_aware_mappo,sampling
0.155,1.0,1.0,1,66,10.299999999999992,96.6000000000002,93.10000000000036,93.10000000000036,0,0,11,0,2,2,2,0.5303030303030303,all_targets_inspected,0,1,capability_aware_mappo,sampling
0.795,1.0,1.0,1,189,30.150000000000198,89.05000000000062,80.80000000000106,80.80000000000106,0,0,94,0,2,2,2,0.15873015873015872,all_targets_inspected,0,2,capability_aware_mappo,sampling
0.675,1.0,1.0,1,115,20.45000000000006,91.35000000000049,88.20000000000064,88.20000000000064,0,0,19,0,2,2,2,0.0,all_targets_inspected,0,3,capability_aware_mappo,sampling
0.6525,1.0,1.0,1,153,24.75000000000012,90.85000000000052,84.40000000000086,84.40000000000086,0,0,48,0,2,2,2,0.14705882352941177,all_targets_inspected,0,4,capability_aware_mappo,sampling
0.7325,1.0,1.0,1,375,58.65000000000001,79.15000000000119,62.20000000000201,62.20000000000201,0,0,192,0,2,2,2,0.6093333333333333,all_targets_inspected,0,5,capability_aware_mappo,sampling
0.8875,1.0,0.5,1,286,48.00000000000012,80.90000000000109,71.10000000000161,71.10000000000161,0,0,108,0,1,2,1,0.3793706293706294,all_targets_inspected,0,6,capability_aware_mappo,sampling
0.9375,1.0,1.0,1,430,70.99999999999962,72.30000000000157,56.70000000000193,56.70000000000193,0,0,143,0,2,2,2,0.563953488372093,all_targets_inspected,0,7,capability_aware_mappo,sampling
0.7375,1.0,1.0,1,255,43.25000000000016,82.55000000000099,74.20000000000144,74.20000000000144,0,0,145,0,2,2,2,0.4215686274509804,all_targets_inspected,0,8,capability_aware_mappo,sampling
0.29,1.0,1.0,1,174,27.000000000000156,90.70000000000053,82.30000000000098,82.30000000000098,0,0,51,0,2,2,2,0.6666666666666666,all_targets_inspected,0,9,capability_aware_mappo,sampling
