condition,sigma_loc,p_miss,seed,coverage_ratio,target_detection_rate,inspection_success_rate,mission_success,collision_count,near_miss_count,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,detected_targets,inspected_targets,sensor_detections
clean,0,0.0,0,0.414375,0.75,0.5,0,1,14,367,4,363,6,4,12
clean,0,0.0,1,0.65,0.75,0.625,0,0,0,947,53,894,6,5,15
clean,0,0.0,2,0.43625,0.375,0.375,0,1,4,464,90,374,3,3,9
clean,0,0.0,3,0.615625,0.375,0.375,0,0,2,1123,541,582,3,3,11
clean,0,0.0,4,0.525,0.5,0.5,0,1,1,782,403,379,4,4,14
clean,0,0.0,5,0.550625,0.75,0.75,0,0,3,1126,102,1024,6,6,18
clean,0,0.0,6,0.69625,0.625,0.5,0,0,0,1116,399,717,5,4,17
clean,0,0.0,7,0.490625,0.5,0.375,0,0,3,1104,96,1008,4,3,11
clean,0,0.0,8,0.695,0.625,0.625,0,0,0,932,221,711,5,5,9
clean,0,0.0,9,0.5,0.375,0.125,0,1,4,245,11,234,3,1,9
clean,0,0.0,10,0.78125,0.5,0.25,0,0,1,981,379,602,4,2,15
clean,0,0.0,11,0.37875,0.0,0.0,0,1,3,32,0,32,0,0,4
clean,0,0.0,12,0.65375,0.75,0.375,0,0,1,923,88,835,6,3,15
clean,0,0.0,13,0.66625,0.5,0.625,0,0,0,1164,365,799,4,5,16
clean,0,0.0,14,0.574375,0.625,0.375,0,0,0,1035,157,878,5,3,15
clean,0,0.0,15,0.683125,0.625,0.625,0,0,0,829,365,464,5,5,13
clean,0,0.0,16,0.8325,1.0,0.625,0,0,2,1064,15,1049,8,5,20
clean,0,0.0,17,0.675,0.75,0.625,0,0,3,874,254,620,6,5,14
clean,0,0.0,18,0.63625,0.625,0.625,0,0,1,1127,322,805,5,5,16
clean,0,0.0,19,0.63,0.625,0.625,0,1,2,825,153,672,5,5,10
loc_25,25,0.0,0,0.4475,0.75,0.625,0,1,14,537,4,533,6,5,14
loc_25,25,0.0,1,0.570625,0.375,0.5,0,0,0,1055,771,284,3,4,18
loc_25,25,0.0,2,0.794375,0.75,0.625,0,0,3,888,147,741,6,5,16
loc_25,25,0.0,3,0.453125,0.375,0.25,0,1,4,413,3,410,3,2,7
loc_25,25,0.0,4,0.555,0.5,0.5,0,1,2,677,306,371,4,4,14
loc_25,25,0.0,5,0.658125,0.875,0.75,0,0,5,1049,5,1044,7,6,23
loc_25,25,0.0,6,0.6275,0.75,0.5,0,0,1,1022,355,667,6,4,19
loc_25,25,0.0,7,0.605625,0.625,0.5,0,0,1,979,136,843,5,4,12
loc_25,25,0.0,8,0.55125,0.5,0.5,0,1,4,396,135,261,4,4,10
loc_25,25,0.0,9,0.5975,0.25,0.25,0,0,8,1110,280,830,2,2,8
loc_25,25,0.0,10,0.32375,0.125,0.125,0,1,2,375,39,336,1,1,2
loc_25,25,0.0,11,0.515,0.125,0.125,0,1,1,171,42,129,1,1,4
loc_25,25,0.0,12,0.6925,0.875,0.875,0,0,1,862,8,854,7,7,15
loc_25,25,0.0,13,0.24875,0.25,0.125,0,1,0,39,1,38,2,1,4
loc_25,25,0.0,14,0.378125,0.5,0.5,0,1,0,1038,384,654,4,4,15
loc_25,25,0.0,15,0.373125,0.125,0.125,0,1,1,218,76,142,1,1,5
loc_25,25,0.0,16,0.701875,0.75,0.625,0,0,5,1071,35,1036,6,5,20
loc_25,25,0.0,17,0.554375,0.5,0.5,0,0,1,1055,553,502,4,4,13
loc_25,25,0.0,18,0.64875,0.625,0.625,0,0,1,1113,286,827,5,5,13
loc_25,25,0.0,19,0.404375,0.5,0.25,0,1,4,644,203,441,4,2,11
