coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.653125,0.0,0.625,0,1000,276.3000000000006,23.30000000000293,0.20000000000140436,0.20000000000140436,0,22,111,0,5,0,14,0.6516666666666666,max_steps_reached,4,0,4,594.6793190185989,18,1,0,without_guidance,0,1,1,sampling
0.691875,0.0,0.75,0,1000,274.2000000000001,25.500000000003027,0.15000000000140434,0.10000000000140435,0,14,212,0,6,0,15,0.631,max_steps_reached,2,0,2,196.33232366807624,275,1,1,without_guidance,0,1,1,sampling
0.526875,0.0,0.75,0,947,260.749999999997,28.350000000003003,5.450000000001402,5.300000000001402,1,11,116,0,6,0,13,0.7032734952481521,collision,2,0,2,412.38127352541744,0,1,2,without_guidance,0,1,1,sampling
0.65625,0.125,0.875,0,1000,277.25000000000074,22.500000000002913,0.12500000000139583,0.10000000000140435,0,9,136,0,7,1,17,0.65,max_steps_reached,5,0,5,466.58332046387187,14,1,3,without_guidance,0,1,1,sampling
0.73875,0.0,0.25,0,1000,270.09999999999917,29.700000000003094,0.10000000000140435,0.10000000000140435,0,6,338,0,2,0,13,0.606,max_steps_reached,1,0,1,632.8452125640943,0,1,4,without_guidance,0,1,1,sampling
0.67625,0.0,0.75,0,1000,275.80000000000047,23.40000000000298,0.40000000000140434,0.20000000000140436,0,15,78,0,6,0,19,0.6393333333333333,max_steps_reached,5,0,5,449.4691429475253,0,1,5,without_guidance,0,1,1,sampling
0.728125,0.0,0.625,0,1000,273.7,26.100000000003043,0.10000000000140435,1.4043488594239761e-12,0,8,127,0,5,0,16,0.6116666666666667,max_steps_reached,1,0,1,308.73881298902455,73,1,6,without_guidance,0,1,1,sampling
0.574375,0.125,0.625,0,1000,276.9000000000021,22.800000000003003,0.15000000000070218,0.0,0,17,109,0,5,1,12,0.6936666666666667,max_steps_reached,5,1,4,258.84666926348325,41,1,7,without_guidance,0,1,1,sampling
0.515625,0.0,0.625,0,726,195.8999999999963,49.20000000000255,27.450000000001527,27.400000000001526,1,3,176,0,5,0,9,0.6212121212121212,collision,1,0,1,267.4700029485004,66,1,8,without_guidance,0,1,1,sampling
0.635,0.0,0.625,0,1000,275.1500000000002,24.70000000000296,0.07500000000139584,0.050000000001387324,0,30,193,0,5,0,12,0.6613333333333333,max_steps_reached,3,0,3,773.0968806161236,0,1,9,without_guidance,0,1,1,sampling
0.721875,0.0,0.625,0,1000,275.3000000000003,24.300000000002942,0.20000000000140436,0.10000000000140435,0,4,134,0,5,0,12,0.615,max_steps_reached,4,0,4,675.9522024722863,0,1,10,without_guidance,0,1,1,sampling
0.694375,0.0,0.875,0,1000,273.54999999999995,26.200000000003044,0.12500000000140649,0.05000000000140864,0,6,249,0,7,0,13,0.6296666666666667,max_steps_reached,4,0,4,392.7447786713441,9,1,11,without_guidance,0,1,1,sampling
0.364375,0.0,0.5,0,288,78.79999999999941,78.8000000000012,71.20000000000164,71.20000000000164,1,2,70,0,4,0,9,0.32523148148148145,collision,0,0,0,267.00525474754556,3,1,12,without_guidance,0,1,1,sampling
0.18,0.0,0.0,0,124,35.00000000000021,89.70000000000059,87.6500000000007,87.6000000000007,1,2,11,0,0,0,1,0.22580645161290322,collision,1,0,1,635.4782642307322,0,1,13,without_guidance,0,1,1,sampling
0.02,0.0,0.0,0,8,2.400000000000001,99.20000000000005,99.20000000000005,99.20000000000005,1,1,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,14,without_guidance,0,1,1,sampling
0.600625,0.0,0.5,0,778,211.4999999999963,44.000000000002835,22.250000000001453,22.200000000001452,1,4,236,0,4,0,15,0.5882604970008569,collision,1,0,1,1023.8429070619579,0,1,15,without_guidance,0,1,1,sampling
0.585,0.0,0.5,0,1000,274.50000000000017,24.90000000000302,0.30000000000140437,0.20000000000140436,0,21,124,0,4,0,13,0.688,max_steps_reached,4,0,4,450.3168687657652,0,1,16,without_guidance,0,1,1,sampling
0.743125,0.0,0.875,0,1000,273.1000000000013,26.800000000003113,0.05000000000070218,0.0,0,5,210,0,7,0,18,0.6036666666666667,max_steps_reached,3,0,3,376.30160308570123,7,1,17,without_guidance,0,1,1,sampling
0.014375,0.0,0.0,0,6,1.9000000000000008,99.30000000000004,99.40000000000003,99.40000000000003,1,1,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,18,without_guidance,0,1,1,sampling
0.725,0.0,0.875,0,1000,272.39999999999964,27.100000000003046,0.2500000000014043,0.10000000000140435,0,7,302,0,7,0,13,0.6133333333333333,max_steps_reached,3,0,3,417.4953429673727,0,1,19,without_guidance,0,1,1,sampling
