coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,ablation,use_guidance,use_capability_reward,use_safety_shaping,evaluation_mode
0.813125,0.0,0.75,0,1000,270.6999999999994,28.700000000003193,0.30000000000140437,0.20000000000140436,0,10,784,0,6,0,16,0.5663333333333334,max_steps_reached,5,0,5,236.61440115854828,35,1,0,without_safety_shaping,1,1,0,sampling
0.151875,0.0,0.0,0,57,14.749999999999986,96.5500000000002,94.35000000000032,94.30000000000032,1,18,15,0,0,0,1,0.0,collision,0,0,0,780.1030208975179,0,1,1,without_safety_shaping,1,1,0,sampling
0.074375,0.0,0.125,0,30,7.799999999999987,98.2000000000001,97.00000000000017,97.00000000000017,1,18,0,0,1,0,1,0.0,collision,0,0,0,406.9261956593597,0,1,2,without_safety_shaping,1,1,0,sampling
0.111875,0.0,0.125,0,46,11.899999999999986,97.30000000000015,95.40000000000026,95.40000000000026,1,1,3,0,1,0,2,0.0,collision,0,0,0,238.74520902635967,0,1,3,without_safety_shaping,1,1,0,sampling
0.604375,0.0,0.375,0,1000,266.3999999999985,33.40000000000325,0.10000000000140435,1.4043488594239761e-12,0,0,210,0,3,0,15,0.6776666666666666,max_steps_reached,2,0,2,184.63670068660093,536,1,4,without_safety_shaping,1,1,0,sampling
0.8425,0.0,1.0,0,1000,271.94999999999965,27.500000000003123,0.27500000000139585,0.20000000000140436,0,0,443,0,8,0,21,0.5506666666666666,max_steps_reached,7,0,7,275.70296341750657,54,1,5,without_safety_shaping,1,1,0,sampling
0.015625,0.0,0.0,0,6,1.6000000000000005,99.60000000000002,99.40000000000003,99.40000000000003,1,3,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,6,without_safety_shaping,1,1,0,sampling
0.56375,0.125,0.375,0,1000,266.24999999999847,33.60000000000326,0.0750000000014045,0.05000000000140464,0,1,127,0,3,1,10,0.6993333333333334,max_steps_reached,4,1,3,143.23652958723926,499,1,7,without_safety_shaping,1,1,0,sampling
0.34375,0.0,0.0,0,143,40.55000000000023,88.05000000000068,85.70000000000081,85.70000000000081,1,7,78,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,8,without_safety_shaping,1,1,0,sampling
0.043125,0.0,0.0,0,17,4.649999999999999,98.75000000000007,98.3000000000001,98.3000000000001,1,2,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,9,without_safety_shaping,1,1,0,sampling
0.073125,0.0,0.0,0,28,7.399999999999989,98.2000000000001,97.20000000000016,97.20000000000016,1,8,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,10,without_safety_shaping,1,1,0,sampling
0.1125,0.0,0.0,0,52,13.699999999999985,96.70000000000019,94.8000000000003,94.8000000000003,1,7,10,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,11,without_safety_shaping,1,1,0,sampling
0.600625,0.125,0.625,0,1000,270.50000000000074,29.20000000000314,0.15000000000070218,0.0,0,0,694,0,5,1,15,0.6796666666666666,max_steps_reached,4,1,3,238.96745385801816,100,1,12,without_safety_shaping,1,1,0,sampling
0.49375,0.0,0.25,0,270,73.1999999999997,80.80000000000109,73.00000000000153,73.00000000000153,1,9,65,0,2,0,5,0.024691358024691357,collision,0,0,0,376.2258420440605,16,1,13,without_safety_shaping,1,1,0,sampling
0.63375,0.0,0.75,0,1000,270.99999999999943,28.90000000000309,0.05000000000140435,1.4043488594239761e-12,0,7,229,0,6,0,18,0.662,max_steps_reached,1,0,1,158.96433933161492,268,1,14,without_safety_shaping,1,1,0,sampling
0.04875,0.0,0.0,0,19,4.9499999999999975,98.85000000000007,98.10000000000011,98.10000000000011,1,2,0,0,0,0,0,0.0,collision,0,0,0,0.0,0,1,15,without_safety_shaping,1,1,0,sampling
0.10125,0.0,0.125,0,46,12.599999999999985,96.5000000000002,95.45000000000026,95.40000000000026,1,4,0,0,1,0,2,0.0,collision,0,0,0,333.1347877086175,0,1,16,without_safety_shaping,1,1,0,sampling
0.248125,0.0,0.375,0,140,37.50000000000021,90.50000000000054,86.0000000000008,86.0000000000008,1,13,52,0,3,0,8,0.05476190476190476,collision,0,0,0,634.5253724364424,7,1,17,without_safety_shaping,1,1,0,sampling
0.3875,0.0,0.375,0,213,58.25000000000025,84.35000000000089,78.70000000000121,78.70000000000121,1,23,62,0,3,0,5,0.0297339593114241,collision,0,0,0,316.9164160301864,22,1,18,without_safety_shaping,1,1,0,sampling
0.608125,0.0,0.625,0,1000,267.5999999999987,32.100000000003256,0.15000000000140434,0.10000000000140435,0,6,172,0,5,0,10,0.6756666666666666,max_steps_reached,3,0,3,188.59513957119214,226,1,19,without_safety_shaping,1,1,0,sampling
