coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.884375,1.0,1.0,1,688,136.24999999999687,65.60000000000196,49.07500000000165,48.90000000000165,0,0,305,0,8,8,16,0.31443798449612403,all_targets_inspected,435,435,0,296.4758056722089,435,1,0,hierarchical_task_allocation,rule
0.9275,1.0,1.0,1,734,141.24999999999645,63.300000000002086,47.72500000000163,45.40000000000154,0,0,300,0,8,8,14,0.3260672116257947,all_targets_inspected,505,505,0,267.3200518433381,505,1,1,hierarchical_task_allocation,rule
0.7075,1.0,1.0,1,541,113.49999999999763,72.95000000000154,56.775000000001825,56.70000000000184,0,0,190,0,8,8,13,0.30252618607516946,all_targets_inspected,270,270,0,302.516110509933,270,1,2,hierarchical_task_allocation,rule
0.90625,1.0,1.0,1,708,148.44999999999678,64.60000000000201,43.47500000000165,38.50000000000167,0,0,139,0,8,8,14,0.3173258003766478,all_targets_inspected,363,363,0,318.51344768936366,363,1,3,hierarchical_task_allocation,rule
0.79375,1.0,1.0,1,604,125.39999999999696,69.80000000000172,52.40000000000181,51.15000000000181,0,0,118,0,8,8,15,0.29911699779249445,all_targets_inspected,306,306,0,323.18102401476057,306,1,4,hierarchical_task_allocation,rule
0.9275,1.0,1.0,1,749,135.59999999999656,62.55000000000213,50.92500000000158,48.850000000001536,0,0,381,0,8,8,18,0.3395638629283489,all_targets_inspected,629,629,0,298.1444281395804,629,1,5,hierarchical_task_allocation,rule
0.914375,1.0,1.0,1,712,151.84999999999658,64.40000000000202,41.87500000000166,33.4500000000016,0,0,516,0,8,8,15,0.3150749063670412,all_targets_inspected,309,309,0,409.2429822408197,309,1,6,hierarchical_task_allocation,rule
0.8875,1.0,1.0,1,690,157.94999999999663,65.50000000000196,38.27500000000158,32.20000000000158,0,0,139,0,8,8,13,0.3140096618357488,all_targets_inspected,203,203,0,390.85088058568675,203,1,7,hierarchical_task_allocation,rule
0.88,1.0,1.0,1,671,154.7499999999972,66.4500000000019,39.40000000000168,34.30000000000161,0,0,247,0,8,8,10,0.3005464480874317,all_targets_inspected,180,180,0,281.3524949881317,180,1,8,hierarchical_task_allocation,rule
0.9275,1.0,1.0,1,729,155.54999999999632,63.55000000000207,40.45000000000164,38.35000000000161,0,0,325,0,8,8,13,0.3214449016918153,all_targets_inspected,312,312,0,375.20099126628776,312,1,9,hierarchical_task_allocation,rule
