coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.21375,0.25,0.375,0,1000,257.99999999999847,42.0000000000033,7.021744297119881e-13,0.0,0,0,210,0,3,2,10,0.886,max_steps_reached,3,3,0,162.37461194926146,3,1,0,happo_assignment_aware,deterministic
0.150625,0.0,0.0,0,1000,209.74999999999955,40.100000000003405,25.075000000001673,1.4043488594239761e-12,0,0,272,0,0,0,5,0.9196666666666666,max_steps_reached,564,564,0,139.8245555446916,564,1,1,happo_assignment_aware,deterministic
0.108125,0.0,0.0,0,1000,142.34999999999886,50.00000000000284,53.8250000000012,29.300000000001624,0,0,27,0,0,0,4,0.9423333333333334,max_steps_reached,1209,1209,0,75.84022979973365,1209,1,2,happo_assignment_aware,deterministic
0.16125,0.0,0.0,0,1000,183.04999999999876,44.90000000000313,36.02500000000122,1.4043488594239761e-12,0,0,231,0,0,0,9,0.914,max_steps_reached,818,818,0,78.44862930631805,818,1,3,happo_assignment_aware,deterministic
0.108125,0.0,0.0,0,1000,113.84999999999796,50.00000000000284,68.07500000000131,58.95000000000189,0,0,27,0,0,0,4,0.9423333333333334,max_steps_reached,1539,1539,0,60.76298164935905,1539,1,4,happo_assignment_aware,deterministic
0.2575,0.125,0.25,0,1000,273.8000000000013,26.200000000003012,7.021744297119881e-13,0.0,0,0,856,0,2,1,10,0.8626666666666667,max_steps_reached,2,2,0,149.83428238707583,4,1,5,happo_assignment_aware,deterministic
0.238125,0.125,0.125,0,1000,238.74999999999866,13.90000000000272,23.675000000001646,1.4043488594239761e-12,0,0,1998,0,1,1,5,0.873,max_steps_reached,526,526,0,208.10700672386852,526,1,6,happo_assignment_aware,deterministic
0.130625,0.0,0.0,0,1000,193.199999999999,48.50000000000293,29.15000000000169,1.4043488594239761e-12,0,0,12,0,0,0,4,0.9303333333333333,max_steps_reached,653,653,0,101.96843660696042,653,1,7,happo_assignment_aware,deterministic
0.108125,0.0,0.0,0,1000,144.09999999999994,50.00000000000284,52.95000000000185,45.70000000000184,0,0,27,0,0,0,2,0.9423333333333334,max_steps_reached,1169,1169,0,63.20135472598564,1169,1,8,happo_assignment_aware,deterministic
0.241875,0.125,0.125,0,1000,159.09999999999988,13.900000000002734,63.50000000000168,58.25000000000193,0,0,887,0,1,1,5,0.871,max_steps_reached,1410,1410,0,143.02951034872478,1411,1,9,happo_assignment_aware,deterministic
