coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.61875,0.75,0.75,0,875,179.74999999999764,44.95000000000289,37.650000000001604,35.700000000001594,1,8,391,0,6,6,17,0.6228571428571429,collision,583,583,0,175.1233192366319,585,1,0,happo_assignment_aware,sampling
0.83375,0.875,0.875,0,1000,226.29999999999885,29.800000000003237,21.950000000001495,20.950000000001474,0,1,509,0,7,7,14,0.5553333333333333,max_steps_reached,529,529,0,319.77681735694307,531,1,1,happo_assignment_aware,sampling
0.514375,0.625,0.625,0,596,116.19999999999733,62.30000000000213,60.750000000001904,57.95000000000186,1,0,221,0,5,5,12,0.5397091722595079,collision,457,457,0,197.86157353600527,458,1,2,happo_assignment_aware,sampling
0.68375,0.625,0.625,0,654,153.94999999999735,55.10000000000242,45.47500000000169,38.600000000001636,1,1,653,0,5,5,13,0.44240570846075433,collision,280,280,0,305.25516195001387,283,1,3,happo_assignment_aware,sampling
0.673125,0.625,0.875,0,462,119.0999999999971,68.10000000000181,56.400000000001896,53.35000000000187,1,0,134,0,7,5,13,0.22294372294372294,collision,72,72,0,513.0543546944797,76,1,4,happo_assignment_aware,sampling
0.501875,0.25,0.375,0,382,76.64999999999931,74.10000000000147,74.62500000000126,72.75000000000139,1,0,186,0,3,2,12,0.29930191972076786,collision,319,319,0,131.6458700724624,319,1,5,happo_assignment_aware,sampling
0.72875,0.625,0.625,0,1000,185.50000000000065,35.60000000000325,39.45000000000172,30.8500000000016,0,1,777,0,5,5,11,0.6113333333333333,max_steps_reached,879,879,0,214.11721031905103,880,1,6,happo_assignment_aware,sampling
0.74875,0.75,0.75,0,1000,191.85000000000053,37.200000000003286,35.47500000000167,31.80000000000163,0,0,408,0,6,6,10,0.6006666666666667,max_steps_reached,817,817,0,241.11040923827133,817,1,7,happo_assignment_aware,sampling
0.255625,0.25,0.5,0,125,34.5500000000002,90.75000000000053,87.3500000000007,87.2000000000007,1,2,55,0,4,2,4,0.0,collision,2,2,0,310.3440749633238,2,1,8,happo_assignment_aware,sampling
0.6775,0.625,0.625,0,1000,198.25000000000048,34.70000000000333,33.525000000001654,31.15000000000162,0,1,707,0,5,5,12,0.6386666666666667,max_steps_reached,758,758,0,334.3334093242322,759,1,9,happo_assignment_aware,sampling
