coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.3275,0.0,0.125,0,1000,280.0000000000015,20.00000000000299,1.4043488594239761e-12,1.4043488594239761e-12,0,2,1891,0,1,0,7,0.8253333333333334,max_steps_reached,0,0,0,1189.8360093846559,0,1,0,hatrpo_capability_aware,sampling
0.645,0.0,0.625,0,1000,276.2000000000005,23.80000000000294,1.4043488594239761e-12,1.4043488594239761e-12,0,19,595,0,5,0,11,0.656,max_steps_reached,0,0,0,302.37678659689175,15,1,1,hatrpo_capability_aware,sampling
0.80625,0.0,0.875,0,1000,273.7,26.300000000003013,1.4043488594239761e-12,1.4043488594239761e-12,0,1,546,0,7,0,14,0.57,max_steps_reached,0,0,0,310.3703376690485,25,1,2,hatrpo_capability_aware,sampling
0.036875,0.0,0.0,0,20,5.899999999999995,98.10000000000011,98.00000000000011,98.00000000000011,1,1,0,0,0,0,1,0.016666666666666666,collision,0,0,0,216.38937433270223,0,1,3,hatrpo_capability_aware,sampling
0.7375,0.0,0.75,0,1000,273.99999999999994,26.000000000002927,1.4043488594239761e-12,1.4043488594239761e-12,0,6,238,0,6,0,17,0.6066666666666667,max_steps_reached,0,0,0,334.49356296987156,0,1,4,hatrpo_capability_aware,sampling
0.498125,0.0,0.375,0,1000,267.19999999999897,32.80000000000355,1.4043488594239761e-12,1.4043488594239761e-12,0,0,970,0,3,0,14,0.7343333333333333,max_steps_reached,0,0,0,622.8005330496476,0,1,5,hatrpo_capability_aware,sampling
0.44875,0.0,0.625,0,1000,276.60000000000065,23.400000000002976,1.4043488594239761e-12,1.4043488594239761e-12,0,7,473,0,5,0,13,0.7606666666666667,max_steps_reached,0,0,0,315.3565804383664,0,1,6,hatrpo_capability_aware,sampling
0.605,0.0,0.375,0,1000,283.10000000000184,16.900000000002635,1.4043488594239761e-12,1.4043488594239761e-12,0,0,597,0,3,0,10,0.6773333333333333,max_steps_reached,0,0,0,725.4413670764128,0,1,7,hatrpo_capability_aware,sampling
0.21125,0.0,0.0,0,491,127.04999999999663,71.15000000000164,50.90000000000186,50.90000000000186,1,2,27,0,0,0,1,0.7705363204344874,collision,0,0,0,342.0827066858132,6,1,8,hatrpo_capability_aware,sampling
0.658125,0.0,0.75,0,1000,277.9000000000008,22.1000000000028,1.4043488594239761e-12,1.4043488594239761e-12,0,3,451,0,6,0,13,0.649,max_steps_reached,0,0,0,412.1109667809989,0,1,9,hatrpo_capability_aware,sampling
