update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,1,assignment_aware,2.694832281144045,0,0.266875,0.375,0.375,0,256,0,0,-0.0038912438321858644,977.5630493164062,0.9019553065299988,0.011370119638741016,0.13671875
2,1,assignment_aware,2.7319161082268693,0,0.58875,0.625,0.625,0,512,0,0,-0.002772427164018154,1716.049560546875,1.091235876083374,0.010203280486166477,0.0833333358168602
3,1,assignment_aware,4.557958841527579,0,0.65625,0.75,0.75,0,768,0,0,0.005576445255428553,5362.2236328125,0.8172873854637146,0.0017356273019686341,0.0
4,1,assignment_aware,5.242663553101011,1,0.0575,0.0,0.0,0,24,0,0,0.0004764292389154434,7634.212890625,0.6609729528427124,0.0022702564019709826,0.0
5,1,assignment_aware,1.0855951641497086,1,0.44625,0.125,0.25,0,280,0,0,-0.002031381241977215,220.41824340820312,1.1021982431411743,0.004452012479305267,0.0
6,1,assignment_aware,4.431464052686351,1,0.615625,0.25,0.25,0,536,0,0,-0.0011349482228979468,4522.18408203125,0.927172839641571,0.0019730355124920607,0.0
7,1,assignment_aware,5.611116887237586,1,0.69125,0.5,0.625,0,792,0,0,0.000967889092862606,7289.7265625,0.7396574020385742,0.0009635300957597792,0.0
8,1,assignment_aware,1.1717777454232419,2,0.11,0.0,0.25,0,48,0,0,-0.0031776204705238342,754.958740234375,1.1913737058639526,0.005971437785774469,0.0
9,1,assignment_aware,2.7109404111179174,2,0.361875,0.375,0.375,0,304,0,0,-0.000456059817224741,1474.4053955078125,0.9746971130371094,0.006368089001625776,0.0078125
10,1,assignment_aware,5.647553859686013,2,0.564375,0.375,0.5,0,560,0,0,-0.0038618561811745167,8243.1240234375,0.7055253386497498,0.0031518107280135155,0.0013020833721384406
11,1,assignment_aware,4.198288122772283,2,0.6325,0.625,0.625,0,816,0,0,-0.011812325567007065,3877.59326171875,0.9703332781791687,0.010065566748380661,0.0325520820915699
12,1,assignment_aware,6.599671930831391,3,0.16625,0.0,0.375,0,72,0,0,-0.003116512205451727,8211.767578125,0.6445615291595459,3.234514224459417e-05,0.0
13,1,assignment_aware,1.9662669516110327,3,0.445,0.625,0.625,0,328,0,0,-0.002021573483943939,422.987060546875,1.0952097177505493,0.00018139455642085522,0.0
14,1,assignment_aware,6.781818214534724,3,0.506875,0.625,0.625,0,584,0,0,-0.008163770660758018,9967.591796875,0.6362829804420471,0.0038058075588196516,0.014322916977107525
15,1,assignment_aware,5.538045086548664,3,0.72,0.625,0.75,0,840,0,0,-0.001141941174864769,7634.12744140625,0.6929596066474915,0.0003741546534001827,0.0
16,1,assignment_aware,2.434636200858222,4,0.248125,0.0,0.0,0,122,0,0,-0.003265140578150749,1774.0784912109375,0.757082462310791,5.705421790480614e-05,0.0
17,1,assignment_aware,2.2682825373485684,4,0.385,0.0,0.0,0,378,0,0,-0.00045178720029070973,1110.0052490234375,0.7912402749061584,0.0009883540915325284,0.0
18,1,assignment_aware,7.005805441178381,4,0.399375,0.0,0.0,0,634,0,0,-0.00408557802438736,9587.4208984375,0.6077806353569031,0.004663679748773575,0.0
19,1,assignment_aware,8.185445984825492,4,0.474375,0.0,0.0,0,890,0,0,1.3597309589385986e-07,12602.126953125,0.509139358997345,0.0004954465548507869,0.0
