train_seed,condition,episodes,coverage_ratio,target_detection_rate,inspection_success_rate,mission_success,collision_count,near_miss_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count
0,clustered_targets,100,0.01008125,0.0,0.0,0.0,0.26,5.02,1094.12,480.17
0,edge_targets,100,0.01009375,0.0125,0.01,0.0,0.25,5.07,1036.19,544.93
0,faster_motion,100,0.0110625,0.0025,0.0,0.0,0.51,4.49,871.91,416.24
0,hard_comm_400,100,0.01008125,0.00375,0.0,0.0,0.26,5.02,1081.71,492.44
0,hard_comm_800,100,0.01008125,0.00375,0.0,0.0,0.26,5.02,1081.71,492.44
0,nominal,100,0.01008125,0.00375,0.0,0.0,0.26,5.02,1081.71,492.44
0,scenario_2,100,0.11854166666666667,0.10400000000000001,0.0,0.0,0.41,7.54,151.8,1549.88
0,sensing_moderate,100,0.01008125,0.0025,0.0,0.0,0.26,5.02,1088.34,485.81
0,sensing_severe,100,0.01008125,0.0025,0.0,0.0,0.26,5.02,1088.34,485.81
0,slower_motion,100,0.00935625,0.00125,0.0,0.0,0.1,4.0,1212.64,439.12
1,clustered_targets,100,0.00825625,0.0,0.0,0.0,0.24,5.16,1202.38,604.71
1,edge_targets,100,0.00825625,0.0125,0.01125,0.0,0.22,5.3,1153.39,642.37
1,faster_motion,100,0.00866875,0.0,0.00125,0.0,0.3,3.51,1120.57,578.62
1,hard_comm_400,100,0.00825625,0.0,0.00125,0.0,0.24,5.16,1202.38,604.71
1,hard_comm_800,100,0.00825625,0.0,0.00125,0.0,0.24,5.16,1202.38,604.71
1,nominal,100,0.00825625,0.0,0.00125,0.0,0.24,5.16,1202.38,604.71
1,scenario_2,100,0.11874131944444445,0.10600000000000001,0.0,0.0,0.49,13.44,208.36,1741.16
1,sensing_moderate,100,0.00825625,0.0,0.00125,0.0,0.24,5.16,1202.38,604.71
1,sensing_severe,100,0.00825625,0.0,0.00125,0.0,0.24,5.16,1202.38,604.71
1,slower_motion,100,0.007925,0.0,0.0,0.0,0.05,5.19,1333.63,546.33
2,clustered_targets,100,0.569775,0.81875,0.6175,0.19,0.37,7.53,5.68,34.42
2,edge_targets,100,0.58388125,0.425,0.275,0.0,0.31,4.62,4.87,40.77
2,faster_motion,100,0.6519375,0.6425,0.45625,0.0,0.32,3.49,5.03,45.75
2,hard_comm_400,100,0.551575,0.505,0.1325,0.0,0.33,5.23,0.34,49.88
2,hard_comm_800,100,0.59909375,0.60875,0.2925,0.0,0.29,4.57,1.71,44.99
2,nominal,100,0.5935375,0.5925,0.41875,0.0,0.32,4.24,5.28,42.5
2,scenario_2,100,0.6768836805555556,0.685,0.314,0.0,0.55,6.41,3.3,52.21
2,sensing_moderate,100,0.61314375,0.595,0.425,0.0,0.25,4.09,6.23,43.04
2,sensing_severe,100,0.59583125,0.55375,0.39625,0.0,0.31,4.44,6.05,41.66
2,slower_motion,100,0.511325,0.48875,0.33375,0.0,0.41,5.35,4.61,36.72
3,clustered_targets,100,0.5033875,0.63625,0.42,0.04,0.37,7.07,3.28,14.69
3,edge_targets,100,0.5707625,0.47,0.16,0.0,0.32,5.17,1.52,18.87
3,faster_motion,100,0.59251875,0.5675,0.30125,0.0,0.36,3.41,2.56,17.61
3,hard_comm_400,100,0.59500625,0.5825,0.07125,0.0,0.34,6.51,0.22,20.5
3,hard_comm_800,100,0.54455,0.53,0.1675,0.0,0.32,4.85,1.0,17.41
3,nominal,100,0.5508375,0.53625,0.255,0.0,0.35,4.58,2.42,17.22
3,scenario_2,100,0.6000043402777778,0.598,0.181,0.0,0.76,4.33,1.93,22.23
3,sensing_moderate,100,0.5525875,0.52875,0.23375,0.0,0.34,4.36,2.43,16.96
3,sensing_severe,100,0.5439625,0.50875,0.21125,0.0,0.35,4.31,2.47,16.75
3,slower_motion,100,0.51085,0.4975,0.22,0.0,0.31,4.98,2.19,17.35
4,clustered_targets,100,0.42389375,0.47,0.09625,0.0,0.46,6.25,0.63,2.61
4,edge_targets,100,0.52205625,0.455,0.0375,0.0,0.3,3.89,0.24,3.82
4,faster_motion,100,0.686975,0.655,0.06125,0.0,0.21,3.73,0.48,4.21
4,hard_comm_400,100,0.469075,0.445,0.0075,0.0,0.41,4.5,0.01,3.77
4,hard_comm_800,100,0.4653,0.43625,0.0225,0.0,0.45,3.65,0.07,3.15
4,nominal,100,0.42909375,0.4025,0.03375,0.0,0.43,3.26,0.22,3.15
4,scenario_2,100,0.7172612847222222,0.704,0.038,0.0,0.36,4.04,0.4,4.75
4,sensing_moderate,100,0.427625,0.39875,0.03,0.0,0.43,3.21,0.22,3.19
4,sensing_severe,100,0.4311125,0.4,0.02,0.0,0.45,3.11,0.22,3.12
4,slower_motion,100,0.5242875,0.515,0.05125,0.0,0.32,6.13,0.43,3.72
