condition,n_checkpoints,coverage_ratio_mean,coverage_ratio_std,target_detection_rate_mean,target_detection_rate_std,inspection_success_rate_mean,inspection_success_rate_std,mission_success_mean,mission_success_std,collision_count_mean,collision_count_std,near_miss_count_mean,near_miss_count_std,quadrotor_valid_hover_inspect_count_mean,quadrotor_valid_hover_inspect_count_std,quadrotor_invalid_hover_inspect_count_mean,quadrotor_invalid_hover_inspect_count_std
nominal,5,0.3184,0.2886,0.307,0.287,0.1418,0.1878,0.0,0.0,0.32,0.0758,4.452,0.7593,458.402,625.537,232.004,292.0423
clustered_targets,5,0.3031,0.2732,0.385,0.3725,0.2268,0.2783,0.046,0.0823,0.34,0.0903,6.206,1.1183,461.218,628.341,227.32,291.2357
edge_targets,5,0.339,0.302,0.275,0.2402,0.0988,0.1163,0.0,0.0,0.28,0.043,4.81,0.5744,439.242,599.8659,250.152,315.7296
sensing_moderate,5,0.3223,0.2936,0.305,0.2861,0.138,0.1877,0.0,0.0,0.304,0.0808,4.368,0.7859,459.92,627.0196,230.742,290.5282
sensing_severe,5,0.3178,0.288,0.293,0.2721,0.1258,0.1753,0.0,0.0,0.322,0.0835,4.408,0.8117,459.892,627.0449,230.41,290.8039
hard_comm_800,5,0.3255,0.2926,0.3158,0.293,0.0968,0.1297,0.0,0.0,0.312,0.0829,4.65,0.6007,457.374,626.4709,232.54,291.6051
hard_comm_400,5,0.3268,0.2935,0.3073,0.283,0.0425,0.0584,0.0,0.0,0.316,0.068,5.284,0.7426,456.932,626.8732,234.26,290.1315
slower_motion,5,0.3127,0.2777,0.3005,0.2739,0.121,0.1493,0.0,0.0,0.238,0.1548,5.13,0.7667,510.7,697.3196,208.648,262.3433
faster_motion,5,0.3902,0.3489,0.3735,0.3415,0.164,0.2051,0.0,0.0,0.34,0.1098,3.726,0.4433,400.11,551.2477,212.486,266.7987
scenario_2,5,0.4463,0.302,0.4394,0.3079,0.1066,0.1378,0.0,0.0,0.514,0.1557,7.152,3.8042,73.158,99.6386,674.046,889.5671
