Condition,Coverage,Detection,Inspection,Mission Success,Collision,Near Miss
Nominal,0.318 ± 0.289,0.307 ± 0.287,0.142 ± 0.188,0.000 ± 0.000,0.320 ± 0.076,4.452 ± 0.759
Clustered targets,0.303 ± 0.273,0.385 ± 0.372,0.227 ± 0.278,0.046 ± 0.082,0.340 ± 0.090,6.206 ± 1.118
Edge-biased targets,0.339 ± 0.302,0.275 ± 0.240,0.099 ± 0.116,0.000 ± 0.000,0.280 ± 0.043,4.810 ± 0.574
Sensing 0.60/0.80,0.322 ± 0.294,0.305 ± 0.286,0.138 ± 0.188,0.000 ± 0.000,0.304 ± 0.081,4.368 ± 0.786
Sensing 0.50/0.70,0.318 ± 0.288,0.293 ± 0.272,0.126 ± 0.175,0.000 ± 0.000,0.322 ± 0.084,4.408 ± 0.812
Hard comm. 800 m,0.326 ± 0.293,0.316 ± 0.293,0.097 ± 0.130,0.000 ± 0.000,0.312 ± 0.083,4.650 ± 0.601
Hard comm. 400 m,0.327 ± 0.293,0.307 ± 0.283,0.043 ± 0.058,0.000 ± 0.000,0.316 ± 0.068,5.284 ± 0.743
Motion ×0.8,0.313 ± 0.278,0.300 ± 0.274,0.121 ± 0.149,0.000 ± 0.000,0.238 ± 0.155,5.130 ± 0.767
Motion ×1.2,0.390 ± 0.349,0.373 ± 0.342,0.164 ± 0.205,0.000 ± 0.000,0.340 ± 0.110,3.726 ± 0.443
Scenario 2,0.446 ± 0.302,0.439 ± 0.308,0.107 ± 0.138,0.000 ± 0.000,0.514 ± 0.156,7.152 ± 3.804
