coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,0,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,1,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,2,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,3,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,4,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,5,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,6,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,7,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,8,heterogeneous_mappo,deterministic
0.405,0.5,1.0,0,700,100.84999999999995,0.0,99.15000000000003,99.15000000000003,0,0,177,0,2,1,2,0.8842857142857142,max_steps_reached,0,9,heterogeneous_mappo,deterministic
