update,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,0,0.2258984367690573,1,0.12,0.5,1.0,0,151,0,0,-0.008950863033533096,40.6977653503418,1.781195878982544,0.0032478910870850086,0.0,0.1690950244665146
2,0,0.09350586263462901,2,0.245,0.5,1.0,0,210,0,0,-0.00728586595505476,30.07834243774414,1.780427098274231,-0.003319474868476391,0.0,0.1695367991924286
3,0,0.19861328467959538,4,0.1975,0.5,1.0,0,117,0,0,-0.002181637566536665,35.21747970581055,1.778104305267334,0.0005972732324153185,0.0,0.16984567046165466
4,0,-0.011874999981955625,4,0.2775,0.5,1.0,0,373,0,0,-0.005204856861382723,0.2709164619445801,1.776502251625061,9.043002501130104e-05,0.0,0.171582892537117
5,0,0.17990234685203177,6,0.1225,0.5,1.0,0,65,0,0,-0.004535228945314884,36.7913818359375,1.7746590375900269,-0.00030468706972897053,0.0,0.170751690864563
6,0,0.19901367574857431,8,0.145,0.5,1.0,0,101,0,0,-1.7707236111164093e-05,39.39041519165039,1.7698345184326172,0.0019263406284153461,0.0,0.17422501742839813
7,0,0.09770507978828391,9,0.13,0.5,1.0,0,229,0,0,-0.0015075593255460262,21.190967559814453,1.765356421470642,-0.0010856224689632654,0.0,0.174948588013649
8,0,0.22400390886105015,10,0.0325,0.5,0.5,0,8,0,0,-0.0008832651656121016,29.98651885986328,1.7627397775650024,4.1446415707468987e-05,0.0,0.17611077427864075
9,0,0.34294921641776455,12,0.1575,0.5,1.0,0,129,0,0,-0.000717854592949152,56.621665954589844,1.7545225620269775,0.00025639310479164124,0.0,0.17715850472450256
10,0,0.12495117459911853,14,0.1775,0.0,1.0,0,33,0,0,-0.0031711598858237267,18.673585891723633,1.7492496967315674,0.0015993986744433641,0.0,0.17869114875793457
11,0,0.5900683539548481,16,0.24,0.5,1.0,0,137,0,0,-0.001620523864403367,102.88829803466797,1.7360291481018066,0.0016244465950876474,0.0,0.18373224139213562
12,0,0.34368163959879894,19,0.04,0.0,1.0,0,4,0,0,-0.00016721151769161224,70.21401977539062,1.7277047634124756,0.0017315924633294344,0.0,0.1867600381374359
13,0,0.7950097673856362,23,0.03,0.0,0.5,0,2,0,0,-0.001575330039486289,124.82730102539062,1.721571922302246,6.398255936801434e-05,0.0,0.18986356258392334
14,0,0.7619042993173935,27,0.08,0.5,1.0,0,60,0,0,-0.002929955255240202,130.518798828125,1.7150967121124268,0.0010534522589296103,0.0,0.18673038482666016
15,0,0.9148144506034441,32,0.29,0.5,1.0,0,60,0,0,-0.001493486575782299,130.9545440673828,1.7055914402008057,0.0002960897982120514,0.0,0.19750487804412842
16,0,0.7929394543680246,36,0.065,0.5,1.0,0,7,0,0,-0.0019386324565857649,141.60960388183594,1.6995198726654053,0.0003242294769734144,0.0,0.19974613189697266
17,0,0.912695314767916,41,0.03,0.0,0.5,0,36,0,0,-0.0013835001736879349,159.28878784179688,1.692552924156189,0.0008565476164221764,0.0,0.19793836772441864
18,0,0.7880664077747497,45,0.195,0.5,1.0,0,59,0,0,-0.0014028577134013176,122.06808471679688,1.6867984533309937,0.0009593938011676073,0.0,0.19800403714179993
19,0,0.6539648550460697,49,0.0475,0.0,1.0,0,4,0,0,-0.0007359660230576992,87.844482421875,1.680883765220642,0.0013234158977866173,0.0,0.19509311020374298
20,0,0.5731152344087604,51,0.3175,0.5,1.0,0,166,0,0,-0.0007778373546898365,101.7043228149414,1.6752359867095947,0.00021656113676726818,0.0,0.20832742750644684
21,0,-0.008554687858122634,51,0.415,0.5,1.0,0,422,0,0,-0.003008009400218725,1.4316483736038208,1.6821740865707397,0.0018444620072841644,0.0,0.20319421589374542
22,0,-0.03318359462355147,51,0.4425,0.5,1.0,0,678,0,0,-0.003273170441389084,1.8353217840194702,1.6945557594299316,0.0021447581239044666,0.0,0.19958734512329102
23,0,1.7554492192539328,60,0.0475,0.0,1.0,0,20,0,0,-0.0005468074232339859,274.92132568359375,1.6383922100067139,-0.0009435738902539015,0.0,0.2333899587392807
24,0,2.0842968754550384,69,0.025,0.0,0.5,0,6,0,0,-0.001511814072728157,338.4474792480469,1.6242228746414185,-0.0002665305510163307,0.0,0.23768527805805206
25,0,1.8630761631684436,78,0.035,0.0,1.0,0,4,0,0,2.3162923753261566e-05,280.1520080566406,1.6183269023895264,0.0005792796146124601,0.0,0.22976739704608917
26,0,1.5520703071597381,87,0.0375,0.0,0.5,0,7,0,0,-7.119076326489449e-05,228.1470489501953,1.616468071937561,0.00020371144637465477,0.0,0.23769429326057434
27,0,1.6490624840807868,95,0.035,0.0,1.0,0,5,0,0,-0.0006268684519454837,277.8603210449219,1.6080677509307861,-8.270610123872757e-06,0.0,0.23914502561092377
28,0,2.03545897449294,104,0.0625,0.5,1.0,0,20,0,0,-0.00020612683147192,324.8118591308594,1.6078983545303345,-5.505979061126709e-06,0.0,0.24148482084274292
29,0,1.940927740179177,113,0.07,0.5,1.0,0,41,0,0,-0.0002638949081301689,268.0732421875,1.602268934249878,-0.00014859787188470364,0.0,0.25258517265319824
30,0,0.03988281221973011,113,0.5,0.5,1.0,0,297,0,0,-0.003206962952390313,2.8792636394500732,1.5873758792877197,-0.0021305903792381287,0.0,0.2665252089500427
31,0,-0.029707031913858373,113,0.5,0.5,1.0,0,553,0,0,-0.005176503211259842,2.5073132514953613,1.5677218437194824,0.0029594579245895147,0.0,0.24552159011363983
32,0,0.14647460522974143,114,0.4025,0.5,1.0,0,109,0,0,-0.0037416545674204826,23.97029685974121,1.5208377838134766,0.004051229916512966,0.0,0.27616846561431885
33,0,0.0026953118031087797,114,0.5825,0.5,1.0,0,365,0,0,-0.0020699312444776297,1.4803348779678345,1.4485970735549927,7.15767964720726e-06,0.0,0.31591707468032837
34,0,-0.02648437583775376,114,0.625,0.5,1.0,0,621,0,0,-0.0007795460987836123,1.7823222875595093,1.4535759687423706,-0.002086484804749489,0.0,0.328758180141449
35,0,1.5997656310028106,122,0.0425,0.0,1.0,0,14,0,0,0.002121464814990759,275.10833740234375,1.4392366409301758,0.0014991587959229946,0.0,0.3154861032962799
36,0,1.25924804342867,127,0.415,0.5,1.0,0,151,0,0,0.0005621127784252167,184.1265869140625,1.4213743209838867,-0.00026646885089576244,0.0,0.32331812381744385
37,0,-0.02123046951237484,127,0.4775,0.5,1.0,0,407,0,0,-0.001315888948738575,2.098874568939209,1.4343626499176025,0.00034914305433630943,0.0,0.33981338143348694
