coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.84875,1.0,1.0,1,540,107.59999999999734,73.00000000000153,59.70000000000185,58.00000000000185,0,0,300,0,8,8,15,0.1617283950617284,all_targets_inspected,324,324,0,327.2921104753544,324,1,0,hierarchical_task_allocation,rule
0.871875,1.0,1.0,1,604,128.4999999999965,69.80000000000172,50.85000000000173,50.05000000000169,0,0,282,0,8,8,15,0.23013245033112584,all_targets_inspected,285,285,0,311.9515000315886,285,1,1,hierarchical_task_allocation,rule
0.7125,1.0,1.0,1,438,98.89999999999826,78.10000000000124,61.50000000000191,61.05000000000193,0,0,124,0,8,8,13,0.1324200913242009,all_targets_inspected,146,146,0,318.3565983690071,146,1,2,hierarchical_task_allocation,rule
0.880625,0.875,0.875,0,1000,148.69999999999976,50.00000000000284,50.65000000000181,44.400000000001825,0,0,227,0,7,7,19,0.5303333333333333,max_steps_reached,1178,1178,0,180.60285032702257,1178,1,3,hierarchical_task_allocation,rule
0.888125,0.875,0.875,0,1000,157.05000000000115,50.00000000000284,46.47500000000185,44.05000000000181,0,0,147,0,7,7,14,0.5263333333333333,max_steps_reached,1082,1082,0,223.43488675166967,1082,1,4,hierarchical_task_allocation,rule
0.889375,0.875,0.875,0,1000,169.0500000000008,50.00000000000284,40.475000000001614,36.90000000000159,0,0,879,0,7,7,21,0.5256666666666666,max_steps_reached,992,992,0,253.68357295161215,992,1,5,hierarchical_task_allocation,rule
0.8875,0.875,0.875,0,1000,169.90000000000055,50.00000000000284,40.050000000001646,38.10000000000168,0,0,546,0,7,7,12,0.5266666666666666,max_steps_reached,901,901,0,257.07738146184687,901,1,6,hierarchical_task_allocation,rule
0.870625,1.0,1.0,1,563,134.59999999999664,71.8500000000016,46.7750000000017,43.10000000000173,0,0,183,0,8,8,10,0.17525162818235643,all_targets_inspected,109,109,0,472.1607210637062,109,1,7,hierarchical_task_allocation,rule
0.8875,0.625,0.625,0,1000,173.70000000000107,50.00000000000284,38.15000000000172,35.850000000001685,0,0,346,0,5,5,12,0.5266666666666666,max_steps_reached,858,858,0,162.49445356904124,858,1,8,hierarchical_task_allocation,rule
0.888125,1.0,1.0,1,615,146.84999999999658,69.25000000000175,41.95000000000172,41.40000000000173,0,0,201,0,8,8,14,0.22981029810298104,all_targets_inspected,89,89,0,463.7431664268542,89,1,9,hierarchical_task_allocation,rule
