coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed,baseline,evaluation_mode
0.66875,0.0,0.625,0,1000,206.7499999999978,22.200000000002884,35.525000000001555,32.250000000001435,0,3,618,0,5,0,13,0.6433333333333333,max_steps_reached,1,0,homogeneous_mappo,sampling
0.715625,0.0,1.0,0,1000,204.2499999999977,25.600000000003078,35.07500000000151,35.05000000000152,0,1,763,0,8,0,18,0.6183333333333333,max_steps_reached,1,1,homogeneous_mappo,sampling
0.62375,0.0,1.0,0,1000,207.04999999999774,23.100000000002943,34.925000000001546,33.15000000000149,0,6,578,0,8,0,16,0.6673333333333333,max_steps_reached,1,2,homogeneous_mappo,sampling
0.703125,0.0,0.875,0,1000,210.64999999999765,23.600000000002964,32.87500000000152,32.85000000000154,0,2,665,0,7,0,16,0.625,max_steps_reached,1,3,homogeneous_mappo,sampling
0.025,0.0,0.0,0,14,2.9000000000000004,98.90000000000006,99.10000000000005,98.90000000000006,1,7,0,0,0,0,0,0.047619047619047616,collision,1,4,homogeneous_mappo,sampling
0.0375,0.0,0.0,0,16,3.2000000000000006,98.80000000000007,99.00000000000006,98.90000000000006,1,3,0,0,0,0,1,0.0,collision,1,5,homogeneous_mappo,sampling
0.776875,0.0,0.75,0,1000,201.19999999999766,24.80000000000306,37.00000000000153,36.95000000000154,0,14,618,0,6,0,17,0.5856666666666667,max_steps_reached,1,6,homogeneous_mappo,sampling
0.688125,0.0,0.75,0,1000,205.04999999999774,25.000000000003006,34.97500000000149,34.550000000001454,0,2,724,0,6,0,16,0.633,max_steps_reached,1,7,homogeneous_mappo,sampling
0.70875,0.0,1.0,0,1000,205.24999999999784,24.60000000000293,35.07500000000155,34.7500000000016,0,1,683,0,8,0,14,0.622,max_steps_reached,1,8,homogeneous_mappo,sampling
0.631875,0.0,0.5,0,1000,201.94999999999766,23.700000000002987,37.175000000001596,36.65000000000156,0,1,682,0,4,0,15,0.663,max_steps_reached,1,9,homogeneous_mappo,sampling
