coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.906875,1.0,1.0,1,662,135.3999999999969,64.700000000002,49.95000000000167,48.95000000000167,0,1,452,0,8,8,19,0.26938569989929506,all_targets_inspected,393,393,0,331.4009483819904,406,1,0,sweep_assisted_ca_hmappo_noise005,sampling
0.909375,1.0,1.0,1,720,159.54999999999623,61.90000000000215,39.27500000000157,38.300000000001596,0,0,322,0,8,8,15,0.3263888888888889,all_targets_inspected,283,283,0,243.31748449016166,291,1,1,sweep_assisted_ca_hmappo_noise005,sampling
0.730625,1.0,1.0,1,527,110.8499999999978,71.8500000000016,58.65000000000185,56.65000000000181,0,0,95,0,8,8,14,0.2605945604048071,all_targets_inspected,282,282,0,252.64162792997718,295,1,2,sweep_assisted_ca_hmappo_noise005,sampling
0.87,1.0,1.0,1,634,156.8499999999969,65.90000000000194,38.62500000000168,38.550000000001646,0,0,211,0,8,8,14,0.26813880126182965,all_targets_inspected,73,73,0,326.9734292532826,83,1,3,sweep_assisted_ca_hmappo_noise005,sampling
0.911875,1.0,1.0,1,882,211.04999999999708,51.90000000000265,18.525000000001366,14.60000000000138,0,0,560,0,8,8,14,0.4486016628873772,all_targets_inspected,187,187,0,358.1417792922789,201,1,4,sweep_assisted_ca_hmappo_noise005,sampling
0.91875,1.0,1.0,1,824,191.54999999999677,54.900000000002535,26.775000000001498,24.75000000000147,0,0,378,0,8,8,13,0.4053398058252427,all_targets_inspected,246,246,0,452.8026595598255,268,1,5,sweep_assisted_ca_hmappo_noise005,sampling
0.9175,1.0,1.0,1,767,184.74999999999642,59.55000000000228,27.850000000001465,24.900000000001448,0,1,229,0,8,8,16,0.36201651455888745,all_targets_inspected,126,126,0,408.7890705242283,135,1,6,sweep_assisted_ca_hmappo_noise005,sampling
0.915,1.0,1.0,1,756,174.59999999999667,59.600000000002275,32.90000000000155,29.100000000001543,0,0,248,0,8,8,14,0.3544973544973545,all_targets_inspected,220,220,0,359.96985278768057,225,1,7,sweep_assisted_ca_hmappo_noise005,sampling
0.913125,1.0,1.0,1,683,167.8999999999969,64.15000000000204,33.9750000000016,32.35000000000156,0,0,413,0,8,8,10,0.2869692532942899,all_targets_inspected,73,73,0,357.40323194203677,78,1,8,sweep_assisted_ca_hmappo_noise005,sampling
0.90875,1.0,1.0,1,728,178.19999999999666,62.20000000000215,29.800000000001543,28.50000000000155,0,0,409,0,8,8,11,0.3342490842490842,all_targets_inspected,77,77,0,458.4188389393034,85,1,9,sweep_assisted_ca_hmappo_noise005,sampling
0.908125,1.0,1.0,1,729,166.6999999999968,61.35000000000219,35.975000000001614,34.3000000000016,0,1,286,0,8,8,19,0.3356195701874714,all_targets_inspected,230,230,0,308.09672052588616,242,1,10,sweep_assisted_ca_hmappo_noise005,sampling
0.9125,1.0,1.0,1,687,174.0499999999967,63.35000000000208,31.300000000001567,31.000000000001585,0,1,194,0,8,8,12,0.2916060164968462,all_targets_inspected,20,20,0,496.61463932106665,31,1,11,sweep_assisted_ca_hmappo_noise005,sampling
0.914375,0.875,0.875,0,1000,218.29999999999856,45.900000000002976,17.900000000001448,10.200000000001378,0,0,1135,0,7,7,15,0.5123333333333333,max_steps_reached,453,453,0,334.80224609263985,458,1,12,sweep_assisted_ca_hmappo_noise005,sampling
0.908125,1.0,1.0,1,707,162.0999999999965,62.85000000000211,37.5250000000016,34.650000000001555,0,0,400,0,8,8,16,0.31494578029231496,all_targets_inspected,207,207,0,337.5816885342266,222,1,13,sweep_assisted_ca_hmappo_noise005,sampling
0.81625,1.0,1.0,1,589,138.99999999999656,69.15000000000175,45.925000000001766,43.40000000000171,0,2,119,0,8,8,12,0.26089417091114886,all_targets_inspected,129,129,0,323.54139910884476,137,1,14,sweep_assisted_ca_hmappo_noise005,sampling
0.911875,1.0,1.0,1,736,166.44999999999683,60.80000000000222,36.37500000000162,35.75000000000162,0,0,497,0,8,8,15,0.3392210144927536,all_targets_inspected,262,262,0,334.58025094090146,274,1,15,sweep_assisted_ca_hmappo_noise005,sampling
0.91375,1.0,1.0,1,791,171.19999999999655,57.85000000000237,35.475000000001494,32.30000000000149,0,1,239,0,8,8,15,0.3839022334597556,all_targets_inspected,364,364,0,333.6842872670301,382,1,16,sweep_assisted_ca_hmappo_noise005,sampling
0.909375,1.0,1.0,1,728,159.34999999999798,61.900000000002166,39.37500000000169,38.15000000000167,0,3,388,0,8,8,16,0.33379120879120877,all_targets_inspected,321,321,0,310.5206410785654,333,1,17,sweep_assisted_ca_hmappo_noise005,sampling
0.9175,1.0,1.0,1,683,149.79999999999663,64.05000000000204,43.07500000000164,41.45000000000169,0,0,138,0,8,8,16,0.28355295265983405,all_targets_inspected,280,280,0,329.4153504024215,292,1,18,sweep_assisted_ca_hmappo_noise005,sampling
0.89625,1.0,1.0,1,640,159.99999999999682,66.30000000000192,36.85000000000167,36.700000000001666,0,0,352,0,8,8,13,0.253125,all_targets_inspected,42,42,0,416.886909370829,62,1,19,sweep_assisted_ca_hmappo_noise005,sampling
