coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.913125,1.0,1.0,1,676,131.64999999999685,66.20000000000192,51.075000000001694,50.05000000000166,0,1,664,0,8,8,15,0.27958579881656803,all_targets_inspected,441,441,0,338.48544229502585,441,1,0,sweep_assisted_happo_assignment,sampling
0.9125,1.0,1.0,1,714,163.94999999999638,64.30000000000203,35.87500000000152,33.950000000001516,0,1,326,0,8,8,14,0.3183940242763772,all_targets_inspected,203,203,0,355.4318078632101,206,1,1,sweep_assisted_happo_assignment,sampling
0.8125,1.0,1.0,1,579,135.99999999999676,71.05000000000165,46.4750000000017,41.75000000000169,0,0,288,0,8,8,11,0.2515831894070236,all_targets_inspected,135,135,0,335.2611519569596,136,1,2,sweep_assisted_happo_assignment,sampling
0.91625,1.0,1.0,1,667,146.04999999999677,66.6500000000019,43.65000000000174,42.05000000000175,0,0,324,0,8,8,17,0.2673663168415792,all_targets_inspected,252,252,0,299.6203690949372,253,1,3,sweep_assisted_happo_assignment,sampling
0.80375,1.0,1.0,1,570,137.8499999999967,71.50000000000162,45.32500000000177,45.200000000001765,0,0,127,0,8,8,15,0.247953216374269,all_targets_inspected,74,74,0,441.6111600358473,77,1,4,sweep_assisted_happo_assignment,sampling
0.926875,0.875,0.875,0,1000,196.34999999999846,50.00000000000284,26.825000000001356,22.100000000001295,0,0,634,0,7,7,19,0.5056666666666667,max_steps_reached,644,644,0,302.95557534445817,644,1,5,sweep_assisted_happo_assignment,sampling
0.919375,1.0,1.0,1,727,176.44999999999655,63.650000000002066,29.950000000001513,27.150000000001505,0,0,310,0,8,8,14,0.3255387436955525,all_targets_inspected,88,88,0,475.8510074732662,89,1,6,sweep_assisted_happo_assignment,sampling
0.928125,1.0,1.0,1,778,187.59999999999664,61.10000000000221,25.65000000000142,21.900000000001434,0,0,286,0,8,8,13,0.36375321336760924,all_targets_inspected,119,119,0,423.3042797307707,119,1,7,sweep_assisted_happo_assignment,sampling
0.9225,1.0,1.0,1,710,177.04999999999674,64.50000000000202,29.22500000000154,28.85000000000155,0,0,284,0,8,8,12,0.30704225352112674,all_targets_inspected,27,27,0,366.4915667507628,27,1,8,sweep_assisted_happo_assignment,sampling
0.91625,1.0,1.0,1,742,178.34999999999658,62.90000000000211,29.375000000001542,25.900000000001512,0,2,400,0,8,8,13,0.3414195867026056,all_targets_inspected,94,94,0,461.1027997688638,94,1,9,sweep_assisted_happo_assignment,sampling
0.92125,1.0,1.0,1,718,173.2999999999967,64.10000000000204,31.300000000001567,27.65000000000149,0,0,371,0,8,8,13,0.31569173630454966,all_targets_inspected,92,92,0,390.9629659112001,92,1,10,sweep_assisted_happo_assignment,sampling
0.93,1.0,1.0,1,691,174.39999999999662,65.45000000000196,30.075000000001545,29.85000000000153,0,0,228,0,8,8,12,0.2821997105643994,all_targets_inspected,11,11,0,433.0971001664714,13,1,11,sweep_assisted_happo_assignment,sampling
0.925,0.875,0.875,0,1000,185.49999999999977,50.00000000000284,32.250000000001606,29.400000000001555,0,0,822,0,7,7,16,0.5066666666666667,max_steps_reached,765,765,0,225.36641129905115,767,1,12,sweep_assisted_happo_assignment,sampling
0.921875,1.0,1.0,1,834,200.99999999999667,58.30000000000237,20.350000000001412,18.95000000000141,0,1,725,0,8,8,23,0.4104716227018385,all_targets_inspected,105,105,0,427.5672136608306,105,1,13,sweep_assisted_happo_assignment,sampling
0.834375,1.0,1.0,1,594,132.09999999999636,70.30000000000169,48.800000000001724,48.10000000000172,0,0,224,0,8,8,15,0.25084175084175087,all_targets_inspected,214,214,0,379.2621422495418,215,1,14,sweep_assisted_happo_assignment,sampling
0.918125,1.0,1.0,1,780,171.44999999999683,61.00000000000222,33.77500000000151,29.55000000000158,0,0,177,0,8,8,14,0.37222222222222223,all_targets_inspected,303,303,0,295.6373850881686,304,1,15,sweep_assisted_happo_assignment,sampling
0.93,1.0,1.0,1,780,176.74999999999667,61.00000000000222,31.125000000001503,29.550000000001553,0,2,350,0,8,8,15,0.3641025641025641,all_targets_inspected,240,240,0,423.44401492858077,245,1,16,sweep_assisted_happo_assignment,sampling
0.916875,0.875,1.0,0,1000,215.74999999999739,50.00000000000284,17.125000000001307,15.400000000001388,0,0,736,0,8,7,17,0.511,max_steps_reached,405,405,0,307.9679122512794,407,1,17,sweep_assisted_happo_assignment,sampling
0.93125,1.0,1.0,1,876,191.7499999999963,56.20000000000249,26.025000000001413,23.85000000000141,0,0,906,0,8,8,19,0.4330289193302892,all_targets_inspected,320,320,0,359.70604664398,324,1,18,sweep_assisted_happo_assignment,sampling
0.886875,1.0,1.0,1,637,157.5999999999969,68.15000000000181,37.12500000000168,36.150000000001654,0,2,247,0,8,8,9,0.25745682888540034,all_targets_inspected,49,49,0,439.3677427552035,50,1,19,sweep_assisted_happo_assignment,sampling
