coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.2775,0.125,0.125,0,495,108.59999999999809,47.35000000000238,72.02500000000141,69.40000000000154,1,6,30,0,1,1,7,0.701010101010101,collision,493,493,0,152.9858843026408,496,1,0,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.101875,0.0,0.0,0,298,70.64999999999975,67.00000000000188,81.17500000000098,70.2000000000017,1,5,156,0,0,0,2,0.8176733780760627,collision,252,252,0,123.55577717429088,252,1,1,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.131875,0.0,0.0,0,280,63.69999999999999,69.30000000000175,83.50000000000085,82.75000000000088,1,10,25,0,0,0,3,0.7488095238095238,collision,260,260,0,221.0015218826819,264,1,2,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.1275,0.0,0.0,0,226,44.20000000000007,75.00000000000142,90.40000000000045,83.30000000000084,1,1,91,0,0,0,3,0.6991150442477876,collision,295,295,0,138.40978852473904,295,1,3,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.311875,0.0,0.0,0,226,69.25000000000001,74.50000000000145,78.12500000000124,77.40000000000128,1,1,74,0,0,0,2,0.2640117994100295,collision,17,17,0,664.4581896947623,21,1,4,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.101875,0.0,0.125,0,396,84.5999999999987,55.80000000000219,79.8000000000009,75.60000000000119,1,1,136,0,1,0,8,0.8627946127946128,collision,473,473,0,247.1100405607892,475,1,5,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.3725,0.375,0.375,0,1000,204.35000000000065,0.0,47.82500000000162,44.25000000000153,0,3,321,0,3,3,10,0.8013333333333333,max_steps_reached,1069,1069,0,175.94300764426976,1074,1,6,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.2225,0.25,0.25,0,1000,201.64999999999972,0.0,49.17500000000146,46.65000000000139,0,0,380,0,2,2,5,0.8813333333333333,max_steps_reached,1126,1126,0,149.9954193537218,1132,1,7,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.228125,0.0,0.0,0,406,122.44999999999698,57.60000000000216,59.97500000000199,59.40000000000198,1,8,135,0,0,0,1,0.7003284072249589,collision,14,14,0,293.1966032711818,14,1,8,assignment_constrained_ca_hmappo_assignment_aware,sampling
0.235625,0.25,0.25,0,522,117.74999999999747,43.80000000000245,69.22500000000159,67.7500000000017,1,2,256,0,2,2,5,0.7592592592592593,collision,486,486,0,184.2322451359099,491,1,9,assignment_constrained_ca_hmappo_assignment_aware,sampling
