coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.135625,0.125,0.125,0,138,39.20000000000022,88.70000000000064,86.05000000000078,85.90000000000077,1,9,1,0,1,1,2,0.4758454106280193,collision,2,2,0,127.74379046124284,2,1,0,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.678125,0.75,0.75,0,1000,205.20000000000013,24.200000000003023,35.300000000001674,31.750000000001677,0,10,759,0,6,6,16,0.6383333333333333,max_steps_reached,826,826,0,255.07668303879515,842,1,1,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.2725,0.25,0.25,0,184,51.300000000000225,85.80000000000081,81.45000000000104,81.30000000000103,1,1,62,0,2,2,5,0.21014492753623187,collision,2,2,0,615.0847146968258,2,1,2,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.5325,0.5,0.625,0,1000,180.79999999999876,24.100000000003,47.5500000000017,44.200000000001786,0,2,291,0,5,4,16,0.716,max_steps_reached,1101,1101,0,112.29542399785923,1178,1,3,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.73375,0.375,0.375,0,1000,193.85000000000124,21.300000000002925,42.4250000000018,41.90000000000177,0,3,537,0,3,3,17,0.6086666666666667,max_steps_reached,976,976,0,199.6438600486931,1013,1,4,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.715625,0.75,0.75,0,1000,208.54999999999805,22.600000000002986,34.42500000000147,33.90000000000155,0,10,115,0,6,6,22,0.6183333333333333,max_steps_reached,831,831,0,208.29735595474762,870,1,5,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.46375,0.25,0.375,0,1000,190.10000000000144,21.50000000000291,44.20000000000182,42.85000000000182,0,5,593,0,3,2,9,0.7526666666666667,max_steps_reached,1004,1004,0,222.4054243062657,1033,1,6,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.55,0.625,0.625,0,1000,215.64999999999924,20.700000000002895,31.825000000001623,25.950000000001566,0,2,421,0,5,5,12,0.7066666666666667,max_steps_reached,749,749,0,187.93226370398716,780,1,7,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.46125,0.625,0.75,0,1000,240.8999999999984,19.700000000002902,19.700000000001467,14.050000000001411,0,2,410,0,6,5,14,0.754,max_steps_reached,464,464,0,379.3434718761865,474,1,8,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.38875,0.25,0.25,0,1000,161.30000000000018,23.000000000003034,57.85000000000157,46.750000000001876,0,2,54,0,2,2,8,0.7926666666666666,max_steps_reached,1297,1297,0,136.99808770855967,1333,1,9,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.291875,0.0,0.0,0,460,128.5499999999967,58.800000000002214,56.325000000001936,54.000000000001904,1,5,297,0,0,0,4,0.6615942028985508,collision,49,49,0,847.611757648778,49,1,10,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.126875,0.0,0.0,0,103,29.550000000000175,91.05000000000051,89.70000000000059,89.70000000000059,1,4,13,0,0,0,0,0.343042071197411,collision,0,0,0,0.0,0,1,11,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.5325,0.75,0.75,0,1000,195.9500000000003,21.800000000002946,41.12500000000169,40.40000000000175,0,1,324,0,6,6,15,0.716,max_steps_reached,950,950,0,183.56060366163302,980,1,12,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.525,0.375,0.375,0,1000,196.84999999999792,22.60000000000302,40.27500000000141,38.25000000000153,0,1,484,0,3,3,14,0.72,max_steps_reached,963,963,0,130.50238511458414,1010,1,13,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.55875,0.25,0.25,0,1000,191.4499999999996,22.00000000000294,43.275000000001725,39.30000000000166,0,3,391,0,2,2,15,0.702,max_steps_reached,993,993,0,215.67677151422956,1021,1,14,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.506875,0.5,0.5,0,1000,210.9499999999993,24.700000000003065,32.17500000000159,31.200000000001623,0,3,333,0,4,4,11,0.7296666666666667,max_steps_reached,721,721,0,254.62484228288452,751,1,15,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.43125,0.5,0.5,0,563,115.59999999999768,55.050000000002356,64.6750000000018,63.60000000000177,1,0,197,0,4,4,10,0.5914742451154529,collision,487,487,0,224.27843534392156,511,1,16,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.48375,0.5,0.5,0,1000,170.24999999999946,23.70000000000298,53.02500000000177,47.150000000001825,0,5,396,0,4,4,16,0.742,max_steps_reached,1233,1233,0,144.37694633186334,1314,1,17,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.37,0.25,0.25,0,432,106.34999999999795,62.80000000000207,65.42500000000187,65.20000000000198,1,4,112,0,2,2,6,0.5432098765432098,collision,205,205,0,471.9389109462399,211,1,18,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
0.629375,0.625,0.625,0,1000,250.9499999999977,20.500000000002842,14.275000000001423,5.50000000000138,0,2,400,0,5,5,11,0.6643333333333333,max_steps_reached,343,343,0,401.55690454655485,344,1,19,assignment_constrained_ca_hmappo_temporal_hover_mask,sampling
