coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.6225,0.125,0.75,0,1000,285.50000000000244,12.000000000002645,1.2500000000013873,1.1500000000013872,0,0,682,0,6,1,15,0.668,max_steps_reached,21,1,20,341.35892780330494,62,1,0,happo_capability_aware,sampling
0.831875,0.0,0.875,0,1000,284.8000000000022,13.400000000002619,0.9000000000014059,0.7500000000014085,0,3,346,0,7,0,16,0.5563333333333333,max_steps_reached,22,0,22,370.20234436392076,0,1,1,happo_capability_aware,sampling
0.76125,0.125,0.75,0,1000,283.250000000002,15.600000000002737,0.5750000000013922,0.5000000000013901,0,3,558,0,6,1,11,0.594,max_steps_reached,21,1,20,380.0006395120298,53,1,2,happo_capability_aware,sampling
0.6075,0.125,0.375,0,508,142.64999999999665,57.600000000002275,49.87500000000183,49.450000000001815,1,5,185,0,3,1,9,0.36220472440944884,collision,17,2,15,420.8370249981361,59,1,3,happo_capability_aware,sampling
0.708125,0.125,0.75,0,1000,284.45000000000226,14.500000000002721,0.5250000000014065,0.35000000000140863,0,2,347,0,6,1,17,0.6223333333333333,max_steps_reached,12,1,11,324.1677708347736,20,1,4,happo_capability_aware,sampling
0.698125,0.0,0.625,0,1000,284.45000000000226,13.500000000002672,1.0250000000014063,1.0000000000014042,0,7,315,0,5,0,18,0.6276666666666667,max_steps_reached,21,0,21,245.7460669575789,71,1,5,happo_capability_aware,sampling
0.82,0.125,0.875,0,1000,283.500000000002,15.700000000002671,0.40000000000139885,0.15000000000139443,0,2,337,0,7,1,16,0.5626666666666666,max_steps_reached,16,1,15,253.49602392128614,126,1,6,happo_capability_aware,sampling
0.664375,0.125,0.875,0,1000,282.00000000000176,14.900000000002684,1.5500000000013976,1.1000000000014043,0,0,648,0,7,1,14,0.6456666666666667,max_steps_reached,36,0,36,282.3140436600202,0,1,7,happo_capability_aware,sampling
0.6125,0.0,0.875,0,696,196.5999999999962,41.500000000002686,30.950000000001577,30.800000000001575,1,7,445,0,7,0,11,0.5306513409961686,collision,11,0,11,260.77036486175297,14,1,8,happo_capability_aware,sampling
0.73,0.0,0.375,0,1000,283.8000000000021,11.800000000002699,2.2000000000014053,1.2000000000014044,0,3,893,0,3,0,10,0.6106666666666667,max_steps_reached,42,0,42,349.94702849995434,0,1,9,happo_capability_aware,sampling
