coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.215,0.0,0.5,0,1000,272.1999999999998,27.800000000003195,1.4043488594239761e-12,1.4043488594239761e-12,0,0,501,0,4,0,13,0.8853333333333333,max_steps_reached,0,0,0,415.7874520566741,7,1,0,hatrpo_assignment_aware,sampling
0.3075,0.125,0.375,0,1000,275.2000000000019,24.800000000003138,7.021744297119881e-13,0.0,0,0,674,0,3,1,11,0.836,max_steps_reached,2,2,0,729.4007604743555,6,1,1,hatrpo_assignment_aware,sampling
0.24125,0.0,0.375,0,177,49.750000000000234,85.65000000000082,82.300000000001,82.300000000001,1,0,12,0,3,0,6,0.2730696798493409,collision,0,0,0,250.41869431599957,0,1,2,hatrpo_assignment_aware,sampling
0.175,0.0,0.25,0,1000,273.8000000000001,26.2000000000031,1.4043488594239761e-12,1.4043488594239761e-12,0,2,0,0,2,0,10,0.9066666666666666,max_steps_reached,0,0,0,272.99345161220344,9,1,3,hatrpo_assignment_aware,sampling
0.401875,0.0,0.375,0,1000,274.7000000000004,25.300000000003138,1.4043488594239761e-12,1.4043488594239761e-12,0,0,53,0,3,0,13,0.7856666666666666,max_steps_reached,0,0,0,665.8439520717834,0,1,4,hatrpo_assignment_aware,sampling
0.18875,0.0,0.125,0,1000,273.9000000000001,26.10000000000312,1.4043488594239761e-12,1.4043488594239761e-12,0,4,227,0,1,0,13,0.8993333333333333,max_steps_reached,0,0,0,143.36430050450144,0,1,5,hatrpo_assignment_aware,sampling
0.330625,0.0,0.375,0,519,146.4499999999965,57.35000000000222,48.10000000000182,48.10000000000182,1,0,25,0,3,0,5,0.6602440590879898,collision,0,0,0,542.1169867456326,0,1,6,hatrpo_assignment_aware,sampling
0.22625,0.0,0.125,0,113,32.65000000000021,89.95000000000057,88.70000000000064,88.70000000000064,1,3,1,0,1,0,3,0.0,collision,0,0,0,538.452433400296,0,1,7,hatrpo_assignment_aware,sampling
0.27125,0.0,0.375,0,1000,281.40000000000157,18.60000000000283,1.4043488594239761e-12,1.4043488594239761e-12,0,0,565,0,3,0,9,0.8553333333333333,max_steps_reached,0,0,0,393.7067795866227,0,1,8,hatrpo_assignment_aware,sampling
0.35125,0.0,0.0,0,1000,242.79999999999794,24.50000000000302,16.350000000001522,1.4043488594239761e-12,0,0,205,0,0,0,8,0.8126666666666666,max_steps_reached,352,352,0,669.8486784814143,353,1,9,hatrpo_assignment_aware,sampling
