coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,communication_mode,baseline
0.83125,0.125,1.0,0,638,159.64999999999657,68.10000000000181,36.12500000000164,36.05000000000163,1,412,581,0,8,1,15,0.3051201671891327,collision,1,1,0,1044.6083828893659,1,1,0,uniform,400.0,hard,hierarchical_task_allocation
0.83375,0.0,0.875,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,426,1213,0,7,0,15,0.5553333333333333,max_steps_reached,0,0,0,700.0471412411177,0,1,1,uniform,400.0,hard,hierarchical_task_allocation
0.84,0.375,1.0,0,1000,249.99999999999937,50.00000000000284,0.0,0.0,0,0,1259,0,8,3,15,0.552,max_steps_reached,5,5,0,755.4221479936717,5,1,2,uniform,400.0,hard,hierarchical_task_allocation
0.83875,0.125,1.0,0,1000,245.4999999999966,50.00000000000284,2.2500000000013975,1.4043488594239761e-12,0,33,1373,0,8,1,18,0.5526666666666666,max_steps_reached,50,50,0,470.19562860493363,50,1,3,uniform,400.0,hard,hierarchical_task_allocation
0.83375,0.0,0.875,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,642,939,0,7,0,18,0.5553333333333333,max_steps_reached,0,0,0,1174.4745118635178,0,1,4,uniform,400.0,hard,hierarchical_task_allocation
0.84,0.125,1.0,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,65,1592,0,8,1,22,0.552,max_steps_reached,1,1,0,638.3419811192621,1,1,5,uniform,400.0,hard,hierarchical_task_allocation
0.83625,0.0,0.875,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,129,904,0,7,0,18,0.554,max_steps_reached,0,0,0,747.9794913356952,0,1,6,uniform,400.0,hard,hierarchical_task_allocation
0.81375,0.0,0.75,0,498,121.34999999999688,75.10000000000142,51.77500000000184,51.35000000000182,1,332,437,0,6,0,8,0.1285140562248996,collision,10,10,0,861.9382714096109,10,1,7,uniform,400.0,hard,hierarchical_task_allocation
0.840625,0.25,0.75,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,0,1008,0,6,2,14,0.5516666666666666,max_steps_reached,2,2,0,674.4479407878478,2,1,8,uniform,400.0,hard,hierarchical_task_allocation
0.839375,0.125,0.875,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,22,1607,0,7,1,14,0.5523333333333333,max_steps_reached,1,1,0,921.7623013077172,1,1,9,uniform,400.0,hard,hierarchical_task_allocation
