update,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,1,1.2139511985442368,0,0.2725,0.125,0.125,0,256,0,0,-0.0032705068588256836,135.78555297851562,1.1762503385543823,0.002149509033188224,0.0
2,1,3.8915614636207465,0,0.2875,0.125,0.125,0,512,0,0,-0.00046080039464868605,2258.919921875,1.3361005783081055,0.0014466764405369759,0.0
3,1,3.0786776107024707,1,0.221875,0.25,0.25,0,190,0,0,-0.0010940463980659842,1699.555908203125,1.127510905265808,0.0012256231857463717,0.0
4,1,4.3339310549220045,1,0.221875,0.25,0.25,0,446,0,0,-0.001309126615524292,2764.28857421875,1.4332607984542847,-0.0002320948988199234,0.0
5,1,4.622794204755337,1,0.2475,0.25,0.25,0,702,0,0,-0.001304909586906433,3198.464111328125,1.3712326288223267,-0.00035711293458007276,0.0
6,1,5.481284808726343,1,0.279375,0.25,0.25,0,958,0,0,-0.001304254517890513,5157.25439453125,1.2726832628250122,-0.000776471511926502,0.0
7,1,2.6349175967625342,2,0.305625,0.5,0.5,0,214,0,0,-0.001723031047731638,800.5523681640625,1.109763264656067,0.0005779922939836979,0.0
8,1,2.876277210587432,2,0.443125,0.625,0.625,0,470,0,0,-0.0019179917871952057,1618.248291015625,1.380306601524353,0.0010298460256308317,0.0
9,1,4.447545530987554,2,0.501875,0.625,0.625,0,726,0,0,-0.001856218441389501,3201.216796875,1.2519186735153198,0.0016577672213315964,0.0
10,1,5.583763485774398,2,0.503125,0.625,0.625,0,982,0,0,-0.0016703506698831916,5304.1708984375,1.1714195013046265,0.0013158422661945224,0.0
11,1,2.368137762171216,3,0.20125,0.125,0.125,0,238,0,0,-0.0008449765737168491,784.1483764648438,1.1623080968856812,-0.00019005988724529743,0.0
12,1,2.73351995779376,4,0.243125,0.0,0.0,0,96,0,0,-0.0007952650194056332,1825.5169677734375,1.0819838047027588,0.0006667340057902038,0.0
13,1,1.696029656141036,4,0.48125,0.125,0.125,0,352,0,0,-0.0012398561229929328,274.54046630859375,1.0856785774230957,0.0006061820895411074,0.0
14,1,4.215227264605346,4,0.539375,0.125,0.125,0,608,0,0,0.0003336916270200163,2771.10546875,1.1500324010849,-0.00042493044747971,0.0
15,1,6.032718200348427,4,0.5675,0.125,0.125,0,864,0,0,-0.001043558120727539,6111.8828125,1.1399556398391724,7.724622264504433e-06,0.0
16,1,4.517797946224164,5,0.161875,0.125,0.125,0,120,0,0,-0.0006764717400074005,3743.91552734375,1.1076704263687134,0.00011687124060699716,0.0
17,1,3.680421560900868,5,0.244375,0.25,0.25,0,376,0,0,-0.0005184027249924839,2393.697509765625,1.2821877002716064,-0.0003826435131486505,0.0
18,1,5.464331000235688,5,0.246875,0.25,0.25,0,632,0,0,-0.000818450644146651,4821.27734375,1.1999849081039429,0.0004430791304912418,0.0
19,1,3.9220485520199873,5,0.275,0.375,0.375,0,888,0,0,-0.0005261798505671322,2961.34423828125,1.1558767557144165,-9.004026651382446e-06,0.0
20,1,3.7875894952594535,6,0.294375,0.25,0.25,0,144,0,0,-7.818142876203638e-06,2486.990478515625,0.9974697232246399,5.273156057228334e-05,0.0
21,1,1.5735947842840687,6,0.41625,0.375,0.375,0,400,0,0,-0.0012932358076795936,428.44903564453125,1.1598695516586304,-0.00025677564553916454,0.0
22,1,6.021464740224474,6,0.425625,0.375,0.375,0,656,0,0,-0.0003070241364184767,6211.96484375,1.0749655961990356,0.0005088484031148255,0.0
23,1,4.434781201984151,6,0.43375,0.5,0.5,0,912,0,0,-0.0003364145231898874,3632.5771484375,1.1127275228500366,-0.0005303063080646098,0.0
24,1,3.2906607928016456,7,0.23625,0.25,0.375,0,168,0,0,-0.0009745725546963513,1665.824951171875,1.002297043800354,-0.0006996314623393118,0.0
25,1,3.9809944799053483,7,0.29375,0.5,0.5,0,424,0,0,-0.00024214510631281883,3022.223388671875,1.1270551681518555,0.00027174889692105353,0.0
26,1,6.005265374704322,7,0.346875,0.5,0.5,0,680,0,0,-0.001015232875943184,6527.0087890625,1.1228069067001343,-0.0001665129530010745,0.0
27,1,6.598991307939286,7,0.394375,0.5,0.5,0,936,0,0,-0.000574897974729538,7814.8671875,1.0067886114120483,8.180722215911373e-05,0.0
28,1,2.7532037302298704,8,0.216875,0.375,0.375,0,192,0,0,-0.0008172250236384571,1498.0013427734375,1.1351803541183472,0.00037187160342000425,0.0
29,1,0.5939371610002127,8,0.324375,0.5,0.5,0,448,0,0,-0.0016317255795001984,150.74557495117188,1.3315129280090332,-3.215259130229242e-05,0.0
30,1,1.924545403516504,8,0.415625,0.625,0.625,0,704,0,0,-0.0035857856273651123,737.318115234375,1.1869826316833496,0.0019569990690797567,0.0
31,1,3.8854615626405575,9,0.194375,0.125,0.125,0,118,0,0,0.0008681938052177429,3978.6015625,1.0288176536560059,-0.0007294475217349827,0.0
32,1,1.5856088902437477,9,0.448125,0.375,0.375,0,374,0,0,-0.002832811325788498,97.30448913574219,1.0433974266052246,-0.0019160304218530655,0.0
33,1,5.308716319654195,9,0.49375,0.375,0.375,0,630,0,0,-0.0029381010681390762,5499.435546875,1.081518292427063,0.003643893403932452,0.0
34,1,6.572928145295009,9,0.51,0.375,0.375,0,886,0,0,0.0005382274393923581,7723.75439453125,0.9784185290336609,0.0007063222001306713,0.0
35,1,3.1820763487776276,10,0.255,0.0,0.0,0,142,0,0,-0.0005647353827953339,2902.349853515625,0.8770628571510315,-0.00015063188038766384,0.0
36,1,0.41948620685434435,10,0.39375,0.0,0.0,0,398,0,0,-0.00144885980989784,248.43199157714844,0.8746166825294495,3.0028322726138867e-05,0.0
37,1,3.8789685185911367,10,0.54125,0.0,0.0,0,654,0,0,0.0007246037130244076,3166.270751953125,1.0102834701538086,-0.0007404065108858049,0.0
