update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,1,capability_aware,-0.06623644364594838,2,0.05,0.0,0.0,0,63,0,0,-0.011777381412684917,311.34503173828125,1.7313731908798218,0.0059756748378276825,0.0325520820915699
2,1,capability_aware,0.372721236504276,3,0.060625,0.0,0.0,0,41,0,0,-0.0021150559186935425,220.12088012695312,1.7608731985092163,-0.003329576225951314,0.0
3,1,capability_aware,-0.27294908457656675,5,0.0125,0.0,0.0,0,39,0,0,-0.005605817306786776,195.886474609375,1.7441452741622925,0.003185679204761982,0.0
4,1,capability_aware,1.2764647648830305,5,0.043125,0.0,0.0,0,295,0,0,-0.005601393524557352,629.708251953125,1.7229026556015015,0.00297827017493546,0.0
5,1,capability_aware,0.9697904057684354,7,0.041875,0.0,0.0,0,56,0,0,-0.00044680084101855755,380.44854736328125,1.7056280374526978,0.0013024345971643925,0.0
6,1,capability_aware,-0.6198142690946042,9,0.0175,0.0,0.0,0,53,0,0,-0.0027880631387233734,171.13552856445312,1.675667405128479,0.00010023902723332867,0.0
7,1,capability_aware,-0.6994736695633037,11,0.036875,0.0,0.0,0,145,0,0,-0.003749254159629345,155.54014587402344,1.6831468343734741,0.005624506622552872,0.0
8,1,capability_aware,-0.6222646550650097,13,0.01375,0.0,0.0,0,6,0,0,-0.002769448794424534,186.52871704101562,1.6518059968948364,-0.0010541420197114348,0.0
9,1,capability_aware,-0.07110209862003103,14,0.0325,0.0,0.0,0,152,0,0,-0.007265410386025906,201.35015869140625,1.6938858032226562,-0.000899959821254015,0.0
10,1,capability_aware,-0.5320838656334672,18,0.061875,0.0,0.125,0,27,0,0,-0.005790248513221741,309.0279235839844,1.6913681030273438,0.002337567275390029,0.0
11,1,capability_aware,-0.1340286947961431,21,0.0675,0.0,0.0,0,106,0,0,-0.0055117299780249596,229.44134521484375,1.6809569597244263,0.005403496325016022,0.0
12,1,capability_aware,-0.3294922484928975,22,0.051875,0.0,0.0,0,98,0,0,-0.0037572840228676796,101.99339294433594,1.6854690313339233,0.0007434009457938373,0.0
13,1,capability_aware,-0.0359130799297418,23,0.05125,0.0,0.125,0,149,0,0,-0.0027440814301371574,116.3792495727539,1.6656101942062378,0.000214917425182648,0.0
