update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,accepted_fraction,step_norm,accepted
1,1,assignment_aware,2.694832281144045,0,0.266875,0.375,0.375,0,256,0,0,-0.052892230451107025,975.732666015625,0.8975278735160828,0.020424125716090202,1.0,0.24644197523593903,1.0
2,1,assignment_aware,4.426620821643155,0,0.47625,0.375,0.625,0,512,0,0,-0.03398922085762024,5363.03173828125,0.7329886555671692,0.06083844602108002,1.0,0.19775040447711945,1.0
3,1,assignment_aware,0.5470561089757666,0,0.648125,0.5,0.75,0,768,0,0,0.007682934869080782,129.18714904785156,1.369471549987793,0.009322491474449635,1.0,0.2600722014904022,1.0
4,1,assignment_aware,0.8945752489262304,1,0.0575,0.0,0.0,0,24,0,0,-0.01160549558699131,480.56878662109375,1.285023808479309,0.008025500923395157,1.0,0.26250115036964417,1.0
5,1,assignment_aware,1.0491193281850428,1,0.398125,0.0,0.0,0,280,0,0,-0.033301129937171936,161.12335205078125,0.9729018211364746,0.008246375247836113,1.0,0.21616847813129425,1.0
6,1,assignment_aware,6.051308516063727,1,0.48625,0.0,0.0,0,536,0,0,-0.014212435111403465,7434.02001953125,0.6836356520652771,0.027015775442123413,1.0,0.1752871721982956,1.0
7,1,assignment_aware,6.849533248692751,1,0.613125,0.0,0.125,0,792,0,0,-0.0006172936409711838,10011.798828125,0.5686725974082947,0.03076334297657013,1.0,0.3072282671928406,1.0
8,1,assignment_aware,1.5750646386841254,2,0.18125,0.125,0.375,0,80,0,0,-0.034342922270298004,1156.7322998046875,1.0571695566177368,0.028102433308959007,1.0,0.26581913232803345,1.0
9,1,assignment_aware,6.144090732792392,2,0.365,0.375,0.375,0,336,0,0,-0.030269166454672813,8385.5361328125,0.6274353861808777,0.009352577850222588,1.0,0.253815233707428,1.0
10,1,assignment_aware,8.104994658380747,2,0.5325,0.375,0.5,0,592,0,0,1.5925616025924683e-07,12573.8974609375,0.4699038565158844,0.000978240161202848,0.3333333333333333,0.0,0.0
11,1,assignment_aware,0.6490894853150166,2,0.775,0.375,0.875,0,848,0,0,-0.030132027342915535,139.24859619140625,1.1779053211212158,0.014388643205165863,1.0,0.31571629643440247,1.0
12,1,assignment_aware,1.0632345118565354,3,0.316875,0.0,0.125,0,161,0,0,-0.020741809159517288,1281.26513671875,1.0096126794815063,0.010508258827030659,1.0,0.19858963787555695,1.0
13,1,assignment_aware,0.38330655697012617,3,0.428125,0.0,0.25,0,417,0,0,-0.03522948920726776,205.19041442871094,1.1088918447494507,0.0232966560870409,1.0,0.2599830627441406,1.0
14,1,assignment_aware,0.3437037174389843,3,0.513125,0.125,0.375,0,673,0,0,-0.027964800596237183,210.5678253173828,1.3913131952285767,0.006408445071429014,1.0,0.23305220901966095,1.0
15,1,assignment_aware,0.25539790879309976,3,0.635625,0.125,0.5,0,929,0,0,-0.01682903803884983,212.9290008544922,1.3817157745361328,0.01910845749080181,1.0,0.277406245470047,1.0
16,1,assignment_aware,0.455886300776001,5,0.27875,0.0,0.125,0,125,0,0,-0.03628026694059372,1651.28759765625,1.1286040544509888,0.024556780233979225,1.0,0.2247834950685501,1.0
17,1,assignment_aware,0.8857195058935758,5,0.576875,0.0,0.5,0,381,0,0,-0.019649021327495575,235.72140502929688,1.2614550590515137,0.043345946818590164,1.0,0.315091073513031,1.0
18,1,assignment_aware,0.4446645578782409,5,0.78625,0.125,0.625,0,637,0,0,-0.00924562755972147,147.14169311523438,1.454767107963562,0.020356066524982452,1.0,0.1777002066373825,1.0
19,1,assignment_aware,0.3519984937332197,5,0.81375,0.25,0.625,0,893,0,0,-0.026745248585939407,184.71694946289062,1.4385472536087036,0.009733115322887897,1.0,0.24069242179393768,1.0
20,1,assignment_aware,1.028870376485429,6,0.28,0.125,0.125,0,149,0,0,-0.03510739654302597,541.0223388671875,1.1383432149887085,0.023906836286187172,1.0,0.24852322041988373,1.0
21,1,assignment_aware,1.1315818823429709,6,0.425625,0.125,0.125,0,405,0,0,-0.07769941538572311,310.35504150390625,1.2388182878494263,0.04856438562273979,1.0,0.16693025827407837,1.0
22,1,assignment_aware,5.196077627129853,6,0.51875,0.125,0.125,0,661,0,0,-0.01475931704044342,4582.23583984375,0.8285660743713379,0.011479201726615429,0.6666666666666666,0.16374756395816803,1.0
23,1,assignment_aware,8.150377679616213,6,0.531875,0.125,0.125,0,917,0,0,-0.04310104623436928,12534.8671875,0.4469938576221466,0.003777469741180539,0.3333333333333333,0.19754032790660858,1.0
24,1,assignment_aware,3.541711665546245,7,0.26125,0.125,0.25,0,173,0,0,-0.012294428423047066,2931.57373046875,0.9433696866035461,0.039739906787872314,1.0,0.30115994811058044,1.0
25,1,assignment_aware,3.519582364064263,7,0.399375,0.25,0.25,0,429,0,0,-0.0449368841946125,1825.9400634765625,1.035269021987915,0.031445831060409546,1.0,0.21225108206272125,1.0
26,1,assignment_aware,2.781430431001354,7,0.418125,0.25,0.375,0,685,0,0,-0.018249211832880974,3292.849853515625,0.9833851456642151,0.03202980011701584,1.0,0.2127019762992859,1.0
27,1,assignment_aware,0.4343732679189998,7,0.539375,0.375,0.5,0,941,0,0,-0.04106026887893677,173.60818481445312,1.2007006406784058,0.04574807360768318,1.0,0.22962090373039246,1.0
28,1,assignment_aware,0.33354069677443476,8,0.163125,0.0,0.0,0,197,0,0,-0.04533201828598976,598.732421875,0.7457951903343201,0.009288146160542965,1.0,0.2234502136707306,1.0
29,1,assignment_aware,0.1235404436592944,8,0.261875,0.0,0.0,0,453,0,0,-0.05089457333087921,279.47686767578125,0.5622603297233582,0.021464047953486443,1.0,0.201616108417511,1.0
30,1,assignment_aware,0.3082453071474447,8,0.40625,0.0,0.125,0,709,0,0,0.023646729066967964,194.00030517578125,0.935020923614502,0.04391750320792198,1.0,0.27172601222991943,1.0
31,1,assignment_aware,0.48195129810665094,8,0.53,0.0,0.375,0,965,0,0,-0.040060438215732574,132.89389038085938,1.2882366180419922,0.0041574337519705296,1.0,0.2631019651889801,1.0
32,1,assignment_aware,0.4985377015727863,9,0.294375,0.0,0.125,0,221,0,0,-0.01852731965482235,574.9735717773438,0.9737789034843445,0.028707632794976234,1.0,0.23096151649951935,1.0
33,1,assignment_aware,0.11243974785611499,9,0.305625,0.0,0.125,0,477,0,0,-0.038971178233623505,277.69537353515625,1.006201148033142,0.008865777403116226,1.0,0.250058114528656,1.0
34,1,assignment_aware,0.14390484752948396,9,0.31375,0.0,0.125,0,733,0,0,-0.013680823147296906,255.57521057128906,1.0462476015090942,0.005469018593430519,1.0,0.24519865214824677,1.0
35,1,assignment_aware,0.11926511366618797,9,0.32125,0.0,0.125,0,989,0,0,-0.012561125680804253,211.60638427734375,1.0742144584655762,0.009768045507371426,1.0,0.1478366255760193,1.0
36,1,assignment_aware,0.057311983400722966,10,0.149375,0.0,0.0,0,245,0,0,-0.04811703413724899,534.836181640625,1.0571602582931519,0.022001514211297035,1.0,0.26486846804618835,1.0
37,1,assignment_aware,0.971843027160503,10,0.49375,0.0,0.125,0,501,0,0,-0.024058539420366287,87.71061706542969,1.0750317573547363,0.028898028656840324,1.0,0.21207067370414734,1.0
38,1,assignment_aware,0.43876523250946775,10,0.615625,0.0,0.375,0,757,0,0,-0.020956916734576225,189.18576049804688,1.1507271528244019,0.00995365995913744,1.0,0.2430722415447235,1.0
39,1,assignment_aware,0.45249998809595127,11,0.02875,0.0,0.125,0,13,0,0,-0.020053530111908913,735.8975219726562,0.9465112090110779,0.004396491684019566,1.0,0.293890118598938,1.0
40,1,assignment_aware,1.1868783093486854,11,0.305,0.125,0.5,0,269,0,0,-0.02593770995736122,215.08493041992188,1.129438042640686,0.025874832645058632,1.0,0.23336754739284515,1.0
41,1,assignment_aware,0.5728205813684326,11,0.45,0.375,0.5,0,525,0,0,0.0008643281180411577,187.29652404785156,1.038408875465393,0.052862945944070816,1.0,0.2504189908504486,1.0
42,1,assignment_aware,0.6022633144530118,11,0.66625,0.375,0.625,0,781,0,0,-0.0279233455657959,113.24684143066406,1.1263915300369263,0.0160626620054245,1.0,0.17090487480163574,1.0
43,1,assignment_aware,0.46074208214122336,12,0.0375,0.0,0.0,0,38,0,0,-0.04069548472762108,436.4677429199219,0.912924587726593,0.01786903105676174,1.0,0.16678199172019958,1.0
44,1,assignment_aware,1.26365947186423,12,0.313125,0.125,0.375,0,294,0,0,-0.010311185382306576,149.69012451171875,0.9921731948852539,0.033774882555007935,1.0,0.21101385354995728,1.0
45,1,assignment_aware,0.21178201715429168,12,0.326875,0.125,0.375,0,550,0,0,-0.05813494324684143,233.23013305664062,1.0639222860336304,0.06100140139460564,1.0,0.14877821505069733,1.0
46,1,assignment_aware,0.4626721490709542,12,0.483125,0.125,0.625,0,806,0,0,-0.020468737930059433,110.56915283203125,1.221983551979065,0.022906774654984474,1.0,0.23169706761837006,1.0
47,1,assignment_aware,0.3827475999296439,13,0.089375,0.0,0.125,0,62,0,0,-0.011303678154945374,291.6252136230469,1.132570505142212,0.006154266651719809,1.0,0.15189850330352783,1.0
48,1,assignment_aware,0.30412167085160036,13,0.251875,0.0,0.125,0,318,0,0,-0.11088766902685165,187.861328125,1.0360015630722046,0.075252465903759,1.0,0.21266120672225952,1.0
49,1,assignment_aware,0.07974703044965281,13,0.285625,0.0,0.125,0,574,0,0,-0.03191717714071274,285.70892333984375,0.9754899144172668,0.011158443987369537,1.0,0.20351649820804596,1.0
50,1,assignment_aware,0.009402257703186478,14,0.03625,0.0,0.0,0,133,0,0,-0.016196981072425842,1130.01953125,0.5904672741889954,0.05718494951725006,1.0,0.28389307856559753,1.0
51,1,assignment_aware,1.0274089280428598,16,0.0625,0.0,0.0,0,84,0,0,-0.008668852970004082,2370.35302734375,0.7507179379463196,0.006329887080937624,1.0,0.1967359036207199,1.0
52,1,assignment_aware,0.9229231748249731,17,0.115,0.0,0.125,0,135,0,0,-0.038910456001758575,886.4940795898438,0.8648813366889954,0.02392580918967724,1.0,0.29718077182769775,1.0
53,1,assignment_aware,0.7524868773944036,17,0.28375,0.0,0.375,0,391,0,0,-0.01886257715523243,62.66963577270508,0.9373043179512024,0.023606369271874428,1.0,0.1800118386745453,1.0
54,1,assignment_aware,0.18706052078982793,18,0.100625,0.0,0.125,0,124,0,0,-0.04430551826953888,1057.376220703125,0.8745972514152527,0.019526835530996323,1.0,0.2765163779258728,1.0
55,1,assignment_aware,0.26523739928234136,18,0.124375,0.0,0.125,0,380,0,0,-0.02486487105488777,200.98855590820312,0.8067165017127991,0.02097083069384098,1.0,0.2896048128604889,1.0
56,1,assignment_aware,0.21380365602090023,19,0.16875,0.0,0.125,0,242,0,0,-0.02140435390174389,878.0780029296875,0.8650891780853271,0.027300721034407616,1.0,0.246373251080513,1.0
57,1,assignment_aware,0.11328129014509614,19,0.27875,0.0,0.125,0,498,0,0,-0.0021817144006490707,257.3125,0.7542955279350281,0.03271590918302536,1.0,0.16982896625995636,1.0
58,1,assignment_aware,-0.07546583010116592,19,0.27875,0.0,0.125,0,754,0,0,-0.023363307118415833,255.5735321044922,0.596545398235321,0.013820573687553406,1.0,0.16268542408943176,1.0
59,1,assignment_aware,3.688063824782148,20,0.126875,0.0,0.0,0,204,0,0,-0.019962310791015625,2987.761962890625,0.5273458361625671,0.012021536938846111,1.0,0.21427488327026367,1.0
60,1,assignment_aware,2.910281164386106,21,0.106875,0.0,0.0,0,81,0,0,-0.011266290210187435,2049.564697265625,0.515699565410614,0.023331666365265846,1.0,0.18110202252864838,1.0
61,1,assignment_aware,0.6429823429002681,21,0.110625,0.0,0.0,0,337,0,0,-0.02390698716044426,185.96812438964844,0.7933446764945984,0.03724905848503113,1.0,0.33624985814094543,1.0
62,1,assignment_aware,0.5296727231361729,22,0.3325,0.0,0.125,0,225,0,0,-0.03050221875309944,611.2556762695312,0.8919479846954346,0.017346197739243507,1.0,0.18865017592906952,1.0
63,1,assignment_aware,0.1439807306524017,22,0.381875,0.0,0.125,0,481,0,0,-0.06401737034320831,244.55931091308594,0.9450109004974365,-0.001928559853695333,1.0,0.23262545466423035,1.0
64,1,assignment_aware,0.14124462332983967,22,0.4025,0.0,0.125,0,737,0,0,-0.006495520006865263,187.5645751953125,0.9468507170677185,0.04388415440917015,1.0,0.09591597318649292,1.0
65,1,assignment_aware,0.08357812630129047,22,0.416875,0.0,0.125,0,993,0,0,-0.01017562672495842,56.016380310058594,0.9132763743400574,0.03295405954122543,1.0,0.1535450965166092,1.0
66,1,assignment_aware,0.8428290023985028,23,0.215625,0.125,0.25,0,249,0,0,-0.010680126957595348,257.42340087890625,1.107985019683838,0.013016258366405964,1.0,0.31469643115997314,1.0
67,1,assignment_aware,0.010618517770126346,23,0.245625,0.125,0.25,0,505,0,0,-0.0277680903673172,229.4490509033203,1.1986515522003174,0.040492843836545944,1.0,0.23998546600341797,1.0
68,1,assignment_aware,0.010550158374826424,23,0.251875,0.125,0.25,0,761,0,0,-0.02587098442018032,90.67744445800781,1.0006097555160522,0.020032865926623344,1.0,0.19861683249473572,1.0
69,1,assignment_aware,-0.013460177324304823,24,0.03875,0.0,0.0,0,17,0,0,-0.021237041801214218,62.63395690917969,0.8665668368339539,0.0466022752225399,1.0,0.2085365653038025,1.0
70,1,assignment_aware,0.5790564079215983,24,0.395,0.0,0.375,0,273,0,0,-0.0206923708319664,156.80538940429688,0.8109042048454285,0.020710913464426994,1.0,0.18743814527988434,1.0
71,1,assignment_aware,-0.005961277536698617,24,0.47875,0.0,0.375,0,529,0,0,-0.044790759682655334,128.4684600830078,0.9309021830558777,0.0242804903537035,1.0,0.15225665271282196,1.0
72,1,assignment_aware,0.7149368343950755,25,0.18375,0.125,0.125,0,211,0,0,-0.0520552396774292,207.33767700195312,0.9988911151885986,0.01586340181529522,1.0,0.21827925741672516,1.0
73,1,assignment_aware,1.6215329503684188,25,0.214375,0.125,0.125,0,467,0,0,-0.0013109361752867699,1080.1663818359375,0.8370823264122009,0.018954569473862648,1.0,0.17798930406570435,1.0
74,1,assignment_aware,2.4400635918063927,25,0.259375,0.125,0.25,0,723,0,0,-0.01889568381011486,2535.880859375,0.7175715565681458,0.021163297817111015,1.0,0.26699548959732056,1.0
75,1,assignment_aware,0.15061022500958643,25,0.3825,0.125,0.375,0,979,0,0,0.003289638552814722,151.05316162109375,0.8701364398002625,-8.058478124439716e-05,1.0,0.2418603152036667,1.0
76,1,assignment_aware,0.7853227022931151,26,0.346875,0.0,0.375,0,235,0,0,-0.004108691122382879,132.912841796875,0.75897216796875,0.006200611125677824,1.0,0.24164997041225433,1.0
77,1,assignment_aware,-0.021672144863259746,26,0.443125,0.0,0.375,0,491,0,0,-0.016300775110721588,156.28289794921875,1.0356242656707764,0.029833942651748657,1.0,0.18385697901248932,1.0
78,1,assignment_aware,0.08167558493369143,26,0.570625,0.0,0.5,0,747,0,0,-0.03874216228723526,40.91236114501953,0.9550684094429016,0.01688629947602749,1.0,0.1831912100315094,1.0
79,1,assignment_aware,-0.05892864029738121,27,0.008125,0.0,0.0,0,3,0,0,-0.007352977991104126,192.51153564453125,1.0755754709243774,0.008981487713754177,1.0,0.2071852684020996,1.0
80,1,assignment_aware,0.862402035314517,27,0.24625,0.0,0.375,0,259,0,0,-0.028751395642757416,166.519775390625,1.0675314664840698,0.04075554758310318,1.0,0.3208463490009308,1.0
81,1,assignment_aware,0.23605383438302852,27,0.290625,0.0,0.375,0,515,0,0,0.005019730888307095,19.078824996948242,1.1799691915512085,0.01819819211959839,1.0,0.2108781337738037,1.0
82,1,assignment_aware,-0.04570316845274647,27,0.305,0.0,0.375,0,771,0,0,-0.04310757666826248,10.578971862792969,1.099669337272644,0.03081008978188038,1.0,0.21153970062732697,1.0
83,1,assignment_aware,-0.02849257979687536,28,0.041875,0.0,0.0,0,27,0,0,-0.006616044323891401,142.10577392578125,0.8454635143280029,0.011900647543370724,1.0,0.23537366092205048,1.0
84,1,assignment_aware,0.23923556296358583,28,0.285625,0.0,0.125,0,283,0,0,-0.04330722987651825,103.72784423828125,0.3968476355075836,0.014602391980588436,1.0,0.19225026667118073,1.0
85,1,assignment_aware,0.6914381061245081,29,0.26375,0.0,0.25,0,130,0,0,-0.042548563331365585,423.4696960449219,0.6313609480857849,0.012883510440587997,1.0,0.28749269247055054,1.0
86,1,assignment_aware,0.28805935822674655,29,0.411875,0.0,0.375,0,386,0,0,-0.156448632478714,20.410049438476562,1.1335753202438354,0.10858464241027832,1.0,0.3616783618927002,1.0
87,1,assignment_aware,0.3941239301020687,29,0.580625,0.0,0.625,0,642,0,0,-0.033792417496442795,28.37639617919922,0.9847294688224792,0.005662341136485338,1.0,0.2006159871816635,1.0
88,1,assignment_aware,-0.010630618126015179,29,0.60625,0.0,0.625,0,898,0,0,-0.048858463764190674,32.01539993286133,0.9715909957885742,0.03472552075982094,1.0,0.18931299448013306,1.0
89,1,assignment_aware,0.024487361475166836,30,0.10125,0.0,0.0,0,154,0,0,-0.1097601130604744,281.05194091796875,0.7096379399299622,0.008562303148210049,1.0,0.30856525897979736,1.0
90,1,assignment_aware,-0.17460814416699577,30,0.186875,0.0,0.0,0,410,0,0,-0.026443205773830414,93.27813720703125,0.5074259638786316,-0.0031120674684643745,1.0,0.2248232215642929,1.0
91,1,assignment_aware,0.7093705482402584,30,0.43,0.0,0.25,0,666,0,0,-0.04164145514369011,100.00210571289062,0.7663386464118958,0.021126175299286842,1.0,0.252648264169693,1.0
92,1,assignment_aware,0.34656929563243466,30,0.54625,0.0,0.5,0,922,0,0,-0.028024781495332718,83.82682800292969,1.0134904384613037,0.014285065233707428,1.0,0.24301549792289734,1.0
93,1,assignment_aware,0.8823320996430084,31,0.295625,0.0,0.375,0,178,0,0,-0.06115762144327164,333.34771728515625,0.8674147725105286,0.027906619012355804,1.0,0.14534153044223785,1.0
94,1,assignment_aware,0.5558756050813827,31,0.41625,0.125,0.5,0,434,0,0,-0.08898802101612091,36.07952880859375,0.9272446632385254,0.02177678607404232,1.0,0.2621642053127289,1.0
95,1,assignment_aware,0.3114149590919624,31,0.476875,0.25,0.625,0,690,0,0,-0.03889399766921997,46.71287536621094,0.8441386222839355,0.021541262045502663,1.0,0.3230755031108856,1.0
96,1,assignment_aware,0.04455765028251335,31,0.516875,0.25,0.625,0,946,0,0,-0.032770056277513504,34.316375732421875,0.9491936564445496,0.04552910849452019,1.0,0.2040632963180542,1.0
97,1,assignment_aware,3.706660149862728,32,0.236875,0.0,0.0,0,202,0,0,-0.006971853785216808,3086.415283203125,0.6287844181060791,0.0012608867837116122,1.0,0.20635071396827698,1.0
98,1,assignment_aware,0.5293428680615762,32,0.390625,0.0,0.125,0,458,0,0,-0.019259991124272346,115.75182342529297,0.7678081393241882,0.02433549426496029,1.0,0.20021598041057587,1.0
99,1,assignment_aware,0.14209103082248475,32,0.4125,0.0,0.125,0,714,0,0,-0.03595771640539169,13.817718505859375,0.8339651226997375,0.015331909991800785,1.0,0.24555155634880066,1.0
100,1,assignment_aware,0.4421942941087309,32,0.49875,0.0,0.375,0,970,0,0,-0.04130119830369949,84.75194549560547,0.8987553119659424,0.006442162673920393,1.0,0.2734566330909729,1.0
101,1,assignment_aware,0.902063522804383,33,0.42375,0.125,0.5,0,226,0,0,-0.011853978037834167,157.34225463867188,0.6934375762939453,0.004711760673671961,1.0,0.19138070940971375,1.0
102,1,assignment_aware,0.21617724106363312,33,0.5225,0.125,0.625,0,482,0,0,-0.03712425380945206,19.24928092956543,0.8875163197517395,0.06267201155424118,1.0,0.2403162717819214,1.0
103,1,assignment_aware,0.2988099209151187,33,0.60875,0.125,0.625,0,738,0,0,-0.03337682783603668,10.815032958984375,0.9924965500831604,0.02873660810291767,1.0,0.2120646983385086,1.0
104,1,assignment_aware,0.22551318991281732,33,0.67875,0.125,0.75,0,994,0,0,-0.006945330649614334,40.626590728759766,0.8496500849723816,0.013542995788156986,1.0,0.15670070052146912,1.0
105,1,assignment_aware,6.624157398648094,34,0.3375,0.0,0.0,0,250,0,0,-0.04761902242898941,10469.201171875,0.40123942494392395,0.02388601005077362,1.0,0.22990870475769043,1.0
