coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,scenario,seed
0.28,0.3333333333333333,500,166.09999999999894,0,0,449,0,1,1,4,0.888,max_steps_reached,0,0
0.3225,0.3333333333333333,500,164.4999999999988,0,0,117,0,2,1,3,0.871,max_steps_reached,0,1
0.2925,0.3333333333333333,500,165.29999999999882,0,0,130,0,1,1,4,0.883,max_steps_reached,0,2
0.2825,0.0,500,162.99999999999895,0,0,418,0,2,0,5,0.887,max_steps_reached,0,3
0.5625,0.3333333333333333,500,159.64999999999887,0,0,318,0,1,1,5,0.775,max_steps_reached,0,4
0.4825,0.3333333333333333,500,161.94999999999888,0,0,338,0,1,1,5,0.807,max_steps_reached,0,5
0.22,0.0,500,167.49999999999886,0,0,457,0,0,0,4,0.912,max_steps_reached,0,6
0.35,0.0,500,164.09999999999897,0,0,427,0,1,0,5,0.86,max_steps_reached,0,7
0.9525,0.3333333333333333,500,152.99999999999864,0,0,132,0,3,1,4,0.619,max_steps_reached,0,8
0.215,0.0,500,165.59999999999903,0,0,463,0,0,0,4,0.914,max_steps_reached,0,9
