agent_id,uav_type,step,x,y
fixedwing_0,fixedwing,0,0.0,0.0
fixedwing_0,fixedwing,1,27.1892336110995,-12.678547852220984
fixedwing_0,fixedwing,2,46.47286190169568,-22.98133329356934
fixedwing_0,fixedwing,3,54.237433254771304,-28.97777478867205
fixedwing_0,fixedwing,4,49.027987924763394,-29.544232590366242
fixedwing_0,fixedwing,5,31.82069483423201,-24.574561328669752
fixedwing_0,fixedwing,6,5.839932720698851,-14.999999999999998
fixedwing_0,fixedwing,7,-24.045908222053516,-2.614672282429746
fixedwing_0,fixedwing,8,-28.190778623577252,10.26060429977006
fixedwing_0,fixedwing,9,-21.21320343559643,31.473807735366485
fixedwing_0,fixedwing,10,-10.260604299770057,59.66458635894374
fixedwing_0,fixedwing,11,2.6146722824297632,89.5504273016961
fixedwing_0,fixedwing,12,17.61467228242979,115.53118941522925
fixedwing_0,fixedwing,13,42.18923361109957,132.7384825057606
fixedwing_0,fixedwing,14,66.76379493976934,149.94577559629195
fixedwing_0,fixedwing,15,91.33835626843911,167.1530686868233
fixedwing_0,fixedwing,16,115.91291759710889,184.36036177735465
fixedwing_0,fixedwing,17,140.48747892577867,201.567654867886
fixedwing_0,fixedwing,18,165.06204025444845,218.77494795841736
fixedwing_0,fixedwing,19,189.63660158311822,235.9822410489487
fixedwing_0,fixedwing,20,214.211162911788,253.18953413948006
fixedwing_0,fixedwing,21,238.78572424045777,270.3968272300114
fixedwing_0,fixedwing,22,263.36028556912754,287.60412032054273
fixedwing_0,fixedwing,23,287.93484689779734,304.81141341107406
fixedwing_0,fixedwing,24,312.50940822646714,322.0187065016054
quadrotor_0,quadrotor,0,0.0,75.0
quadrotor_0,quadrotor,1,0.0,75.0
quadrotor_0,quadrotor,2,15.0,75.0
quadrotor_0,quadrotor,3,15.0,75.0
quadrotor_0,quadrotor,4,30.0,75.0
quadrotor_0,quadrotor,5,30.0,75.0
quadrotor_0,quadrotor,6,30.0,75.0
quadrotor_0,quadrotor,7,30.0,75.0
quadrotor_0,quadrotor,8,30.0,75.0
quadrotor_0,quadrotor,9,30.0,75.0
quadrotor_0,quadrotor,10,30.0,75.0
quadrotor_0,quadrotor,11,30.0,75.0
quadrotor_0,quadrotor,12,30.0,75.0
quadrotor_0,quadrotor,13,30.0,75.0
quadrotor_0,quadrotor,14,30.0,75.0
quadrotor_0,quadrotor,15,30.0,75.0
quadrotor_0,quadrotor,16,30.0,75.0
quadrotor_0,quadrotor,17,30.0,75.0
quadrotor_0,quadrotor,18,30.0,75.0
quadrotor_0,quadrotor,19,30.0,75.0
quadrotor_0,quadrotor,20,45.0,75.0
quadrotor_0,quadrotor,21,45.0,75.0
quadrotor_0,quadrotor,22,60.0,75.0
quadrotor_0,quadrotor,23,60.0,75.0
quadrotor_0,quadrotor,24,75.0,75.0
quadrotor_0,quadrotor,25,75.0,75.0
quadrotor_0,quadrotor,26,90.0,75.0
quadrotor_0,quadrotor,27,90.0,75.0
quadrotor_0,quadrotor,28,105.0,75.0
quadrotor_0,quadrotor,29,105.0,75.0
quadrotor_0,quadrotor,30,120.0,75.0
quadrotor_0,quadrotor,31,120.0,75.0
quadrotor_0,quadrotor,32,120.0,75.0
