coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.00625,0.0,0.0,0,1,0.65,99.85000000000001,99.75,99.75,0,0,0,0,0,0,0,0.0,,0.0575
0.0075,0.0,0.0,0,2,1.3,99.70000000000002,99.5,99.5,0,0,0,0,0,0,0,0.0,,0.1575
0.0075,0.0,0.0,0,3,1.9500000000000002,99.55000000000003,99.25,99.25,0,0,0,0,0,0,0,0.0,,-0.04250000000000001
0.0075,0.0,0.0,0,4,2.6,99.40000000000003,99.0,99.0,0,0,0,0,0,0,0,0.0,,-0.042499999999999996
0.0075,0.0,0.0,0,5,3.25,99.25000000000004,98.75,98.75,0,0,0,0,0,0,0,0.2,,-0.042499999999999996
0.0075,0.0,0.0,0,6,3.9,99.10000000000005,98.5,98.5,0,0,0,0,0,0,0,0.3333333333333333,,-0.042499999999999996
0.0075,0.0,0.0,0,7,4.55,98.95000000000006,98.25,98.25,0,0,0,0,0,0,0,0.42857142857142855,,-0.042499999999999996
0.0075,0.0,0.0,0,8,5.199999999999999,98.80000000000007,98.0,98.0,0,0,0,0,0,0,0,0.5,,-0.042499999999999975
0.0075,0.0,0.0,0,9,5.849999999999999,98.65000000000008,97.75,97.75,0,0,0,0,0,0,0,0.5555555555555556,,-0.042499999999999975
0.008125,0.0,0.0,0,10,6.499999999999998,98.50000000000009,97.5,97.5,0,0,0,0,0,0,0,0.5666666666666667,,0.05750000000000003
0.009375,0.0,0.0,0,11,7.149999999999998,98.3500000000001,97.25,97.25,0,0,0,0,0,0,0,0.5454545454545454,,0.15750000000000003
0.01,0.0,0.0,0,12,7.799999999999997,98.2000000000001,97.0,97.0,0,0,0,0,0,0,0,0.5555555555555556,,0.05750000000000003
0.013125,0.0,0.0,0,13,8.449999999999996,98.05000000000011,96.75,96.75,0,0,0,0,0,0,0,0.46153846153846156,,0.4575000000000001
0.014375,0.0,0.0,0,14,8.999999999999996,98.00000000000011,96.5,96.5,0,0,0,0,0,0,0,0.4523809523809524,,0.16249999999999998
0.016875,0.0,0.0,0,15,9.549999999999997,97.95000000000012,96.25,96.25,0,0,0,0,0,0,0,0.4,,0.3625
0.01875,0.0,0.0,0,16,10.099999999999998,97.90000000000012,96.0,96.0,0,0,0,0,0,0,0,0.375,,0.2625
0.02125,0.0,0.0,0,17,10.649999999999999,97.85000000000012,95.75,95.75,0,0,0,0,0,0,0,0.3333333333333333,,0.3625
0.0225,0.0,0.0,0,18,11.2,97.80000000000013,95.5,95.5,0,0,0,0,0,0,0,0.3333333333333333,,0.16249999999999998
0.02625,0.0,0.0,0,19,11.75,97.75000000000013,95.25,95.25,0,0,0,0,0,0,0,0.2631578947368421,,0.5625
0.0275,0.0,0.0,0,20,12.3,97.70000000000013,95.0,95.0,0,0,0,0,0,0,0,0.26666666666666666,,0.16249999999999998
0.03,0.0,0.0,0,21,12.850000000000001,97.65000000000013,94.75,94.75,0,0,0,0,0,0,0,0.23809523809523808,,0.3625
