coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.8875,1.0,1.0,1,643,119.24999999999716,67.85000000000183,56.45000000000175,53.9000000000017,0,0,584,0,8,8,15,0.263867288750648,all_targets_inspected,490,490,0,281.3327974105616,490,1,0,sweep_assisted_bc,sampling
0.913125,1.0,1.0,1,713,149.1999999999964,64.35000000000203,43.22500000000163,43.05000000000158,0,3,445,0,8,8,12,0.3169705469845722,all_targets_inspected,373,373,0,277.8234950927359,373,1,1,sweep_assisted_bc,sampling
0.75375,1.0,1.0,1,540,114.34999999999745,73.00000000000153,56.32500000000183,55.40000000000178,0,1,250,0,8,8,12,0.25555555555555554,all_targets_inspected,259,259,0,315.6405214673153,260,1,2,sweep_assisted_bc,sampling
0.894375,1.0,1.0,1,654,139.19999999999683,67.30000000000186,46.750000000001755,40.350000000001714,0,0,391,0,8,8,14,0.2706422018348624,all_targets_inspected,303,303,0,298.98877392420343,303,1,3,sweep_assisted_bc,sampling
0.79,1.0,1.0,1,555,122.54999999999708,72.25000000000158,52.600000000001806,52.40000000000182,0,0,165,0,8,8,14,0.24084084084084084,all_targets_inspected,207,207,0,338.4996629947734,208,1,4,sweep_assisted_bc,sampling
0.9275,1.0,1.0,1,747,151.69999999999692,62.65000000000212,42.825000000001516,41.500000000001535,0,0,568,0,8,8,18,0.33779562695225346,all_targets_inspected,443,443,0,356.3681398388604,443,1,5,sweep_assisted_bc,sampling
0.92375,1.0,1.0,1,722,169.19999999999652,63.90000000000205,33.450000000001566,27.450000000001502,0,0,595,0,8,8,14,0.31763619575253926,all_targets_inspected,143,143,0,365.6744169198556,143,1,6,sweep_assisted_bc,sampling
0.916875,1.0,1.0,1,677,153.39999999999668,66.15000000000192,40.22500000000166,36.35000000000165,0,0,450,0,8,8,13,0.2776957163958641,all_targets_inspected,201,201,0,454.8392628161196,201,1,7,sweep_assisted_bc,sampling
0.91,1.0,1.0,1,660,152.49999999999702,67.00000000000188,40.25000000000169,33.8500000000016,0,0,457,0,8,8,13,0.26464646464646463,all_targets_inspected,160,160,0,299.0639367527896,160,1,8,sweep_assisted_bc,sampling
0.935625,1.0,1.0,1,743,165.59999999999638,62.85000000000211,35.77500000000158,32.800000000001596,0,0,504,0,8,8,15,0.3283983849259758,all_targets_inspected,239,239,0,396.72225284876936,239,1,9,sweep_assisted_bc,sampling
0.92875,1.0,1.0,1,668,156.49999999999665,66.6000000000019,38.450000000001666,38.200000000001644,0,0,335,0,8,8,13,0.25848303393213573,all_targets_inspected,135,135,0,342.2320823532378,135,1,10,sweep_assisted_bc,sampling
0.909375,1.0,1.0,1,656,164.4499999999967,67.20000000000186,34.17500000000161,33.35000000000158,0,0,219,0,8,8,11,0.2606707317073171,all_targets_inspected,18,18,0,565.4308685941265,18,1,11,sweep_assisted_bc,sampling
0.91875,1.0,1.0,1,734,150.94999999999655,63.300000000002086,42.87500000000168,41.450000000001616,0,0,343,0,8,8,17,0.33242506811989103,all_targets_inspected,398,398,0,279.3653835420718,398,1,12,sweep_assisted_bc,sampling
0.916875,1.0,1.0,1,747,161.09999999999678,62.65000000000212,38.125000000001634,37.100000000001664,0,0,539,0,8,8,20,0.3453815261044177,all_targets_inspected,339,339,0,333.61320355540033,339,1,13,sweep_assisted_bc,sampling
0.75875,1.0,1.0,1,543,103.99999999999781,72.85000000000154,61.57500000000185,61.45000000000183,0,0,126,0,8,8,17,0.25475751995089013,all_targets_inspected,380,380,0,211.20574906455218,380,1,14,sweep_assisted_bc,sampling
0.92,1.0,1.0,1,686,151.29999999999683,65.70000000000195,41.500000000001634,37.950000000001694,0,1,129,0,8,8,13,0.2847424684159378,all_targets_inspected,267,267,0,322.3882608427684,267,1,15,sweep_assisted_bc,sampling
0.914375,1.0,1.0,1,717,149.5999999999965,64.15000000000204,43.12500000000167,41.70000000000171,0,1,243,0,8,8,17,0.3198512319851232,all_targets_inspected,349,349,0,345.25250343247836,349,1,16,sweep_assisted_bc,sampling
0.9125,1.0,1.0,1,734,136.84999999999692,63.300000000002086,49.92500000000177,49.700000000001744,0,0,157,0,8,8,14,0.3369663941871026,all_targets_inspected,549,549,0,271.215964737599,549,1,17,sweep_assisted_bc,sampling
0.868125,1.0,1.0,1,630,130.79999999999654,68.50000000000179,50.35000000000174,48.850000000001764,0,0,124,0,8,8,16,0.2650793650793651,all_targets_inspected,322,322,0,372.6868328771716,322,1,18,sweep_assisted_bc,sampling
0.875,1.0,1.0,1,628,155.34999999999687,68.60000000000178,38.02500000000168,36.90000000000167,0,3,126,0,8,8,9,0.25690021231422505,all_targets_inspected,44,44,0,366.35178181083086,44,1,19,sweep_assisted_bc,sampling
