coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.913125,1.0,1.0,1,690,138.24999999999682,65.50000000000196,48.125000000001656,47.45000000000162,0,0,656,0,8,8,17,0.2942028985507246,all_targets_inspected,410,410,0,345.76758268199995,426,1,0,sweep_assisted_ca_hmappo,sampling
0.911875,1.0,1.0,1,720,149.14999999999642,64.00000000000205,43.42500000000164,40.00000000000156,0,0,228,0,8,8,14,0.324537037037037,all_targets_inspected,361,361,0,253.14421661258777,374,1,1,sweep_assisted_ca_hmappo,sampling
0.801875,1.0,1.0,1,579,130.09999999999678,71.05000000000165,49.425000000001745,47.80000000000175,0,0,254,0,8,8,12,0.26137017846862404,all_targets_inspected,194,194,0,290.68768468076877,198,1,2,sweep_assisted_ca_hmappo,sampling
0.873125,1.0,1.0,1,635,146.74999999999704,68.2500000000018,42.500000000001705,40.05000000000171,0,0,140,0,8,8,15,0.26666666666666666,all_targets_inspected,150,150,0,298.72780716575414,165,1,3,sweep_assisted_ca_hmappo,sampling
0.768125,1.0,1.0,1,547,138.09999999999667,72.65000000000155,44.62500000000174,44.250000000001734,0,0,145,0,8,8,13,0.251066422912858,all_targets_inspected,9,9,0,363.6994505625669,16,1,4,sweep_assisted_ca_hmappo,sampling
0.91625,1.0,1.0,1,784,169.84999999999678,60.80000000000223,34.67500000000148,30.900000000001498,0,0,402,0,8,8,21,0.37670068027210885,all_targets_inspected,344,344,0,415.2745186949486,354,1,5,sweep_assisted_ca_hmappo,sampling
0.915625,1.0,1.0,1,743,176.24999999999653,62.85000000000211,30.45000000000154,27.75000000000152,0,0,347,0,8,8,16,0.3427545984746523,all_targets_inspected,120,120,0,451.12955670983575,126,1,6,sweep_assisted_ca_hmappo,sampling
0.911875,1.0,1.0,1,691,158.09999999999667,65.45000000000196,38.22500000000163,35.45000000000164,0,0,249,0,8,8,13,0.2961890979257115,all_targets_inspected,184,184,0,445.9422503568853,198,1,7,sweep_assisted_ca_hmappo,sampling
0.91625,1.0,1.0,1,711,176.29999999999694,64.45000000000202,29.62500000000156,28.300000000001553,0,0,625,0,8,8,10,0.3127051101734646,all_targets_inspected,57,57,0,384.0698913587857,65,1,8,sweep_assisted_ca_hmappo,sampling
0.914375,1.0,1.0,1,726,162.94999999999638,63.70000000000206,36.67500000000158,32.300000000001546,0,0,481,0,8,8,14,0.3282828282828283,all_targets_inspected,228,228,0,415.74092821289713,250,1,9,sweep_assisted_ca_hmappo,sampling
0.91375,1.0,1.0,1,700,167.84999999999667,65.00000000000199,33.575000000001594,32.30000000000158,0,5,230,0,8,8,13,0.3038095238095238,all_targets_inspected,99,99,0,288.4813990994957,112,1,10,sweep_assisted_ca_hmappo,sampling
0.911875,1.0,1.0,1,722,181.99999999999662,63.90000000000205,27.050000000001504,26.300000000001475,0,0,353,0,8,8,12,0.32640812557710064,all_targets_inspected,10,10,0,598.8959046981994,13,1,11,sweep_assisted_ca_hmappo,sampling
0.9175,1.0,1.0,1,803,176.94999999999692,59.85000000000228,31.60000000000155,28.05000000000149,0,5,549,0,8,8,18,0.3906185139061851,all_targets_inspected,313,313,0,378.9039464465718,329,1,12,sweep_assisted_ca_hmappo,sampling
0.91375,1.0,1.0,1,834,193.3999999999968,58.30000000000237,24.15000000000148,23.350000000001494,0,0,707,0,8,8,22,0.41566746602717825,all_targets_inspected,201,201,0,435.6485599385685,207,1,13,sweep_assisted_ca_hmappo,sampling
0.858125,1.0,1.0,1,609,136.19999999999644,69.55000000000173,47.12500000000169,46.60000000000162,0,1,191,0,8,8,16,0.24849480021893816,all_targets_inspected,218,218,0,299.75465903465465,231,1,14,sweep_assisted_ca_hmappo,sampling
0.9125,1.0,1.0,1,730,162.1499999999968,63.500000000002075,37.17500000000166,37.10000000000162,0,0,120,0,8,8,15,0.3333333333333333,all_targets_inspected,261,261,0,281.9939231491468,272,1,15,sweep_assisted_ca_hmappo,sampling
0.91625,1.0,1.0,1,782,170.0499999999966,60.90000000000222,34.525000000001526,34.35000000000157,0,2,252,0,8,8,16,0.3751065643648764,all_targets_inspected,307,307,0,319.664207427489,329,1,16,sweep_assisted_ca_hmappo,sampling
0.914375,1.0,1.0,1,766,160.14999999999765,61.70000000000218,39.07500000000165,37.950000000001616,0,1,244,0,8,8,14,0.36335944299390777,all_targets_inspected,376,376,0,344.8022808052745,389,1,17,sweep_assisted_ca_hmappo,sampling
0.919375,1.0,1.0,1,734,170.8499999999967,63.300000000002086,32.92500000000153,31.000000000001506,0,0,415,0,8,8,16,0.33197093551316986,all_targets_inspected,169,169,0,443.70012016174934,183,1,18,sweep_assisted_ca_hmappo,sampling
0.888125,1.0,1.0,1,641,161.74999999999667,67.95000000000182,35.15000000000164,34.850000000001636,0,0,327,0,8,8,9,0.2610504420176807,all_targets_inspected,10,10,0,462.07999138815694,20,1,19,sweep_assisted_ca_hmappo,sampling
