update,episode_count,rollout_reward_mean,coverage_ratio,target_detection_rate,inspection_success_rate,mission_success,collision_count,invalid_action_count,policy_loss,value_loss,entropy
1,2,0.30964056485754554,0.0175,0.0,0.0,0,0,0,-0.009792434982955456,467.1893005371094,1.6197161674499512
2,2,-0.11830424967047293,0.05,0.125,0.0,0,0,0,-0.00421890476718545,42.17909622192383,1.5671294927597046
3,3,0.4933717428939417,0.030625,0.0,0.0,0,0,0,-0.004392813891172409,346.4489440917969,1.6199537515640259
4,3,1.9111658374786202,0.039375,0.0,0.0,0,0,0,-0.002581787994131446,1324.981201171875,1.651681900024414
5,7,0.6423107676964719,0.021875,0.0,0.0,0,0,0,-0.0022061674389988184,812.8963623046875,1.5884615182876587
6,9,-0.16444487892295,0.050625,0.0,0.0,0,0,0,-0.001269407570362091,183.3748779296875,1.5576647520065308
7,11,-0.0875601285661105,0.041875,0.125,0.0,0,0,0,-0.002498424844816327,257.9830017089844,1.5824054479599
8,13,0.15655000392871443,0.038125,0.0,0.0,0,0,0,-0.002268855692818761,572.4969482421875,1.5448018312454224
9,15,0.48559649781964254,0.03375,0.0,0.0,0,0,0,-0.0013051517307758331,425.6289978027344,1.5703338384628296
10,18,0.9128038843045942,0.024375,0.0,0.0,0,0,0,-0.0013045634841546416,791.65771484375,1.5694879293441772
11,19,0.913125670826048,0.025,0.0,0.0,0,0,0,-0.0005956999957561493,587.3507080078125,1.593165397644043
12,20,0.7153236584817932,0.02,0.0,0.0,0,0,0,-0.0019021522020921111,337.9350891113281,1.5504554510116577
13,20,1.6720778609524132,0.079375,0.0,0.0,0,0,0,-0.0017360001802444458,758.5471801757812,1.6227115392684937
14,20,1.8530364650969204,0.079375,0.0,0.0,0,0,0,-0.002535346895456314,862.1906127929688,1.639794945716858
15,20,0.9382621311378898,0.148125,0.125,0.0,0,0,0,-0.0018399680266156793,558.3397827148438,1.5859133005142212
16,24,-0.6645559050484735,0.019375,0.0,0.0,0,0,0,-0.0009698756039142609,406.6685791015625,1.5319749116897583
17,28,0.06659351808775682,0.020625,0.0,0.0,0,0,0,-0.0027764569967985153,462.95147705078125,1.529981255531311
18,28,0.5630580033248407,0.09375,0.0,0.0,0,0,0,-0.0009667848353274167,415.6707763671875,1.5271097421646118
19,28,0.07845616717531811,0.1225,0.0,0.0,0,0,0,-0.00806156825274229,16.80169105529785,1.5048408508300781
20,28,0.24827631196239963,0.1225,0.0,0.0,0,0,0,-0.009905475191771984,38.58601379394531,1.5440069437026978
21,30,0.5848901954013854,0.025625,0.0,0.0,0,0,0,0.002343136118724942,497.332763671875,1.4505265951156616
22,32,0.652890233675862,0.05375,0.0,0.0,0,0,0,-0.00044958386570215225,572.5401611328125,1.486749291419983
23,32,0.07808057811053004,0.140625,0.0,0.0,0,0,0,-0.010002677328884602,2.1432676315307617,1.4942461252212524
24,32,0.45409730358096567,0.218125,0.125,0.0,0,0,0,0.0011628593783825636,92.49976348876953,1.5487302541732788
25,32,0.17322829777140214,0.24875,0.125,0.0,0,0,0,-0.008698422461748123,8.514220237731934,1.552606225013733
26,34,0.6307151056826115,0.07375,0.0,0.0,0,0,0,-0.0013746697222813964,371.48876953125,1.4259799718856812
27,36,1.146137647022897,0.02375,0.0,0.0,0,0,0,-1.9728517145267688e-05,832.8271484375,1.5418931245803833
28,38,0.4555057246834622,0.033125,0.0,0.0,0,0,0,-0.0011166284093633294,244.50643920898438,1.5179895162582397
29,38,0.8014547705570294,0.186875,0.125,0.0,0,0,0,-0.001370218233205378,416.1177978515625,1.5012702941894531
30,38,0.14900314981423435,0.280625,0.125,0.0,0,0,0,-0.00180445471778512,3.8292040824890137,1.4964345693588257
