update,episode_count,rollout_reward_mean,coverage_ratio,target_detection_rate,inspection_success_rate,mission_success,collision_count,invalid_action_count,policy_loss,value_loss,entropy
1,1,0.1718113354363595,0.125,0.0,0.0,0,0,0,-0.00573583273217082,1099.02294921875,1.3197532892227173
2,1,1.0738081367890118,0.34,0.125,0.125,0,0,0,-0.001984325470402837,295.03631591796875,1.4381316900253296
3,1,1.1695044704611064,0.595625,0.375,0.25,0,0,0,-0.0005298753385432065,276.51544189453125,1.3249632120132446
4,1,2.6600099964634865,0.696875,0.5,0.375,0,0,0,-0.00025398656725883484,1576.843017578125,1.2733653783798218
5,2,1.0363292833026208,0.100625,0.0,0.0,0,0,0,-0.00017053564079105854,574.3173828125,1.3635402917861938
6,2,1.3716387593522086,0.3025,0.25,0.25,0,0,0,-0.001009870902635157,185.51910400390625,1.3674720525741577
7,2,1.2482754914999532,0.520625,0.625,0.25,0,0,0,-0.0011766329407691956,173.90850830078125,1.3536525964736938
8,2,1.3174615213974903,0.67625,0.75,0.625,0,0,0,0.0016101925866678357,157.50674438476562,1.3621978759765625
9,5,1.9548073201076477,0.3975,0.5,0.125,0,0,0,8.383797103306279e-05,1774.446044921875,1.2952576875686646
10,5,0.9357371347663275,0.581875,0.5,0.25,0,0,0,-0.00028313262737356126,66.23793029785156,1.4413485527038574
11,5,1.0424453566411103,0.665625,0.625,0.5,0,0,0,-0.00038633248186670244,371.3666076660156,1.4465155601501465
12,5,9.365650420397287,0.730625,0.625,0.625,0,0,0,0.00045126862823963165,18419.6015625,1.1561135053634644
13,6,3.062959597704321,0.211875,0.375,0.125,0,0,0,-3.104780989815481e-05,1855.034423828125,1.3249799013137817
14,6,0.4755098279820231,0.406875,0.375,0.125,0,0,0,-0.0003815293312072754,146.74362182617188,1.5166679620742798
15,6,2.726618769761785,0.436875,0.5,0.5,0,0,0,-0.00011983016884187236,1789.6083984375,1.419988989830017
16,6,7.341852424720855,0.5675,0.5,0.5,0,0,0,-0.00033346874988637865,11981.013671875,1.2423828840255737
17,7,2.745215416820429,0.27,0.25,0.25,0,0,0,-2.361554652452469e-05,892.7715454101562,1.3006113767623901
18,7,2.783629645004112,0.5975,0.5,0.375,0,0,0,-0.00015866632747929543,1667.1097412109375,1.3577076196670532
19,7,1.3852157249602897,0.71125,0.75,0.625,0,0,0,-0.0004812696424778551,189.88253784179688,1.4172372817993164
20,7,2.35814925253635,0.7275,0.75,0.75,0,0,0,-6.0794252931373194e-05,1098.1527099609375,1.3433828353881836
21,8,1.2780063425270782,0.160625,0.125,0.0,0,0,0,3.422548252274282e-05,476.86224365234375,1.396182656288147
22,8,0.9549508271047671,0.2975,0.25,0.125,0,0,0,-0.0005923316930420697,274.62481689453125,1.404281735420227
23,8,3.9225016949326346,0.495625,0.375,0.375,0,0,0,-0.0002571791410446167,3374.711669921875,1.3656682968139648
24,9,3.3578686159817153,0.011875,0.0,0.0,0,0,0,-5.2187591791152954e-05,3468.6240234375,1.293008804321289
25,9,1.256019604773428,0.205,0.125,0.125,0,0,0,-0.00028341947472654283,462.19024658203125,1.4282903671264648
26,9,2.221222621828929,0.501875,0.375,0.125,0,0,0,-4.209578037261963e-07,871.388671875,1.394311785697937
27,9,4.388918216805905,0.6575,0.5,0.5,0,0,0,-0.0001054095700965263,4960.3759765625,1.2950345277786255
28,10,0.2771531713515287,0.024375,0.0,0.0,0,0,0,-7.382035255432129e-05,608.9144287109375,1.430428385734558
29,10,2.2393766584330024,0.26875,0.25,0.125,0,0,0,-0.0003227380511816591,949.3394775390625,1.3455244302749634
30,10,1.7592177676269785,0.624375,0.5,0.375,0,0,0,-0.00022329513740260154,225.9381866455078,1.3263658285140991
31,10,5.307329445329742,0.771875,0.5,0.5,0,0,0,-0.00044459104537963867,7357.8408203125,1.3041108846664429
32,12,7.668186705192056,0.009375,0.0,0.0,0,0,0,-0.00020931164908688515,15185.31640625,1.126222014427185
33,13,1.4547349238491734,0.401875,0.375,0.125,0,0,0,-0.0020494218915700912,1171.49609375,1.3708629608154297
34,13,2.4062711902079172,0.481875,0.375,0.375,0,0,0,-0.00027328109717927873,1575.8797607421875,1.366633415222168
35,13,5.438799338029639,0.655625,0.5,0.5,0,0,0,0.00016183282423298806,7387.232421875,1.2948702573776245
36,13,4.91556649944323,0.75,0.625,0.625,0,0,0,-0.0004896894097328186,6978.96484375,1.3443355560302734
37,15,1.611252511053408,0.29625,0.5,0.375,0,0,0,-0.0009169367258436978,1286.2996826171875,1.38679838180542
38,15,2.3473681877512718,0.45,0.75,0.625,0,0,0,-0.000726848840713501,878.4739990234375,1.2785552740097046
39,15,1.984763527951145,0.566875,0.875,0.75,0,0,0,-8.69731138664065e-06,583.6490478515625,1.3780382871627808
