method,train_seed,env_seed,action_seed,eval_mode,coverage,detection,inspection,mission_success,collision,near_miss,invalid_hover
full_ca_hmappo,0,0,100,stochastic,0.009375,0.0,0.0,0.0,0,9,0
full_ca_hmappo,0,0,101,stochastic,0.00875,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,0,102,stochastic,0.01375,0.125,0.0,0.0,0,7,0
full_ca_hmappo,0,0,103,stochastic,0.01125,0.125,0.0,0.0,0,6,0
full_ca_hmappo,0,0,104,stochastic,0.01125,0.125,0.0,0.0,0,3,0
full_ca_hmappo,0,0,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,1,100,stochastic,0.00875,0.0,0.0,0.0,1,6,0
full_ca_hmappo,0,1,101,stochastic,0.00875,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,1,102,stochastic,0.013125,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,1,103,stochastic,0.01125,0.0,0.0,0.0,0,7,0
full_ca_hmappo,0,1,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,1,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,2,100,stochastic,0.009375,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,2,101,stochastic,0.0075,0.0,0.0,0.0,0,1,0
full_ca_hmappo,0,2,102,stochastic,0.011875,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,2,103,stochastic,0.01125,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,2,104,stochastic,0.010625,0.0,0.0,0.0,0,1,0
full_ca_hmappo,0,2,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,3,100,stochastic,0.008125,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,3,101,stochastic,0.0075,0.0,0.0,0.0,1,6,0
full_ca_hmappo,0,3,102,stochastic,0.013125,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,3,103,stochastic,0.01,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,3,104,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,3,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,4,100,stochastic,0.009375,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,4,101,stochastic,0.0075,0.0,0.0,0.0,1,4,0
full_ca_hmappo,0,4,102,stochastic,0.011875,0.0,0.0,0.0,0,10,0
full_ca_hmappo,0,4,103,stochastic,0.01125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,0,4,104,stochastic,0.01125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,0,4,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,5,100,stochastic,0.00875,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,5,101,stochastic,0.0075,0.0,0.0,0.0,1,4,0
full_ca_hmappo,0,5,102,stochastic,0.0125,0.0,0.0,0.0,0,9,0
full_ca_hmappo,0,5,103,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,5,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,5,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,6,100,stochastic,0.009375,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,6,101,stochastic,0.0075,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,6,102,stochastic,0.0125,0.0,0.0,0.0,0,9,0
full_ca_hmappo,0,6,103,stochastic,0.010625,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,6,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,6,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,7,100,stochastic,0.00875,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,7,101,stochastic,0.0075,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,7,102,stochastic,0.0125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,7,103,stochastic,0.01125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,0,7,104,stochastic,0.010625,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,7,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,8,100,stochastic,0.009375,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,8,101,stochastic,0.00875,0.0,0.0,0.0,1,8,0
full_ca_hmappo,0,8,102,stochastic,0.008125,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,8,103,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,8,104,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,8,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,9,100,stochastic,0.009375,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,9,101,stochastic,0.0075,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,9,102,stochastic,0.00875,0.0,0.0,0.0,1,3,0
full_ca_hmappo,0,9,103,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,9,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,9,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,10,100,stochastic,0.009375,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,10,101,stochastic,0.00875,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,10,102,stochastic,0.009375,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,10,103,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,10,104,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,10,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,11,100,stochastic,0.009375,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,11,101,stochastic,0.00875,0.0,0.0,0.0,0,7,0
full_ca_hmappo,0,11,102,stochastic,0.011875,0.0,0.0,0.0,0,8,0
full_ca_hmappo,0,11,103,stochastic,0.01,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,11,104,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,11,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,12,100,stochastic,0.00875,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,12,101,stochastic,0.0075,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,12,102,stochastic,0.013125,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,12,103,stochastic,0.01,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,12,104,stochastic,0.01125,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,12,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,13,100,stochastic,0.008125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,13,101,stochastic,0.00875,0.0,0.0,0.0,1,6,0
full_ca_hmappo,0,13,102,stochastic,0.009375,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,13,103,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,13,104,stochastic,0.01125,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,13,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,14,100,stochastic,0.009375,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,14,101,stochastic,0.0075,0.0,0.0,0.0,1,6,0
full_ca_hmappo,0,14,102,stochastic,0.013125,0.0,0.0,0.0,0,10,0
full_ca_hmappo,0,14,103,stochastic,0.009375,0.0,0.0,0.0,0,3,0
full_ca_hmappo,0,14,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,14,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,15,100,stochastic,0.009375,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,15,101,stochastic,0.00875,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,15,102,stochastic,0.00875,0.0,0.0,0.0,1,3,0
full_ca_hmappo,0,15,103,stochastic,0.01125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,15,104,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,15,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,16,100,stochastic,0.008125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,16,101,stochastic,0.0075,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,16,102,stochastic,0.0125,0.0,0.0,0.0,1,8,0
full_ca_hmappo,0,16,103,stochastic,0.009375,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,16,104,stochastic,0.010625,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,16,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,17,100,stochastic,0.008125,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,17,101,stochastic,0.00875,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,17,102,stochastic,0.0125,0.0,0.0,0.0,0,9,0
full_ca_hmappo,0,17,103,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,17,104,stochastic,0.010625,0.0,0.0,0.0,0,4,0
full_ca_hmappo,0,17,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,18,100,stochastic,0.009375,0.0,0.0,0.0,1,5,0
full_ca_hmappo,0,18,101,stochastic,0.00875,0.0,0.0,0.0,1,7,0
full_ca_hmappo,0,18,102,stochastic,0.0125,0.0,0.0,0.0,0,8,0
full_ca_hmappo,0,18,103,stochastic,0.010625,0.0,0.0,0.0,0,7,0
full_ca_hmappo,0,18,104,stochastic,0.010625,0.0,0.0,0.0,0,2,0
full_ca_hmappo,0,18,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,0,19,100,stochastic,0.009375,0.0,0.0,0.0,1,3,0
full_ca_hmappo,0,19,101,stochastic,0.00875,0.0,0.0,0.0,0,7,0
full_ca_hmappo,0,19,102,stochastic,0.009375,0.0,0.0,0.0,1,10,0
full_ca_hmappo,0,19,103,stochastic,0.01125,0.0,0.0,0.0,0,6,0
full_ca_hmappo,0,19,104,stochastic,0.01125,0.0,0.0,0.0,0,5,0
full_ca_hmappo,0,19,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,0,100,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,0,101,stochastic,0.0075,0.0,0.0,0.0,1,14,0
full_ca_hmappo,1,0,102,stochastic,0.01,0.0,0.125,0.0,0,0,0
full_ca_hmappo,1,0,103,stochastic,0.0075,0.0,0.0,0.0,0,17,0
full_ca_hmappo,1,0,104,stochastic,0.008125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,1,0,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,1,100,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,1,101,stochastic,0.0075,0.0,0.0,0.0,1,9,0
full_ca_hmappo,1,1,102,stochastic,0.01,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,1,103,stochastic,0.0075,0.0,0.0,0.0,0,12,0
full_ca_hmappo,1,1,104,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,1,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,2,100,stochastic,0.0075,0.0,0.0,0.0,0,2,0
full_ca_hmappo,1,2,101,stochastic,0.008125,0.0,0.0,0.0,1,11,0
full_ca_hmappo,1,2,102,stochastic,0.009375,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,2,103,stochastic,0.0075,0.0,0.0,0.0,0,11,0
full_ca_hmappo,1,2,104,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,2,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,3,100,stochastic,0.008125,0.0,0.0,0.0,0,2,0
full_ca_hmappo,1,3,101,stochastic,0.0075,0.0,0.0,0.0,1,13,0
full_ca_hmappo,1,3,102,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,3,103,stochastic,0.0075,0.0,0.0,0.0,0,17,0
full_ca_hmappo,1,3,104,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,3,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,4,100,stochastic,0.008125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,1,4,101,stochastic,0.0075,0.0,0.0,0.0,1,14,0
full_ca_hmappo,1,4,102,stochastic,0.009375,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,4,103,stochastic,0.0075,0.0,0.0,0.0,0,11,0
full_ca_hmappo,1,4,104,stochastic,0.008125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,1,4,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,5,100,stochastic,0.008125,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,5,101,stochastic,0.0075,0.0,0.0,0.0,1,15,0
full_ca_hmappo,1,5,102,stochastic,0.009375,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,5,103,stochastic,0.00875,0.0,0.0,0.0,1,2,0
full_ca_hmappo,1,5,104,stochastic,0.008125,0.0,0.0,0.0,0,1,0
full_ca_hmappo,1,5,NA,deterministic,0.00625,0.0,0.0,0.0,0,0,0
full_ca_hmappo,1,6,100,stochastic,0.008125,0.0,0.0,0.0,0,0,0
