update,ablation,scenario,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_action_probability
1,guidance_0_capability_0_safety_0,1,-0.19084960894542746,6,0.018125,0.0,0.0,0,81,0,0,-0.0051548234187066555,11.099456787109375,1.7849639654159546,0.0035967794246971607,0.0,0.16783885657787323
2,guidance_0_capability_0_safety_0,1,-0.06114257703666226,7,0.0125,0.0,0.0,0,12,0,0,-0.007211713120341301,1.0234975814819336,1.7794097661972046,0.00231431657448411,0.0,0.1686839908361435
3,guidance_0_capability_0_safety_0,1,-0.22688476527764578,15,0.020625,0.0,0.0,0,35,0,0,-0.0011237605940550566,7.290101051330566,1.7735443115234375,0.005061843432486057,0.0,0.1694876253604889
4,guidance_0_capability_0_safety_0,1,-0.0608886714799155,18,0.04125,0.0,0.0,0,184,0,0,-0.0050735194236040115,1.7580807209014893,1.7671960592269897,-0.0018339171074330807,0.0,0.173620343208313
5,guidance_0_capability_0_safety_0,1,-0.03696289054278168,19,0.0325,0.0,0.0,0,208,0,0,-0.00638760207220912,0.8228452205657959,1.7610819339752197,-0.0001356617285637185,0.0,0.17584854364395142
6,guidance_0_capability_0_safety_0,1,-0.030429686910792952,19,0.054375,0.0,0.0,0,464,0,0,-0.004835126921534538,0.36524051427841187,1.7507905960083008,-0.0010897227330133319,0.0,0.1798422932624817
7,guidance_0_capability_0_safety_0,1,-0.006738281161233317,19,0.080625,0.0,0.0,0,720,0,0,-0.005334388464689255,0.2549712657928467,1.7342857122421265,0.0003115806612186134,0.0,0.18431803584098816
8,guidance_0_capability_0_safety_0,1,-0.023134765498980414,19,0.08625,0.0,0.0,0,976,0,0,-0.003978551831096411,0.030387181788682938,1.7259219884872437,0.001954462379217148,0.0,0.18640045821666718
9,guidance_0_capability_0_safety_0,1,0.0048730465678090695,20,0.065625,0.0,0.0,0,232,0,0,0.0004636865924112499,1.1162934303283691,1.7184852361679077,0.0011339056072756648,0.0,0.18854138255119324
10,guidance_0_capability_0_safety_0,1,-0.015761718641442712,20,0.08875,0.0,0.0,0,488,0,0,-0.0021438654512166977,0.24820703268051147,1.709787130355835,9.732585021993145e-05,0.0,0.19360193610191345
11,guidance_0_capability_0_safety_0,1,-0.01900390583614353,20,0.1,0.0,0.125,0,744,0,0,-0.0037861387245357037,0.48655688762664795,1.7012848854064941,0.0021215975284576416,0.0,0.19223278760910034
12,guidance_0_capability_0_safety_0,1,-0.02439453105762368,21,0.005625,0.0,0.0,0,0,0,0,-0.004254084080457687,0.10909784585237503,1.6974152326583862,0.0012140211183577776,0.0,0.19883620738983154
13,guidance_0_capability_0_safety_0,1,0.09899413943276159,21,0.21125,0.0,0.0,0,256,0,0,-0.00037523702485486865,5.902401924133301,1.6949853897094727,0.00018411301425658166,0.0,0.19653534889221191
14,guidance_0_capability_0_safety_0,1,-0.02294921853899723,21,0.2175,0.0,0.0,0,512,0,0,-0.005466272588819265,0.039844997227191925,1.6896755695343018,-0.0005792616866528988,0.0,0.20195399224758148
15,guidance_0_capability_0_safety_0,1,-0.012958984218130354,21,0.235625,0.0,0.0,0,768,0,0,-0.005466349422931671,0.14744234085083008,1.6838401556015015,0.0036433879286050797,0.0,0.19833895564079285
16,guidance_0_capability_0_safety_0,1,0.019501953440340003,23,0.0175,0.0,0.0,0,7,0,0,0.001773972762748599,3.655977725982666,1.676983118057251,2.316851168870926e-05,0.0,0.1999807357788086
17,guidance_0_capability_0_safety_0,1,0.14067382948633167,23,0.229375,0.0,0.5,0,263,0,0,-0.00027944365865550935,12.406990051269531,1.6595032215118408,-0.0012977424776181579,0.0,0.20582932233810425
18,guidance_0_capability_0_safety_0,1,0.014003905867866706,23,0.2925,0.0,0.5,0,519,0,0,-0.0006780046969652176,0.8534228801727295,1.649423599243164,-0.0007225197623483837,0.0,0.2069067358970642
19,guidance_0_capability_0_safety_0,1,0.06659179635244072,23,0.44125,0.0,0.625,0,775,0,0,-0.0005221761530265212,3.9469518661499023,1.6473538875579834,-0.0006368713220581412,0.0,0.20878803730010986
20,guidance_0_capability_0_safety_0,1,0.13243164066807367,24,0.071875,0.0,0.0,0,31,0,0,-0.00021233534789644182,6.08034086227417,1.6452335119247437,5.152495577931404e-05,0.0,0.2093735933303833
21,guidance_0_capability_0_safety_0,1,0.17555664117389824,24,0.386875,0.0,0.25,0,287,0,0,-7.116484630387276e-05,9.152393341064453,1.6341865062713623,0.00013196530926506966,0.0,0.20786873996257782
22,guidance_0_capability_0_safety_0,1,0.0631054660952941,24,0.51625,0.0,0.5,0,543,0,0,-0.0007156496867537498,2.350131034851074,1.6353492736816406,0.00013348615902941674,0.0,0.2106625735759735
23,guidance_0_capability_0_safety_0,1,0.018447265425493242,24,0.579375,0.0,0.625,0,799,0,0,-0.0015145090874284506,1.5656944513320923,1.6380109786987305,-0.0006390147609636188,0.0,0.20506352186203003
24,guidance_0_capability_0_safety_0,1,0.018242187699797796,25,0.050625,0.0,0.0,0,55,0,0,-0.0017370060086250305,1.0557961463928223,1.6396980285644531,0.0007130395388230681,0.0,0.20927421748638153
